ioreadbytes,LLC-loads,armv7_cortex_a7/l1i_tlb_refill/,armv7_cortex_a7/l1d_cache_refill/,branch-loads,pkt_out,block:block_bio_frontmerge,LLC-load-misses,armv7_cortex_a7/pc_write_retired/,time,armv7_cortex_a7/l2d_cache_wb/,armv7_cortex_a7/exc_return/,branch-load-misses,branch-instructions,iowritetime,ext4:ext4_ext_load_extent,armv7_cortex_a7/br_immed_retired/,ext4:ext4_writepages_result,ext4:ext4_da_update_reserve_space,block:block_bio_remap,timer:timer_cancel,ioread,tcp:tcp_probe,timer:timer_start,net_in,cache-references,rpm:rpm_return_int,fib:fib_table_lookup,dTLB-store-misses,drop_out,ext4:ext4_unlink_enter,kmem:kmem_cache_alloc,armv7_cortex_a7/br_pred/,branch-misses,filemap:mm_filemap_add_to_page_cache,sched:sched_waking,iTLB-load-misses,writeback:global_dirty_state,iowritebytes,net:netif_rx,block:block_touch_buffer,L1-dcache-loads,cpu,armv7_cortex_a7/unaligned_ldst_retired/,random:credit_entropy_bits,irq:softirq_exit,armv7_cortex_a7/exc_taken/,cpu-migrations,armv7_cortex_a7/l1d_cache/,minor-faults,cache-misses,L1-dcache-store-misses,armv7_cortex_a7/inst_retired/,LLC-stores,cpu-cycles,bus-cycles,kmem:mm_page_alloc_zone_locked,block:block_split,jbd2:jbd2_handle_stats,armv7_cortex_a7/l1i_cache_refill/,LLC-store-misses,jbd2:jbd2_checkpoint_stats,ext4:ext4_free_inode,ext4:ext4_evict_inode,page-faults,raw_syscalls:sys_enter,L1-icache-load-misses,armv7_cortex_a7/bus_cycles/,write_merge,timer:timer_init,filemap:mm_filemap_delete_from_page_cache,L1-dcache-load-misses,armv7_cortex_a7/mem_access/,armv7_cortex_a7/l1i_cache/,ext4:ext4_journal_start,armv7_cortex_a7/cpu_cycles/,read_merge,pkt_in,task:task_newtask,kmem:kfree,timer:tick_stop,ext4:ext4_es_lookup_extent_enter,iowrite,dTLB-load-misses,kmem:mm_page_free,iobusytime,context-switches,ext4:ext4_releasepage,ioreadtime,memory,gpio:gpio_value,sched:sched_process_exec,seconds,armv7_cortex_a7/l1d_tlb_refill/,err_out,block:block_dirty_buffer,armv7_cortex_a7/ld_retired/,instructions,armv7_cortex_a7/l2d_cache/,napi:napi_poll,writeback:sb_clear_inode_writeback,L1-dcache-stores,err_in,ext4:ext4_sync_file_enter,armv7_cortex_a7/br_mis_pred/,drop_in,armv7_cortex_a7/st_retired/,pagemap:mm_lru_activate,armv7_cortex_a7/cid_write_retired/,armv7_cortex_a7/l1d_cache_wb/,workqueue:workqueue_execute_start,mmc:mmc_request_done,net_out,writeback:wait_on_page_writeback,L1-icache-loads,sched:sched_stat_runtime
110592,327070126,242407,44287896,1164865656,2152,0,19268074,740575840,1626548115,3745567,856623,76775595,783076643,0,0,794770595,0,0,6,2133,6,124,2135,8614798,3668627574,959,15,5901475,0,0,6545,1141066010,80071463,27,403702,198060,0,0,132,3,3700987428,37.1,1112844,160,6236,666039,14,3614985840,7280,45865984,47386872,7511373015,325617666,13112780265,6539420277,16790,0,0,211513557,18812536,0,0,0,7285,419469,213721746,6469831371,0,203,8,46771676,3519484696,5684442022,0,13194051919,0,6055,7,23267,140443,13,0,6040677,2114,40,575412,0,11,26.3,16,6,5.009473801,5081473,0,0,1410686444,7588810166,315117419,132,0,3698191266,0,0,74713858,0,821461319,2883,886,51492896,593,1374,381730,0,6085435156,8014617121
0,305126392,49322,28662518,1139442537,5264,0,3317130,745745555,1626548125,670555,1098086,74318554,767397471,0,0,757597396,0,0,0,9761,0,4135,9760,22334555,3878217520,11525,151,37734,0,0,16663,1167346102,77726401,0,426306,49757,0,0,4285,0,3873819968,33.1,3922822,348,20130,793788,12,3835482168,1972,30848004,31484027,7601754743,304763364,12012011494,5898338506,1803,0,0,251757979,3003113,0,0,0,1970,439877,254094654,5800151104,0,468,0,32422707,3815759540,5776360615,0,11857933033,0,15413,9,26233,123935,0,0,36408,1044,0,690771,0,0,28.6,5,8,5.012081169,53053,0,0,1469936351,7767592495,306107749,4282,0,3879796367,0,0,77036363,0,922275830,34,2943,29011709,3043,8393,713849,0,5738338828,6302422828
4808704,301378559,39236,28164371,1109177938,1185,0,2529124,700964197,1626548134,397365,1075509,71788843,719296293,0,0,719204135,0,0,0,5703,234,1238,5700,2361244,3552694393,4906,208,43604,0,0,9426,1092448035,68360655,0,423946,52171,0,0,1509,0,3609674928,33.3,212237,241,12364,784821,14,3675738538,954,26685804,27371973,7142126707,302939463,10797623387,5316573617,224,0,0,243478139,2449001,0,0,0,954,438023,248351775,5258512510,0,465,0,26957328,3496654204,5461103358,0,11007537013,176,1983,5,24961,131805,0,0,40295,653,1020,685406,0,824,29.4,5,4,5.009775388,34096,0,0,1311672370,7003134771,291497478,1498,0,3651002672,0,0,70549510,0,849236466,22,1654,28396043,1743,4487,327293,0,5474769247,5730523293
6995968,426533725,138604,55240577,1419907324,246,17,19107801,922889174,1626548144,5600560,1185373,114390369,929829520,101392,2,1025086915,4721,4722,6190,5144,675,138,5144,16844,4606883917,3900,4,327788,0,2,222112,1419791113,119968048,14694,416163,69283,100,119226368,154,100617,4552424535,58.4,1614173,201,15328,902466,69,4534532328,21688,52395470,51203503,9477804708,424109101,16430874948,8266725827,31490,4,43076,311220973,19299600,14,4,4,21683,583791,313965420,8132500361,11071,614,10,51294742,4561655940,7516178792,60748,16237527702,523,244,34,68545,112142,43171,1595,269783,7933,9410,628800,10,788,32.2,4186,20,5.017633637,470878,0,12787,1890112381,9525415183,438249032,153,4705,4550700819,0,79,121281916,0,1092524690,401,46914,61188383,6333,4181,202253,18,7376209891,10735148898
16384,361358106,50611,40289133,1284854290,276,0,10516597,870428481,1626548154,3209215,1204303,89490842,896982716,147123,0,911678464,1093,1093,4812,3024,4,114,3025,13367,4399378508,1592,3,494140,0,6,190404,1368287100,98028893,4389,412855,45820,34,61161472,117,102394,4339157274,39.6,2233385,169,11540,937691,60,4472492145,20457,38279108,36927903,8967841512,358179249,14033377227,7133919399,10573,9,23725,280829399,11395550,49,12,12,20456,569140,274917988,6968890863,6259,451,24,37307941,4286176807,6872236037,29040,14176493478,0,255,59,85657,113591,57432,1102,605183,9829,5270,643154,24,542,31.3,1202,34,5.013351160,395991,0,7660,1701379980,8944845360,362877144,117,2462,4290882193,0,12595,93749367,0,1055800742,150,47431,43192163,2083,2093,207438,50,6605653475,8582713929
16384,326542546,116755,42595108,1261263679,241,114,8486835,890173872,1626548163,3952176,1043923,97087231,887640901,61936,0,949730023,318,318,3655,3818,4,135,3812,15454,4268738402,2666,2,796163,0,12,69074,1325797413,105260530,6828,408175,64733,52,57274368,145,13995,4169500470,45.6,532859,180,10898,786764,114,4216698079,37578,41252444,38655035,9159930284,319069859,14108260132,7083560792,13435,9,8917,246278847,8922167,140,24,24,37574,451854,233136061,6932716751,2987,431,48,39787776,4300416832,7031896417,15859,14086443318,0,226,118,58213,73393,11209,791,927487,11026,3420,616416,48,753,32.2,1770,66,5.009298713,788125,0,7566,1900942364,9103948725,344784392,143,318,4138031052,0,201,105347892,0,1048127570,599,22280,47519465,3254,2796,194841,279,6757227088,8723676358
139264,330605281,55689,35414233,1285716685,276,0,9023084,871313282,1626548173,3833439,1048877,98042857,909505504,78756,0,912570832,132,148,1443,3379,26,129,3379,13907,4547775280,2437,16,794986,0,11,58362,1281318662,117703627,6954,414295,60305,52,76791808,137,12986,4481104799,41.1,439402,170,9987,769350,97,4148773633,33475,39072816,37311055,8634351945,325901192,14670270860,7415090189,15285,38,8179,246754847,10119967,116,22,22,33475,451897,244279411,7061736889,3329,419,46,38132688,4174005807,6801912751,15085,13225159718,0,260,108,56853,91811,11568,1009,944247,14207,5420,637823,46,701,31.4,1450,63,5.010508239,407925,0,7697,1726973893,9981189325,334933746,137,132,4466228298,0,392,99108371,0,1038271940,550,52672,39667659,2788,2374,208516,107,7291577963,8548055435
17412096,335224563,185073,36785908,1243548774,336,0,12316950,764507652,1626548182,5527325,1150656,93431664,745811569,6548,0,823871701,7175,259,2767,4415,262,140,4415,18959,3665934074,4228,12,456568,0,275,89378,1206916425,75648870,2239,399684,89646,14,33583104,155,13844,3651812696,37,576782,182,12683,829886,133,3797890593,64853,37757883,40019868,7521904624,343113886,12601441511,6283919533,4416,7,4505,242145532,11073062,257,298,298,64847,448801,232901134,6321326138,3473,596,343,39456680,3737095829,5892247781,7435,13115321940,0,292,215,90349,25407,9189,1563,283485,14686,6690,635011,343,869,30.4,2278,122,5.010333766,1416213,0,3703,1484710575,7197575181,350119883,153,259,3691274780,0,404,80140602,0,909129649,98,33834,39432125,4636,3084,216927,194,5946010499,7942557260
3022848,426219053,207110,44205524,1241703947,198,0,16396817,788628967,1626548192,7155330,1365139,79359978,798283488,6,0,844112088,122,0,288,2472,556,101,2470,11812,4049060837,1918,3,274533,0,0,239708,1241013688,78781211,320,386601,203615,1,28672,109,0,4050602341,47.1,171259,159,10399,942552,165,4019675349,155337,44528345,43588628,7838253849,431092932,14642707833,7286952221,11284,0,0,274525147,16332161,0,0,0,155338,459234,285671967,7304592024,5,429,0,43997478,4015595988,5666564447,0,14886596661,91,191,1158,25950,531,288,2,276153,61162,6730,624226,0,1305,30.7,582,5,5.026988953,301505,0,0,1539299948,7891753399,419052433,110,0,4063346867,0,0,79747837,0,992493005,322,85591,50589169,1556,1550,185359,0,5865995322,9552166800
3137536,431841165,212601,56533186,1276060385,191,2,18592650,788125631,1626548201,6947208,1327906,80848323,777669280,0,0,887937041,18,0,292,2221,515,102,2221,13921,3848093419,1619,6,313292,0,0,232903,1279745024,74204543,363,386052,248866,1,0,113,1928,3928691711,48.7,262785,152,9786,907144,222,4023654481,144105,49205754,49075688,7922335772,432267780,14448817894,7254591557,12502,0,0,285573959,18674328,0,0,0,144108,445504,274076320,7373840290,0,402,0,48701020,3942938491,5841330967,0,14995168540,58,190,1119,29579,13488,2195,0,296073,57583,6140,611512,0,1404,30.8,470,9,5.015279262,355149,0,0,1567496445,7562081126,434869953,111,0,3987077558,0,0,79379261,0,959568021,331,68496,62247451,1292,1347,181047,0,5777946831,9288335656
