dTLB-load-misses,armv7_cortex_a7/pc_write_retired/,time,iowritetime,filemap:mm_filemap_delete_from_page_cache,iowritebytes,cpu-migrations,armv7_cortex_a7/l1d_cache/,armv7_cortex_a7/exc_return/,block:block_dirty_buffer,sched:sched_process_exec,L1-icache-loads,branch-misses,jbd2:jbd2_handle_stats,armv7_cortex_a7/l1i_cache_refill/,L1-dcache-store-misses,armv7_cortex_a7/br_mis_pred/,napi:napi_poll,pkt_out,drop_in,drop_out,sched:sched_stat_runtime,timer:timer_cancel,armv7_cortex_a7/l1d_cache_wb/,armv7_cortex_a7/cid_write_retired/,branch-instructions,ext4:ext4_da_update_reserve_space,task:task_newtask,armv7_cortex_a7/inst_retired/,block:block_touch_buffer,kmem:kfree,armv7_cortex_a7/br_immed_retired/,block:block_bio_remap,armv7_cortex_a7/unaligned_ldst_retired/,random:credit_entropy_bits,rpm:rpm_return_int,tcp:tcp_probe,cache-misses,cpu,armv7_cortex_a7/cpu_cycles/,armv7_cortex_a7/l1i_cache/,ext4:ext4_free_inode,instructions,iTLB-load-misses,dTLB-store-misses,ext4:ext4_es_lookup_extent_enter,ioreadtime,context-switches,L1-dcache-loads,filemap:mm_filemap_add_to_page_cache,armv7_cortex_a7/bus_cycles/,timer:timer_start,block:block_bio_frontmerge,kmem:mm_page_free,branch-load-misses,seconds,kmem:mm_page_alloc_zone_locked,memory,ext4:ext4_ext_load_extent,LLC-store-misses,armv7_cortex_a7/mem_access/,jbd2:jbd2_checkpoint_stats,writeback:wait_on_page_writeback,timer:tick_stop,pkt_in,raw_syscalls:sys_enter,armv7_cortex_a7/br_pred/,iobusytime,minor-faults,kmem:kmem_cache_alloc,writeback:sb_clear_inode_writeback,armv7_cortex_a7/exc_taken/,net_out,cpu-cycles,err_out,L1-dcache-load-misses,block:block_split,armv7_cortex_a7/l1d_tlb_refill/,workqueue:workqueue_execute_start,writeback:global_dirty_state,ext4:ext4_unlink_enter,irq:softirq_exit,err_in,ioreadbytes,read_merge,LLC-stores,ext4:ext4_writepages_result,net:netif_rx,ioread,armv7_cortex_a7/st_retired/,mmc:mmc_request_done,gpio:gpio_value,pagemap:mm_lru_activate,armv7_cortex_a7/l2d_cache/,sched:sched_waking,L1-icache-load-misses,LLC-load-misses,net_in,L1-dcache-stores,fib:fib_table_lookup,armv7_cortex_a7/ld_retired/,ext4:ext4_evict_inode,bus-cycles,armv7_cortex_a7/l1d_cache_refill/,page-faults,ext4:ext4_journal_start,armv7_cortex_a7/l1i_tlb_refill/,ext4:ext4_sync_file_enter,write_merge,armv7_cortex_a7/l2d_cache_wb/,cache-references,LLC-loads,branch-loads,ext4:ext4_releasepage,timer:timer_init,iowrite
8585,725932013,1626547447,1,0,1,9,3512215806,1039520,0,12,5559653107,69804925,0,250007894,26488713,68124545,93,1,1,1,5307787808,1729,34358214,1341,749987010,0,13,6835227836,0,22321,757973510,0,276290,149,690,90,30899196,27.7,10955755214,5361628188,0,7164961825,5607,8471,0,1,687304,3677426696,0,5671283817,1725,0,1351,67769114,5.008804946,420,15.7,0,1209843,3546233354,0,0,215430,1,434186,1114778133,1,2508,6328,0,757269,1,11435267680,1,27666515,0,7908,362,1,0,5525,1,1,1,329357751,0,93,1,860273114,1106,5,0,313902199,419500,257073739,1637639,1,3663774500,6,1340805568,0,5721305068,34455433,2498,0,8786,0,1,204866,3651693832,318089130,1130341293,0,211,1
5142,669408702,1626547457,0,0,0,9,3250084127,933185,0,12,4967507404,68087511,0,225638280,37464274,63606436,95,214,0,0,5042720487,1719,30202923,5873,692584067,0,13,6343554960,0,23311,690390770,0,428363,154,657,92,43524993,23.4,10203166373,4968595424,0,6330761619,7515,9995,0,0,621243,3199673738,0,5286013800,1720,0,1334,63749134,5.012565103,353,15.6,0,3357888,3252864108,0,0,160747,194,429789,1015657537,0,2538,6281,0,706913,203056,10063278363,0,40663158,0,13751,346,0,0,5564,0,0,0,289694940,0,95,0,803956551,1068,6,0,284027838,414215,221541428,3216504,13910,3212681719,2,1235781739,0,5135105319,30275168,2538,0,3305,0,0,171595,3241719604,291525230,1017848519,0,205,0
27850,645445510,1626547467,0,0,0,19,3211556631,937143,0,12,5008838202,64067435,0,228264356,30122607,64117402,98,207,0,0,5077778758,1867,35690991,1224,655053855,0,13,6285344278,0,23293,697495066,0,273578,157,722,92,32767020,24.6,10146813277,4903701893,0,6240845833,17052,27319,0,0,624967,3181399844,0,5065217072,1869,0,1352,67919875,5.009477654,293,15.7,0,2378534,3197925660,0,0,157325,186,434115,1015501912,0,2532,6339,0,708732,198193,10189008798,0,31884675,0,19702,369,0,0,5776,0,0,0,311910335,0,98,0,768489933,1204,4,3,296175060,418614,227387050,2507834,9983,3207841903,6,1226893387,0,5118075676,34940835,2532,0,18867,0,0,235422,3207514237,299503643,1057741346,0,217,0
6877,728992102,1626547477,0,0,0,5,3546867967,1050591,0,8,5467391976,68016008,0,247511678,39351077,67004936,91,212,0,0,5167954385,1743,36679157,1134,745245424,0,7,6907117604,6,21872,751242663,0,265489,150,685,89,28785556,22.2,11040556551,5423905904,0,7020163447,6239,4281,8,0,694615,3573544254,0,5425058743,1739,0,488,67098221,5.016659998,85,15.7,0,2770886,3572707036,0,0,210253,205,437582,1116077815,0,1127,3036,0,765770,196326,10872770055,0,33360310,0,11404,351,0,0,5526,0,0,0,332215870,0,91,0,866313631,1141,5,0,317851411,425169,244222268,2195862,16103,3580278342,2,1352219240,0,5384022448,36299875,1127,0,9089,0,0,211229,3578604507,335980586,1117346610,0,169,0
14427,781510035,1626547486,0,0,0,6,3803123049,1117665,0,4,5743333304,72725528,0,268245045,33442766,75461814,106,217,0,0,5719858269,1952,44324549,1341,792160354,0,3,7409592876,0,23862,801347658,0,229865,164,766,98,35710126,23.4,11630829740,5832039887,0,7440286844,13633,16415,0,0,737650,3790400090,0,5957594181,1952,0,340,73507806,5.214257550,203,15.7,0,3627231,3813302572,0,0,237053,194,459032,1210942235,0,871,2687,0,807053,203117,11971624975,0,34042868,0,12139,396,0,0,5936,0,0,0,332071770,0,106,0,920266227,1249,5,0,345850136,446300,266577389,4169366,10657,3777306679,3,1455169409,0,6007461204,45239354,871,0,7493,0,0,237209,3828277432,333635258,1192081642,0,225,0
13679,747197297,1626547496,0,0,0,3,3570868531,1075702,0,17,5535125398,70626981,0,257019028,27206177,69993943,101,205,0,0,5525782358,1862,25636799,3743,764253617,0,16,6904729369,32,23351,744681016,0,153474,158,738,92,27930687,21.8,10883046950,5497135936,0,7108456334,5479,12072,32,0,709073,3631715366,0,5508746430,1863,0,737,69930459,5.008628956,100,15.7,0,921176,3675577061,0,0,219524,191,443143,1126968999,0,1037,3344,0,777549,186968,11013576949,0,27303217,0,4917,399,0,0,5563,0,0,0,310758986,0,101,0,892686189,1187,5,0,311831465,429941,257534724,600215,13812,3637986132,16,1386270819,0,5550330555,26350205,1037,0,7864,0,0,355292,3661861998,309786532,1123979979,0,222,0
5997,655477941,1626547505,0,0,0,0,3231630921,935378,0,13,4953099435,65483713,0,227460089,24216280,63433548,96,220,0,0,5041894231,1790,24071674,1501,675722474,0,12,6283336771,24,23113,665586855,0,154664,156,681,91,25483672,23,9664823464,4943594192,0,6345311525,8787,8977,24,0,630895,3226538997,0,4957833915,1785,0,578,63830376,5.009198071,25,15.7,0,762652,3269114016,0,0,154253,194,435672,998568713,0,814,2905,0,710800,206301,9854217587,0,24423461,0,8596,358,0,0,5642,0,0,0,271770527,0,96,0,787960987,1135,5,0,277811479,422573,225400158,865196,10208,3233805369,8,1237549544,0,5038402863,24601921,814,0,11134,0,0,267210,3276884839,274241350,993532562,0,197,0
8132,742887337,1626547516,0,0,0,0,3686495617,1098420,0,1,5638145559,71558881,0,261911026,26694558,71654499,97,215,0,0,5510277048,1848,26159169,1356,753902861,0,0,7153763411,0,22880,766275392,0,221610,157,724,92,27527444,24.4,11064867580,5586031416,0,7201023441,8170,9731,0,0,718077,3683734567,0,5509308959,1845,0,161,70976657,5.009055415,68,15.7,0,906106,3648605729,0,0,233295,200,442852,1149933387,0,47,1380,0,796643,203239,11146809809,0,27315660,0,8789,369,0,0,5664,0,0,0,313249069,0,97,0,886746363,1193,5,0,310315537,431745,263372181,969210,14188,3693204075,10,1368017691,0,5584571584,26830138,47,0,9387,0,0,177697,3708294118,314892492,1146622671,0,193,0
9621,744567792,1626547525,0,0,0,3,3648895825,1090114,0,1,5569395181,69853477,0,255418762,26435179,69287813,96,196,0,0,5275832284,1782,26045668,1353,768046800,0,0,7068908200,0,22967,757710531,0,193263,158,715,93,27186029,21.5,10888490141,5573464274,0,7154675655,9053,8871,0,0,713957,3653702061,0,5501325885,1775,0,166,69186393,5.009306509,5,15.6,0,758446,3664177177,0,0,232516,172,440843,1140374189,0,108,1473,0,790588,187484,11017898517,0,26409365,0,7254,355,0,0,5620,0,0,0,305217161,0,96,0,886704157,1188,5,0,306895200,429310,254611958,796809,9060,3659732139,3,1373916724,0,5548391613,26319794,108,0,11210,0,0,172009,3686033896,306619468,1137726728,0,146,0
12799,647035857,1626547535,0,0,0,1,3201216168,936881,0,1,4861329227,60998716,0,217932491,27544462,60779475,99,213,0,0,4784211020,1770,28724255,1270,649112309,0,0,6241425118,0,22998,664720632,0,225014,157,709,95,28251588,20.9,9656582819,4865275837,0,6238973594,7423,12268,0,0,625806,3181699433,0,4775856004,1768,0,161,60992730,5.009601404,64,15.7,0,821049,3200171277,0,0,166643,195,424862,990882377,0,68,1635,0,704747,200900,9631490074,0,28202235,0,11424,358,0,0,5621,0,0,0,274342524,0,99,0,778926255,1176,5,0,273545931,413019,216993878,561562,11975,3186235697,6,1215065828,0,4819356006,28031648,68,0,7944,0,0,135852,3212239033,273067292,994082471,0,137,0
6948,753731759,1626547544,0,0,0,2,3695930538,1106952,0,3,5690002260,69435735,0,258207792,32698869,67877358,112,208,0,0,5376705310,1822,29395884,1640,762754790,0,3,7162468621,0,23550,754692378,0,217852,159,765,98,30203008,23,10982014045,5615661704,0,7205271333,9974,7691,0,0,721799,3691297831,0,5586855282,1821,0,332,68490263,5.011157758,12,15.6,0,1578074,3694544793,0,0,230955,195,446691,1143060783,0,814,3072,0,799960,195757,11212995868,0,31996056,0,12087,386,0,0,5751,0,0,0,321061301,0,114,0,897855575,1218,5,0,316151817,432605,266293574,1837574,14416,3707011631,3,1383613268,0,5596347315,28537365,814,0,7666,0,0,164414,3712048359,330134813,1140994025,0,146,0
