sched:sched_process_exec,branch-misses,ext4:ext4_unlink_enter,L1-dcache-stores,L1-icache-loads,gpio:gpio_value,cpu-cycles,jbd2:jbd2_checkpoint_stats,drop_out,iobusytime,page-faults,L1-dcache-store-misses,armv7_cortex_a7/l1d_cache/,block:block_dirty_buffer,armv7_cortex_a7/l2d_cache/,cpu-migrations,sched:sched_stat_runtime,filemap:mm_filemap_add_to_page_cache,cache-misses,dTLB-load-misses,memory,bus-cycles,raw_syscalls:sys_enter,net_out,branch-instructions,timer:timer_start,net:netif_rx,armv7_cortex_a7/bus_cycles/,sched:sched_waking,armv7_cortex_a7/ld_retired/,timer:timer_init,branch-loads,writeback:sb_clear_inode_writeback,armv7_cortex_a7/mem_access/,ext4:ext4_journal_start,writeback:wait_on_page_writeback,branch-load-misses,kmem:kfree,random:credit_entropy_bits,block:block_touch_buffer,net_in,LLC-loads,read_merge,armv7_cortex_a7/st_retired/,L1-dcache-load-misses,context-switches,armv7_cortex_a7/exc_taken/,LLC-store-misses,irq:softirq_exit,ioreadtime,ext4:ext4_es_lookup_extent_enter,iowritebytes,armv7_cortex_a7/l1d_tlb_refill/,armv7_cortex_a7/br_pred/,block:block_bio_remap,cpu,armv7_cortex_a7/pc_write_retired/,err_in,kmem:mm_page_free,mmc:mmc_request_done,armv7_cortex_a7/unaligned_ldst_retired/,armv7_cortex_a7/l1i_cache_refill/,timer:timer_cancel,jbd2:jbd2_handle_stats,armv7_cortex_a7/exc_return/,armv7_cortex_a7/cpu_cycles/,armv7_cortex_a7/inst_retired/,ext4:ext4_sync_file_enter,armv7_cortex_a7/br_immed_retired/,pkt_out,ioreadbytes,minor-faults,cache-references,armv7_cortex_a7/l1d_cache_refill/,workqueue:workqueue_execute_start,LLC-stores,pkt_in,dTLB-store-misses,ext4:ext4_free_inode,time,armv7_cortex_a7/l1i_cache/,tcp:tcp_probe,instructions,fib:fib_table_lookup,armv7_cortex_a7/l1d_cache_wb/,ioread,iowrite,err_out,seconds,iowritetime,armv7_cortex_a7/cid_write_retired/,write_merge,kmem:mm_page_alloc_zone_locked,task:task_newtask,armv7_cortex_a7/l2d_cache_wb/,writeback:global_dirty_state,block:block_bio_frontmerge,iTLB-load-misses,ext4:ext4_ext_load_extent,LLC-load-misses,timer:tick_stop,ext4:ext4_da_update_reserve_space,napi:napi_poll,filemap:mm_filemap_delete_from_page_cache,pagemap:mm_lru_activate,armv7_cortex_a7/l1i_tlb_refill/,ext4:ext4_writepages_result,kmem:kmem_cache_alloc,ext4:ext4_releasepage,drop_in,block:block_split,L1-icache-load-misses,ext4:ext4_evict_inode,L1-dcache-loads,armv7_cortex_a7/br_mis_pred/,rpm:rpm_return_int
93,89254557,16,4096885656,6462874542,6879,13312075958,9,0,7720,24493,41825351,4071584376,208,363364022,84,8241998797,7468,43175448,158409,28.1,6736162022,547319,199166,834903728,5787,142,6716256084,419089,1657106792,459,1320137971,16,4150403574,329,16,93248100,71843,212,6136,24778,369729385,213,1034660433,42753869,646775,886461,10531557,18973,6817,8015,863232,142806,1293216216,3790,36.2,809843040,0,10791,4865,427670,269125164,5786,215,1168699,13317787856,8094551485,16,904856844,254,82643456,24432,4018955909,42214091,14124,380847428,227,160778,17,1626549864,6235589358,125,7990626886,27,45833527,7130,52,0,5.009685362,120,36100,161,12690,131,2170963,3,7,99146,7,9335021,106880,16,140,18,362,99762,16,141658,12,0,0,277359247,17,4047089088,92725765,14403
20,95830629,2,4238485798,6567855065,6058,13879708472,0,0,4790,5659,42208132,4036488565,30,353317813,27,8658459788,3643,42316637,66129,27.3,6898769465,750440,177228,901888301,5288,132,6664813438,414443,1564677433,420,1464883779,0,4012317744,74,0,95906571,145811,205,5087,27669,364947123,601,985410771,42376844,610904,994354,9269734,20701,17385,13105,18357248,51175,1345027672,3519,67.4,851912522,0,9716,4386,572951,267125604,5287,41,1233580,12988820515,8243703999,0,967715080,230,56781824,5659,4246205869,40002810,12591,371865930,208,62068,1,1626549874,6403122166,120,8510866043,20,44340207,3581,67,0,5.016168049,32696,8951,113,7507,26,1579649,2,19,27584,1,8628207,96504,0,132,3095,17303,24372,0,183717,0,0,0,265172574,27,4203263187,91834690,13011
3,70998406,0,5658854127,8063008454,613,13996105919,0,0,5470,1459,41578260,5560751867,26870,306074465,51,12567525919,31971,43957389,50898,27.1,6940932686,377733,179538,780443852,2311,91,6699445486,326962,3295775439,465,1095535716,8,5447566593,54865,0,66695303,19901,141,28041,10535,300280623,185,918898769,42567999,505604,588997,5929607,7797,55326,27062,129640448,65987,1101570088,216,56.2,765428267,0,38124,1423,150082,213754224,2312,27977,760184,13546690052,12352893815,0,767892096,194,50692096,1457,5679570177,39184856,1022,290408550,188,51407,0,1626549883,8070698475,88,12447348889,6,45120287,218,298,0,5.013190491,953517,98866,19,28887,2,3134728,14370,0,29785,0,6643302,94694,22,90,37615,20899,44808,11,59410,15668,0,101,220660151,1598,5747332198,65943334,634
55,67582920,0,4753010883,7099265951,811,12262371752,0,0,8620,13680,40481392,3947862574,8585,325665031,75,8116020861,17205,38540057,119371,27.3,5928319459,394165,302534,732643829,2237,99,5749036795,361833,1463645236,324,1158687243,9,3679632998,17579,816,72091156,22183,152,9138,27648,322496768,393,864577235,39879522,594195,705103,10185914,7744,129241,8961,168751104,62023,1154978837,323,38.9,732141168,0,13600,1560,364969,242690614,2239,8974,959322,11912083603,7961761733,0,815551309,351,105070592,13668,4238381076,43829349,1173,320846161,321,124183,0,1626549893,5678967099,86,9051805196,11,45009710,486,382,0,5.010756714,1723888,3740,31,16135,74,1154144,115,0,73055,0,10229453,147785,20,99,7851,91,35877,12,39604,6606,0,116,229077695,561,4509395006,72042506,653
13,76227002,0,4564305632,6812322693,479,13627333787,2,0,6190,3023,41667611,4934917838,11327,368163642,27,8796026793,22490,46500676,48478,26.7,6921176294,448030,202404,858281754,2421,105,6830356347,417844,2353752009,217,1212669046,8,4788306273,23145,638,75037837,24820,174,12027,10547,340781408,292,992427600,43466193,661919,756149,5851242,7998,58086,11705,118284288,53570,1223110919,394,38.4,846278012,0,20440,1695,251295,259389526,2425,11819,1001846,13793596854,10520378723,0,825212773,217,79568896,3021,4921533608,41552079,897,340354422,199,47641,0,1626549908,7050311324,99,9941680501,5,44444736,337,269,0,5.702685286,343478,23797,59,21595,16,1678628,90,0,27845,0,5743195,172187,9,105,18942,651,30885,3,30281,6710,0,42,254967192,330,4667532112,75123166,745
17,69991707,0,4820807956,7281091100,713,12937849097,3,0,7270,3657,51234829,4520662958,16922,307427300,87,9413596790,34134,42981185,54971,26.4,6481270201,379034,191334,772852834,2469,111,6460369240,342068,2493533616,275,1139867694,7,4637060918,34600,115,68193152,22349,157,18039,17988,328293192,652,893169326,49547145,541645,656807,12938111,8370,44332,17513,89817088,60209,1118470354,821,47.3,746566941,0,37953,1735,320355,218409303,2472,17671,863957,13341938381,9673002843,0,777094993,214,114319360,3635,4698531021,38245880,1155,325341180,211,59170,0,1626549918,6921613551,89,9923990439,14,42095206,606,216,0,5.011238037,315674,28712,27,30045,21,2200219,137,7,35306,0,12513058,129657,33,111,36043,142,32794,4,43475,20547,0,45,215625330,2627,4709650373,67273638,748
41,72060887,0,4232011229,6215624078,1074,12412451949,1,0,4290,12764,40759570,4010936781,6293,318589378,97,8445529096,13683,41929581,99143,26.5,6194626049,402359,214951,763562181,2771,138,5993784355,372363,1864141635,370,1095785830,4,4036263348,12877,243,67767366,24960,163,7181,41210,321780769,556,907817039,41158973,588299,729307,9013053,8943,9939,7203,84684800,104593,1137945344,848,42.3,738774042,0,20204,1899,247987,223139330,2768,6537,1000265,12275227800,8292060063,0,770811933,322,33078784,12666,4331876171,49663908,2024,314162026,272,93867,0,1626549928,5985003610,124,9089549573,24,55369378,658,210,0,5.011235340,324565,29712,20,15077,54,1768369,49,11,46371,1,8974556,115198,66,138,15215,605,58300,8,33997,6983,0,72,233248448,886,4274287334,69883346,1528
13,108018063,0,4259078177,7452994712,42,14005562246,1,0,2880,3136,39455844,4267799804,44,286290215,24,10551570807,122,48412334,18522,28.2,7052756929,459339,185790,1129140525,2200,105,7053564628,385522,1974675054,377,1842621337,0,4318102242,0,0,106218829,23359,159,1,13352,286133669,1187,981076247,42418220,560382,690395,5175726,7577,1093,64,192512,57730,1854643160,95,57.1,1129147607,0,1394,1358,411026,211760418,2204,0,881957,13668056230,9812333580,0,1419160864,195,10789888,3126,4270449738,34576438,531,279990504,184,17170,0,1626549938,7706196039,94,9806971313,4,36450235,1264,2,0,5.017837935,14,17632,45,2224,17,950215,1,1,12302,0,5715985,108231,0,105,0,2,57537,0,61466,0,0,0,210942702,0,4258889793,106600727,893
9,111030668,0,4124782236,7255980527,2309,13107792775,0,0,6780,2154,39649990,4090243372,7,289706141,42,9888597368,1498,44497564,53236,28.3,6540066933,408557,197286,1059757088,3066,96,6547829849,387977,1822288455,339,1660811298,0,4095629420,0,0,111385800,47638,172,1653,9926,292917012,660,959819287,40790754,576477,659780,5440011,10295,1991,2313,36864,23116,1697862244,1505,52.2,1034340493,0,778,2262,350794,210052353,3067,0,865332,13136362194,9129440932,0,1277335636,206,13763584,2154,4122772009,36783904,4951,298124207,181,52924,0,1626549947,7000910748,88,9237962341,3,39153167,2676,2,0,5.020818964,6,8036,7,1857,11,865265,1,12,34041,13,5032246,148021,0,96,0,56,24892,0,14728,0,0,0,211585592,0,4118600967,114285338,5264
14,103762112,0,4256960286,7328453896,1780,13271623836,0,0,4740,4115,31678763,4205329447,0,309466480,43,10586749177,1148,32178163,48807,26.8,6574448068,463920,202569,1047336215,3184,134,6579211100,391654,1858339802,396,1725140813,1,4167513193,0,0,105736956,33881,174,1360,26043,283044819,475,958457760,32298523,580154,715885,3500580,12400,2242,1802,241664,67058,1732249835,1204,52.2,1046924837,0,7484,2290,352126,224205258,3184,0,924530,13098973052,9529160169,0,1289172162,272,12931072,4115,4274765015,30827062,3962,284301602,281,52878,0,1626549957,7337142158,130,9521982044,7,34016730,2494,31,0,5.011048142,799,3498,26,1372,19,1022777,1,12,41799,0,3342357,110498,0,134,4062,206,37254,0,34539,4061,0,0,214073623,367,4255535013,106139014,4262
