armv7_cortex_a7/unaligned_ldst_retired/,block:block_bio_remap,rpm:rpm_return_int,ext4:ext4_writepages_result,L1-dcache-stores,ioreadtime,jbd2:jbd2_checkpoint_stats,L1-dcache-load-misses,sched:sched_stat_runtime,cpu,cpu-migrations,armv7_cortex_a7/l1i_cache/,iowrite,timer:tick_stop,ext4:ext4_sync_file_enter,pkt_out,tcp:tcp_probe,LLC-store-misses,random:credit_entropy_bits,branch-instructions,sched:sched_process_exec,err_in,LLC-stores,branch-load-misses,armv7_cortex_a7/br_pred/,cache-misses,armv7_cortex_a7/l1d_cache_refill/,armv7_cortex_a7/l2d_cache/,armv7_cortex_a7/l1i_cache_refill/,branch-loads,ioread,pagemap:mm_lru_activate,pkt_in,fib:fib_table_lookup,armv7_cortex_a7/inst_retired/,L1-dcache-loads,page-faults,time,ext4:ext4_journal_start,timer:timer_start,workqueue:workqueue_execute_start,block:block_bio_frontmerge,filemap:mm_filemap_add_to_page_cache,timer:timer_init,ext4:ext4_es_lookup_extent_enter,cache-references,net:netif_rx,context-switches,write_merge,timer:timer_cancel,writeback:wait_on_page_writeback,armv7_cortex_a7/br_immed_retired/,LLC-load-misses,net_out,armv7_cortex_a7/bus_cycles/,LLC-loads,bus-cycles,armv7_cortex_a7/cpu_cycles/,drop_in,kmem:kmem_cache_alloc,iowritebytes,ext4:ext4_free_inode,sched:sched_waking,napi:napi_poll,armv7_cortex_a7/st_retired/,mmc:mmc_request_done,filemap:mm_filemap_delete_from_page_cache,block:block_dirty_buffer,ext4:ext4_evict_inode,kmem:kfree,minor-faults,memory,ext4:ext4_da_update_reserve_space,armv7_cortex_a7/exc_return/,instructions,ext4:ext4_releasepage,drop_out,L1-icache-load-misses,writeback:sb_clear_inode_writeback,armv7_cortex_a7/exc_taken/,task:task_newtask,read_merge,ext4:ext4_unlink_enter,armv7_cortex_a7/l1d_tlb_refill/,err_out,armv7_cortex_a7/pc_write_retired/,dTLB-store-misses,block:block_split,armv7_cortex_a7/l2d_cache_wb/,block:block_touch_buffer,L1-icache-loads,gpio:gpio_value,writeback:global_dirty_state,seconds,irq:softirq_exit,raw_syscalls:sys_enter,iTLB-load-misses,ext4:ext4_ext_load_extent,branch-misses,armv7_cortex_a7/l1i_tlb_refill/,armv7_cortex_a7/br_mis_pred/,ioreadbytes,armv7_cortex_a7/l1d_cache_wb/,jbd2:jbd2_handle_stats,dTLB-load-misses,armv7_cortex_a7/ld_retired/,iobusytime,kmem:mm_page_alloc_zone_locked,kmem:mm_page_free,net_in,armv7_cortex_a7/mem_access/,L1-dcache-store-misses,iowritetime,cpu-cycles,armv7_cortex_a7/l1d_cache/,armv7_cortex_a7/cid_write_retired/
227713,148,1508,0,4786328604,2982,0,74866853,9356732955,46.8,12,7439080392,55,161520,0,264,122,6126785,161,1051045642,7,0,384001808,87767946,1529996587,77674626,80781046,399589241,230070378,1523458800,259,0,212,2,9950548833,4787415527,1580,1626549153,9574,2264,1175,0,9081,183,4734,4905056826,125,625837,7,2264,0,1165270563,6543602,206214,7668320449,386026683,7620888655,14870092797,0,15632,22142976,0,415048,125,1224277068,1515,6816,4576,545,23105,1574,27,0,951358,9683678858,6816,0,228578566,0,719984,8,3,0,30869,0,1033531189,30033,0,2814723,4998,7183591071,301,36,5.009503849,6943,434674,13668,0,91067658,22346,88349886,33263616,84570465,4998,29481,2311040927,4990,15287,12690,11255,5013982590,75377682,29891,14785746773,4979004711,17136
189213,75,1030,0,4852037586,584,1,81507705,10519189476,55.6,9,7215627614,4,139510,0,200,100,7427962,158,1019660471,6,0,387614111,87041075,1545671556,81156879,81939334,385219750,217234003,1540906407,80,43,194,6,9726224692,4851048237,1991,1626549163,10330,1953,689,0,6952,179,4991,4877125261,112,601883,4,1956,0,1196870288,7640550,188742,7574663072,388779374,7524083735,14904806673,0,16703,32768,0,401151,110,1214225735,1306,6094,4918,581,23360,1991,27,0,928505,9793184168,6151,0,217254558,0,699479,8,0,0,72418,0,1020669925,87347,0,2555818,5413,7211184138,149,39,5.013082281,6591,422328,67357,0,87399256,24375,89990740,9510912,85512058,5414,79686,2299603017,1320,17937,13750,14899,4947378334,81737084,12,14840903930,4844869475,5179
316211,6,820,0,4894709435,1663,1,77136276,11322853983,56.2,13,7267554254,38,116349,0,223,131,5650016,156,967955206,5,0,348723335,82093049,1460426154,76898899,77709038,356403888,190897704,1454644390,124,12,194,9,10353676622,4871528765,1305,1626549172,9931,1931,442,0,4724,175,4722,4891679047,139,532336,5,1930,0,1143525917,5928115,195855,7289286768,347032489,7222454518,14555204274,0,15112,16814080,0,380111,127,1198477607,1250,4372,4716,0,22785,1304,26.9,0,780320,10135802171,4372,0,186604471,0,612246,6,2,0,19937,0,952040756,16956,0,2582580,5215,7400168518,15,38,5.011650213,6393,399653,12334,0,83260460,17808,82700845,14557184,82537949,5215,14032,2372230717,2380,14087,9344,15485,4863028558,76800839,13997,14186467950,4907561922,2826
286830,83,947,5,3815513655,2755,1,52914476,7413478877,47.7,32,5298069364,150,128489,0,220,100,7352687,163,772261699,10,0,288602678,65914633,1072545978,50104101,45040936,289051718,194568553,1104800184,223,26,207,9,7086140046,3794452914,2519,1626549182,3483,2232,1072,0,3243,183,1708,3699174669,114,558635,8,2234,16,745769881,7487198,203147,5696636788,294233295,5793896678,10798053519,0,11607,72347648,0,384896,112,906518806,1576,2354,1637,0,24010,2519,26.8,14,829574,7415980030,2354,0,193523308,1,642368,13,2,0,32055,0,751468598,13461,126,1325928,1873,5667124719,581,14,5.053053286,7185,402684,12032,0,70854635,12601,62700683,25788416,46389888,1836,17219,1515775237,5040,6361,5177,15019,3641405920,53133392,246643,11731762408,3591419194,2018
245080,179,1377,0,4397265593,2747,1,77086740,10228720351,55.1,21,6628452006,4,102800,0,217,96,7429448,157,919633929,8,0,356229338,81003824,1396925878,77425733,78160446,350594678,183847306,1403555967,316,0,203,15,8954069208,4381712289,1144,1626549192,10203,2075,1107,0,9478,208,5039,4369422971,111,512523,2,2076,0,1091922945,7526161,196485,6659335140,353607307,6648994884,13288987665,0,15545,24576,0,372754,111,1078901682,1384,9324,4853,633,22880,1143,26.7,0,768685,8850970681,9323,0,181091132,0,603046,9,0,0,25082,0,912094758,25573,0,2772352,5359,6540853414,362,39,5.017446202,7202,391010,18752,0,79459834,9837,79146311,35897344,83080482,5351,26893,2104596734,4820,18876,14457,13632,4434235458,77583861,6,13220201182,4433815893,2236
252605,145,1298,1,4451285707,3602,1,65953687,10477370182,53.4,22,6961916969,103,142615,0,222,102,5188317,158,934850178,6,0,353121017,81649596,1419104919,65676788,72913457,371877885,210439415,1397263611,244,2,212,5,9091265290,4448606347,1739,1626549202,8614,2157,1018,0,8058,197,4223,4427229337,118,579309,7,2162,0,1077251260,5437229,208337,6941958900,352515512,6794783096,13686168203,0,15245,47734784,0,385867,116,1120233516,1492,6615,4084,679,22981,1739,26.7,3,888508,8858223824,6615,0,211332514,2,670209,8,4,0,50025,0,934925465,109128,30,2895519,4534,6643124410,351,36,5.012992853,7134,405067,70372,0,81350509,57621,83724637,30773248,77895107,4527,96297,2113551609,5180,16668,14579,16304,4571297037,66360575,59867,13363361852,4576837660,10449
296475,110,1112,0,4212502681,3987,2,59955692,9459865169,51.4,23,6556664565,89,153357,0,208,98,4165054,158,913426525,4,0,333468152,77731119,1343441623,62294300,61227760,353947738,219010324,1295046394,225,83,188,7,8546172277,4254419686,1055,1626549212,7146,2090,1009,0,6690,166,3502,4323404103,102,592649,6,2089,0,988745572,4137775,195473,6777183576,334090792,6561541486,12947196343,0,11796,41967616,0,392955,102,1099009253,1448,5963,3396,0,22730,1057,26.6,0,899918,8600787756,5963,0,219406283,1,675831,5,6,0,17394,0,930329501,12397,0,2544150,3754,6206770860,432,28,5.012299980,6624,409167,10646,0,82331725,13779,79570270,30146560,64674107,3754,15474,2023781837,4800,12002,9579,9881,4530519254,58630224,203654,12937795853,4296869418,11670
245770,144,1281,0,4117499478,1936,1,90230269,10355969628,57.9,21,6246067557,4,78804,0,194,100,15352091,155,851658232,16,0,355013748,76124035,1332564614,82003263,79710561,338683272,168193953,1332615118,261,267,185,2,8437844640,4107840117,3315,1626549221,9377,1984,961,0,8846,185,4592,4090124305,110,474070,2,1986,0,1042122361,15465623,182960,6502277822,359923953,6501901037,13361364505,0,18738,24576,0,354416,108,1011301266,1327,8280,4440,345,23296,3319,26.7,0,730433,8416510494,8099,0,170997742,0,577772,18,0,0,19740,0,858916749,26562,0,2957224,4943,6178181766,294,36,5.016083817,7029,376649,22361,0,76320974,14684,77163326,32305152,84460910,4937,22476,1984666219,4490,18261,14367,13322,4163554963,94075191,10,13231734293,4163827625,3585
218310,127,1094,1,4309684067,3667,2,79311445,9495832558,50.1,43,6141942957,95,134672,0,196,87,7610088,153,838452880,7,0,361674553,79761869,1331942564,72624557,66923420,340281401,202717518,1381217186,192,8,176,3,8224084508,4190789372,1618,1626549230,7285,1908,901,0,6546,180,3567,4083856551,94,558591,12,1908,0,1023298552,8651328,181918,6368733584,365070051,6420526188,12768252382,0,11953,44605440,0,381953,94,990895466,1275,5748,3447,0,22407,1618,26.5,3,848340,8311547379,5748,0,197008951,2,649593,8,5,0,11449,0,840848665,18215,30,1834292,3845,6640645279,325,31,5.011985802,6502,399006,8443,0,77120189,10774,77731205,23384064,69663383,3837,18450,1842179768,4110,8531,9794,9794,4098139742,79928518,48477,12931717030,4112569173,2189
278847,84,972,0,4032578319,2149,1,53841751,8470237797,50,15,6172140890,99,164382,0,202,90,4895223,157,838729955,7,0,355471409,76207024,1288869422,54048673,60200023,352041427,220158841,1284274391,199,222,186,4,8023094931,3992145878,1600,1626549239,5088,1983,958,0,4759,154,2491,3972349090,102,606233,1,1986,328,935166742,4703739,192449,6354688350,358823383,6255102403,12663769967,0,9596,44584960,0,395550,102,1004017979,1383,3795,2414,0,22699,1600,26.5,0,913149,7954787878,3795,0,217148151,1,686964,8,1,0,13382,0,852681514,16355,0,1744507,2681,6126059467,447,20,5.011061353,6489,411322,10310,0,76500273,7179,76177797,25219072,63234433,2682,17741,1810160126,4360,10291,6912,13299,4154137257,58375562,221719,12391561939,4030823091,7093
