fib:fib_table_lookup,dTLB-load-misses,ext4:ext4_unlink_enter,pkt_in,seconds,iowrite,armv7_cortex_a7/exc_return/,sched:sched_waking,sched:sched_process_exec,ext4:ext4_free_inode,filemap:mm_filemap_delete_from_page_cache,ext4:ext4_releasepage,ext4:ext4_writepages_result,net_out,pkt_out,cache-misses,branch-load-misses,armv7_cortex_a7/l1d_tlb_refill/,LLC-loads,armv7_cortex_a7/unaligned_ldst_retired/,iobusytime,jbd2:jbd2_checkpoint_stats,pagemap:mm_lru_activate,write_merge,armv7_cortex_a7/br_mis_pred/,armv7_cortex_a7/br_immed_retired/,ioread,L1-dcache-load-misses,kmem:kmem_cache_alloc,ioreadtime,L1-dcache-loads,armv7_cortex_a7/l1d_cache/,iTLB-load-misses,LLC-stores,drop_in,random:credit_entropy_bits,ext4:ext4_da_update_reserve_space,raw_syscalls:sys_enter,LLC-store-misses,ioreadbytes,mmc:mmc_request_done,irq:softirq_exit,armv7_cortex_a7/l2d_cache/,L1-icache-loads,armv7_cortex_a7/exc_taken/,context-switches,armv7_cortex_a7/l1i_tlb_refill/,block:block_touch_buffer,jbd2:jbd2_handle_stats,armv7_cortex_a7/l1i_cache_refill/,dTLB-store-misses,sched:sched_stat_runtime,cpu-cycles,writeback:global_dirty_state,timer:timer_start,kmem:mm_page_free,bus-cycles,branch-loads,net:netif_rx,ext4:ext4_sync_file_enter,LLC-load-misses,kmem:mm_page_alloc_zone_locked,kmem:kfree,writeback:sb_clear_inode_writeback,armv7_cortex_a7/cid_write_retired/,armv7_cortex_a7/l1i_cache/,timer:timer_init,time,drop_out,cpu,rpm:rpm_return_int,branch-instructions,armv7_cortex_a7/inst_retired/,iowritetime,writeback:wait_on_page_writeback,ext4:ext4_evict_inode,L1-dcache-store-misses,ext4:ext4_ext_load_extent,block:block_bio_remap,armv7_cortex_a7/l1d_cache_refill/,minor-faults,armv7_cortex_a7/st_retired/,ext4:ext4_journal_start,armv7_cortex_a7/pc_write_retired/,L1-icache-load-misses,tcp:tcp_probe,memory,L1-dcache-stores,block:block_split,err_out,filemap:mm_filemap_add_to_page_cache,cpu-migrations,branch-misses,instructions,workqueue:workqueue_execute_start,net_in,read_merge,armv7_cortex_a7/bus_cycles/,timer:tick_stop,armv7_cortex_a7/l1d_cache_wb/,armv7_cortex_a7/br_pred/,err_in,block:block_bio_frontmerge,armv7_cortex_a7/ld_retired/,ext4:ext4_es_lookup_extent_enter,timer:timer_cancel,page-faults,napi:napi_poll,block:block_dirty_buffer,armv7_cortex_a7/cpu_cycles/,cache-references,gpio:gpio_value,armv7_cortex_a7/l2d_cache_wb/,armv7_cortex_a7/mem_access/,iowritebytes,task:task_newtask
117,37951,0,8823,5.009440146,0,1041296,409266,15,0,0,0,0,600361,4306,49504488,77228747,73749,339872394,5795991,0,0,81,0,78421193,764031935,0,47927133,27748,0,3918396353,4062500798,50086,335219232,0,414,0,428087,7862815,0,10964,24609,353003840,5866563352,759150,642713,59878,0,0,248776790,41268,6594428433,12852729269,0,12261,2078,6455193549,1146608808,6410,0,8911080,3101,28314,0,9546,6137310756,433,1626553324,0,29.9,16904,765025004,8250331296,0,0,0,47432405,0,0,38966923,3949,915800163,0,747699513,255882598,5369,27.6,3876256007,0,0,0,35,80785020,7977018319,3895,12498855,0,6190969371,136908,40876123,1173106104,0,0,1497057613,0,12257,3949,6363,0,12746933249,3895894815,5,789715,3767035223,0,18
156,35105,0,14427,5.010862544,0,1067851,416324,11,0,0,0,0,675834,4730,45699746,81993333,69241,372607890,1195710,0,0,138,0,87363166,803315620,0,46754233,33322,0,4384823978,4316573842,53419,366810535,0,592,0,425830,11676166,0,17626,38692,368399031,6446305219,765598,658128,89657,0,0,267610321,37808,7625041935,14140770158,0,19127,2118,6874519209,1215447923,11749,0,10940588,4770,29500,0,30190,6569666904,421,1626553334,0,32.8,28685,812698074,9161037072,0,0,0,50920093,0,0,45168825,2565,1037598594,0,802902946,259515132,10238,30.1,4325187359,0,0,0,22,83890955,9262662219,5764,20800095,0,6619479598,122348,47826025,1240099102,0,0,1789297073,0,19126,2565,11718,0,14617698883,4439175858,6,1700290,4328370199,0,13
3,675385,2,226,5.009319693,436,1075004,410909,50,5,139,10,65,197169,244,55423758,96897421,1399768,402290644,613041,6330,15,7719,6651,91889793,964424268,899,55978677,43611,1494,4174556617,4067714371,226185,393171005,0,173,65,447321,16754956,11059200,2433,10844,388488200,6737046862,793708,641543,285567,5043,2184,260922566,708958,8361755716,14403094245,4,3336,13191,7244993563,1353296673,132,79,15970545,9375,33993,65,36536,6078676210,392,1626553343,0,52.6,4689,867250475,8499058095,85491,18,5,56019079,3,1857,60446911,28571,922188274,3956,817805689,266058552,123,32.2,4179986693,2,0,3218,68,91589196,8886505044,4626,13803,559,7177119251,105895,64083061,1324035043,0,19,1707619517,4754,3328,28669,130,1984,14503073861,4277004520,2142,2760680,4059332440,70651904,67
4,169154,0,219,5.013415879,1420,1091232,375625,12,0,0,0,5358,197302,237,66334922,108378059,176829,420600319,2015806,6890,1,291,9601,109604728,988463087,6,66287350,269199,98,4651374639,4352501054,46325,413400393,0,177,5359,603519,25857925,155648,2792,12314,427004032,7483757286,885905,540026,40544,118992,52059,283141783,180604,10752938356,17568668089,135,3629,13095,8728476291,1350827461,97,259,27206085,42277,66635,5364,53675,6995917718,619,1626553353,0,51.7,734,894743695,9243211006,76355,0,0,64562161,0,6465,68985638,14044,1035744277,74977,883572423,282103230,94,32.2,4583680785,13,0,17934,58,114984651,10162649703,2905,15121,0,8546531630,85311,75091501,1374576001,0,0,1800658414,51946,3628,14042,97,18143,15949484835,4542294435,2476,5211344,4373488363,98926592,13
9,1065322,19,263,5.009789623,1095,1073703,399949,106,38,76,76,195,195633,295,47758173,73089629,835722,372431634,525854,4390,199,159,3192,85161525,843120066,2,44826247,76153,6,4013726909,3689167656,65978,365516780,0,177,195,442429,11369713,8192,3003,12027,351687211,5695794741,786089,623041,103188,8990,4376,239310719,1189631,7540942846,14035499676,22,4185,14637,7006681736,1146557847,157,309,10494429,7417,74214,196,49220,5674158454,535,1626553362,0,44.3,3671,830669621,7401827708,17924,158,38,48493898,0,3389,47431942,53484,911940815,7431,755588996,228523567,151,33.1,3896377756,12,0,3175,158,94799256,8553508470,4177,14761,0,6784148940,45855,51713867,1208983214,0,68,1431806810,8234,4188,53486,157,4304,12783697641,4119766516,2116,5262748,3652999078,44797952,183
5,1021834,5,234,5.009852965,985,1003650,400461,32,10,6533,1800,63,195727,258,47120327,118844074,185129,370043056,596892,4680,50,1123,2499,121401344,1072212921,54,46256069,43980,134,4519538767,4656832597,51132,375515078,0,161,68,435443,11676862,634880,1788,8845,336033365,7827734198,747282,613051,43113,13654,10507,229825186,929397,9128524268,15209979142,75,2624,15450,7591870623,1453032745,112,283,11581752,15583,37530,64,25639,7995263531,324,1626553371,0,47.2,1472,954186460,10345273071,74841,298,215,46156565,0,713,52828949,16523,1091857115,20065,926380376,234143088,103,32.7,4493407152,73,0,9645,55,123892787,10039532424,1699,16392,30,7402459243,122584,58477522,1443921701,0,0,1936006295,12521,2626,16562,112,9945,15210974776,4624069627,870,3341013,4400049008,88920064,53
7,732234,15,265,5.015152372,1549,1173850,403878,81,30,1813,1673,6283,203929,302,58177077,74747986,110296,338767201,716204,5780,324,221,4289,78151584,791534276,11,52619500,71641,59,3768527373,3936637088,79849,337189796,0,180,218,447432,11496682,417792,2922,11860,328577918,5600026232,815599,642805,51727,12669,4372,246622954,818653,7286928419,12990748777,15,4028,13731,6475600089,1148783659,133,867,12317129,4043,71164,221,18012,6310716361,502,1626553380,0,39.7,3453,812132712,7843471770,24642,130,50,50186820,0,3325,44378270,43930,957087754,6431,793039303,239338351,129,32.4,3729574097,6,0,2163,89,81306201,7641792248,4011,13899,79,6468984382,63337,48084294,1172625842,0,4,1484918535,10033,4028,43933,133,3714,13109535490,3796423669,2072,2331234,3842550452,38232064,144
2,202338,0,213,5.009644276,433,1214513,400163,5,1,3395,3372,769,191401,224,38574018,78059653,202685,384234799,386877,7170,123,731,903,76891092,805356279,726,37765598,157352,2363,3899417682,3871298273,139749,384675155,0,176,83,452390,11853680,21946368,2616,11917,385605261,5751838401,851443,649212,127594,6650,850,272633308,199976,8153536325,13331969281,3,3697,40371,6716962011,1212532103,131,165,11873136,12924,33567,83,41907,5703363096,414,1626553389,0,43,4449,805871186,7530648089,960,83,44,37818960,1,1835,38259264,92502,976831862,1198,799451651,275160688,126,31.6,3907697145,0,0,5520,122,79688507,7570922076,4504,12743,91,6813141586,57954,42024714,1191608247,0,2,1518835584,6885,3697,93090,131,1177,13320743567,3903176482,2190,4679792,3992401440,6148096,673
6,289933,0,190,5.021429690,0,1323734,389019,5,0,1620,1620,216,176352,187,46090531,78212700,280221,431336911,327499,5580,0,324,0,77685609,846442486,464,45545691,227986,1110,4061715608,3960482354,210588,432076312,0,156,0,458679,16354818,2940928,1498,10354,430078827,5813700990,907520,629543,190627,0,0,281631773,287700,9489003337,14428291296,1,2394,59245,7189328453,1244243652,105,0,15985974,12187,25700,0,97602,5753927124,425,1626553399,0,49.5,1856,809222289,7696981442,0,0,34,45203491,0,276,44634242,146484,978703128,0,796625736,287885512,94,31.7,4065886000,0,0,316,135,80508690,7951040433,1501,16730,116,7113029159,4463,50400850,1241169413,0,0,1587705661,276,2397,146484,105,0,14536386605,4042418556,557,6622132,4021110851,0,1109
2,258077,0,179,5.010224555,0,1282918,385107,4,0,0,0,782,174899,187,46106232,76060345,284279,428376216,414517,6520,0,344,0,75109684,824010910,527,45705377,244022,1448,4030615042,3921960025,200014,423541823,0,154,0,440488,15646787,2924544,1522,10299,428297050,5745551243,886629,615881,197896,0,0,274055213,263899,9474082995,14629705227,1,2416,57870,7292783360,1251052997,105,0,15974542,11679,25667,0,80413,5627214467,419,1626553407,0,47.9,1933,795021139,7645929680,0,0,0,46169077,0,303,46618027,145554,972533520,0,784234421,279745342,101,31.7,4030821551,0,0,374,197,75655233,7852304388,1590,9391,0,7245402346,935,53056906,1204449446,0,0,1533741299,303,2418,145554,105,0,14374172069,4014591364,611,7056489,3970735432,0,1200
