L1-icache-loads,ext4:ext4_da_update_reserve_space,L1-icache-load-misses,minor-faults,err_out,armv7_cortex_a7/ld_retired/,LLC-loads,raw_syscalls:sys_enter,armv7_cortex_a7/br_mis_pred/,armv7_cortex_a7/l1d_cache/,kmem:mm_page_free,instructions,branch-load-misses,ext4:ext4_free_inode,timer:timer_init,L1-dcache-stores,armv7_cortex_a7/cid_write_retired/,L1-dcache-load-misses,pkt_out,armv7_cortex_a7/l1i_cache_refill/,bus-cycles,write_merge,armv7_cortex_a7/pc_write_retired/,net:netif_rx,net_in,context-switches,tcp:tcp_probe,armv7_cortex_a7/inst_retired/,ext4:ext4_releasepage,armv7_cortex_a7/bus_cycles/,ioreadtime,pagemap:mm_lru_activate,armv7_cortex_a7/l1i_tlb_refill/,armv7_cortex_a7/l1i_cache/,filemap:mm_filemap_add_to_page_cache,ext4:ext4_evict_inode,seconds,mmc:mmc_request_done,cache-references,L1-dcache-store-misses,drop_out,block:block_touch_buffer,ext4:ext4_ext_load_extent,armv7_cortex_a7/cpu_cycles/,jbd2:jbd2_handle_stats,armv7_cortex_a7/exc_return/,armv7_cortex_a7/l2d_cache/,timer:tick_stop,ext4:ext4_sync_file_enter,block:block_split,iowritetime,timer:timer_start,time,LLC-load-misses,ext4:ext4_writepages_result,iowrite,read_merge,napi:napi_poll,drop_in,block:block_bio_frontmerge,page-faults,cpu,iobusytime,gpio:gpio_value,ioread,iTLB-load-misses,LLC-store-misses,filemap:mm_filemap_delete_from_page_cache,armv7_cortex_a7/l1d_tlb_refill/,ext4:ext4_es_lookup_extent_enter,dTLB-load-misses,jbd2:jbd2_checkpoint_stats,net_out,kmem:kfree,iowritebytes,ext4:ext4_unlink_enter,branch-instructions,armv7_cortex_a7/l1d_cache_refill/,armv7_cortex_a7/l2d_cache_wb/,armv7_cortex_a7/br_immed_retired/,armv7_cortex_a7/br_pred/,cache-misses,rpm:rpm_return_int,block:block_bio_remap,pkt_in,sched:sched_process_exec,memory,cpu-migrations,sched:sched_waking,irq:softirq_exit,task:task_newtask,dTLB-store-misses,LLC-stores,armv7_cortex_a7/exc_taken/,cpu-cycles,kmem:mm_page_alloc_zone_locked,armv7_cortex_a7/st_retired/,ext4:ext4_journal_start,fib:fib_table_lookup,sched:sched_stat_runtime,branch-loads,block:block_dirty_buffer,writeback:sb_clear_inode_writeback,random:credit_entropy_bits,armv7_cortex_a7/mem_access/,timer:timer_cancel,branch-misses,armv7_cortex_a7/unaligned_ldst_retired/,L1-dcache-loads,err_in,workqueue:workqueue_execute_start,armv7_cortex_a7/l1d_cache_wb/,kmem:kmem_cache_alloc,writeback:wait_on_page_writeback,writeback:global_dirty_state,ioreadbytes
4949276682,0,220336813,2544,1,1247242896,307280511,435974,63950196,3280396186,1307,6464315066,63270385,0,170,3236464239,1355,43494319,1,212144272,5400934778,1,668801724,97,1,628929,89,6478852567,0,5286983806,1,0,8256,4939991820,2,0,5.011922197,1174,3331173609,42256968,1,0,0,10349444761,0,956704,324954583,150038,0,0,1,1800,1626552793,4100238,0,1,1,97,1,0,2544,26.7,1,11,1,19716,4217706,0,20183,14,9639,0,1,23313,1,0,690224769,37956168,257011,689465327,1028170883,46192757,723,7,1,12,16.1,9,420435,5853,13,20391,309116184,722940,10692595435,481,792205528,0,7,4846500487,1019154808,5,0,156,3237461428,1804,65863836,295903,3240840517,1,391,42591891,6092,0,1,1
5453424615,0,234241712,11470,0,1304146181,310030621,442461,68027553,3340131366,4604,7049189286,68959902,0,244,3577155054,3797,37513438,259,232472019,5776524459,1,701386923,146,19548,636638,138,6544768251,0,5644431226,0,61,37448,5146261431,0,0,5.010689528,1403,3548094003,35410321,0,210,0,11068135209,1,975782,314388651,137748,0,0,7,2138,1626552803,4179473,0,2,0,144,0,0,11468,25.6,10,5,0,24735,3378995,6,43551,335,24941,0,199805,25250,12288,0,753296670,39098309,685627,745823767,1088661449,41111978,934,0,276,43,16.2,33,415330,6814,55,27335,306857937,730705,11518902906,1219,826623053,1,3,5554378819,1090588009,0,0,162,3379829343,2136,74925640,277359,3541521748,0,545,40063650,20462,0,1,0
5258400536,0,239910820,5324,0,1343658183,335818876,435122,67703770,3407225724,2347,6682774032,70425216,0,249,3413699563,1267,38698516,246,246355147,5483978460,0,709056237,130,17816,662097,128,6633126220,0,5390829305,57,0,37669,5429875962,2,0,5.009395375,1340,3441259874,37947767,0,34,0,10857745791,0,1009222,339600092,169727,0,0,0,2086,1626552812,4849200,0,0,26,130,0,0,5322,24.9,190,10,56,22905,5047877,2,35155,49,37519,0,206724,23515,0,0,711070274,38712936,714775,728555678,1081727542,41677035,885,2,253,16,16.5,11,417648,6487,25,35806,336331272,744740,10791954091,571,823713418,0,2,5412445350,1096914773,0,0,160,3438497905,2087,68821383,276860,3387743432,0,515,40624349,9166,0,1,667648
5325582405,0,244240062,4236,0,1332315176,327117660,439339,70157902,3504437254,2318,6787711279,70016988,0,240,3464199176,1740,36375388,306,238893264,5586579211,6,716920920,209,23436,669687,199,6905597833,0,5496320190,0,0,15587,5314586809,2,0,5.009569666,1775,3493763320,35541307,0,54,0,10568486242,0,1039704,329444909,164898,0,0,78,2600,1626552822,6153738,0,10,0,209,0,0,4235,23.6,30,11,0,39669,6496176,0,16292,63,41807,0,209380,22991,65536,0,718301424,41495479,279878,741098499,1093102075,38074421,1248,7,370,40,16.4,7,420017,6733,41,45059,325020928,762481,11104192835,349,839495368,0,17,5418299166,1105143392,5,0,166,3487476499,2602,68837515,180742,3456245527,0,803,45844891,9963,0,1,0
5362198136,0,238973638,2769,0,1367038986,334643595,435229,69119234,3448664236,1463,7040495844,68728209,0,230,3536685076,9832,32059984,331,247925302,5571748949,0,735839825,238,30688,668923,227,6718299655,0,5658535987,0,0,67343,5394474507,0,0,5.009299012,1981,3575787591,36697992,0,8,0,10911060514,0,1011355,324839709,176456,0,0,0,2852,1626552831,1839931,1,0,0,238,0,0,2768,22.1,0,5,0,14757,2483937,0,42140,11,16235,0,228819,23956,0,0,720835866,35606520,676136,736613750,1086204674,33372440,1402,0,421,16,16.4,8,417252,6938,18,15826,329396812,744283,11198993801,246,861274481,0,15,5390500220,1104922722,0,0,174,3577354459,2854,68877727,312151,3571700883,0,873,36433131,7416,0,1,0
5386148282,0,245161339,2504,0,1333497585,321108421,438190,68510238,3499193729,1289,6831825432,69390206,0,203,3487887976,1809,39103933,251,251909287,5494821873,0,717633335,178,17073,674015,174,6781746915,0,5482142107,0,0,28494,5428419305,0,0,5.010775748,1655,3488385316,38167876,0,2,0,11018620046,0,1021225,312333720,187676,0,0,5,2413,1626552841,3674969,0,1,0,178,0,0,2502,22.6,10,5,0,13552,3844517,0,30291,4,9581,0,196094,22317,4096,0,744846085,34818782,877003,738713686,1097943966,43405535,1106,0,283,12,16.5,5,422586,6265,13,10020,319640904,754883,10993437542,292,853948549,0,4,5291264022,1103677412,0,0,161,3512183340,2415,68287293,314849,3477907228,0,647,35696440,6403,0,1,0
5457262618,0,249865022,3293,0,1309510890,329378336,436746,66473523,3456036681,2045,6830678868,71178344,1,208,3536226065,3088,36945684,216,244548077,5633519219,7,711182059,101,14301,673600,98,6735912634,1,5692394753,0,1,11639,5286759421,0,1,5.009209362,1195,3519079754,37748167,0,14,0,10857280611,2,1013132,321945657,183186,0,0,7,1849,1626552850,5068257,0,2,0,101,0,0,3287,22.3,10,5,0,11445,3931520,1,11056,1,28135,0,200472,23369,36864,1,731361113,40348503,221272,737362127,1089602041,37390986,731,0,202,14,16.3,5,420457,5833,16,18896,324883789,746685,11160436127,300,845525306,5,6,5318328023,1112985319,0,0,157,3463046046,1850,69601164,281616,3501278983,0,380,41121851,7185,0,0,0
5305318800,0,244003331,1743,0,1366531447,325029957,434301,67728363,3541825642,666,6916457316,67287548,0,216,3456481880,1503,46840945,210,255661819,5664422259,0,729543896,96,9786,680139,93,6880930492,0,5631883883,0,0,13670,5473346210,0,0,5.009565021,1159,3567934590,43981888,0,0,0,11094859182,0,1036569,327547149,207053,0,0,0,1812,1626552860,3103952,0,0,0,96,0,0,1739,22.4,0,6,0,20070,3306831,0,18407,0,18282,0,198758,23155,0,0,755436650,35020953,207695,729591141,1087345283,42170190,713,0,184,8,16.3,11,419903,5689,8,20419,323671213,758682,11132733139,153,869237719,0,3,5402480373,1085122451,0,0,156,3582941489,1811,74485568,299142,3453189377,0,369,36004725,4587,0,1,0
5658883265,0,262914013,1620,0,1400015863,326341724,442425,72751387,3685441120,690,7126214312,72254948,0,205,3676597532,9543,30932091,200,259585302,5573820607,0,752719285,99,9179,712170,96,7135002307,0,5600364814,0,0,19681,5674176507,0,0,5.011495019,1183,3677954028,30606713,0,0,0,11095491508,0,1098795,345284034,226111,0,0,0,1843,1626552870,712778,0,0,0,99,0,0,1620,23.9,0,5,0,9367,883489,0,30084,0,13082,0,188923,22978,0,0,754380527,31217488,501242,763774979,1146031741,31106845,730,0,175,7,16.3,1,428349,5662,8,7844,325973270,792940,11045239500,279,877966333,0,3,5576786225,1145267940,0,0,157,3631511621,1845,72602192,369323,3667849344,0,375,32272593,4790,0,1,0
4937804993,0,225239811,4,0,1223476713,282900222,430444,63802076,3198352083,103,6300801778,64326198,0,192,3224501762,1381,28770101,220,221124730,4916678682,1,654637829,111,23132,625986,93,6195288202,0,4855277571,32,0,8493,4875804010,0,0,5.010921779,1261,3236910211,28467682,0,0,0,9589080833,0,920015,279357828,163020,0,0,41,1913,1626552879,783864,0,6,0,111,0,0,4,19.5,90,4,7,10192,689882,0,6412,0,10018,0,162268,22909,28672,0,666467793,28092150,157735,661585497,987190493,29378300,774,0,216,0,16.5,2,419428,5490,1,11971,282563337,698674,9777458282,68,787102488,0,4,5014574605,997856610,0,0,160,3227445152,1913,64201079,153944,3227877098,0,396,28976039,1307,0,1,475136
