L1-dcache-store-misses,timer:timer_start,block:block_split,ext4:ext4_writepages_result,armv7_cortex_a7/l1i_cache/,net:netif_rx,armv7_cortex_a7/l1d_tlb_refill/,LLC-load-misses,filemap:mm_filemap_delete_from_page_cache,ext4:ext4_es_lookup_extent_enter,LLC-loads,ioreadtime,ioreadbytes,cache-references,err_out,armv7_cortex_a7/l1d_cache_wb/,jbd2:jbd2_checkpoint_stats,L1-icache-loads,sched:sched_process_exec,memory,armv7_cortex_a7/l1i_cache_refill/,ext4:ext4_evict_inode,gpio:gpio_value,workqueue:workqueue_execute_start,ext4:ext4_unlink_enter,minor-faults,kmem:mm_page_alloc_zone_locked,task:task_newtask,armv7_cortex_a7/l2d_cache/,armv7_cortex_a7/bus_cycles/,branch-instructions,kmem:kfree,iowritebytes,timer:timer_cancel,seconds,L1-dcache-load-misses,mmc:mmc_request_done,armv7_cortex_a7/inst_retired/,ext4:ext4_journal_start,ext4:ext4_da_update_reserve_space,net_in,napi:napi_poll,sched:sched_stat_runtime,ext4:ext4_ext_load_extent,random:credit_entropy_bits,armv7_cortex_a7/l1d_cache/,tcp:tcp_probe,dTLB-store-misses,write_merge,L1-icache-load-misses,iTLB-load-misses,pagemap:mm_lru_activate,armv7_cortex_a7/unaligned_ldst_retired/,armv7_cortex_a7/br_pred/,drop_out,pkt_out,iobusytime,armv7_cortex_a7/br_mis_pred/,armv7_cortex_a7/l1i_tlb_refill/,kmem:kmem_cache_alloc,kmem:mm_page_free,writeback:global_dirty_state,jbd2:jbd2_handle_stats,armv7_cortex_a7/st_retired/,ext4:ext4_free_inode,pkt_in,time,err_in,branch-load-misses,raw_syscalls:sys_enter,armv7_cortex_a7/cid_write_retired/,armv7_cortex_a7/pc_write_retired/,cpu-cycles,instructions,ext4:ext4_sync_file_enter,ioread,ext4:ext4_releasepage,drop_in,LLC-store-misses,sched:sched_waking,timer:timer_init,read_merge,LLC-stores,net_out,armv7_cortex_a7/ld_retired/,context-switches,timer:tick_stop,armv7_cortex_a7/l1d_cache_refill/,writeback:sb_clear_inode_writeback,cpu,iowrite,irq:softirq_exit,iowritetime,page-faults,armv7_cortex_a7/br_immed_retired/,armv7_cortex_a7/cpu_cycles/,cpu-migrations,armv7_cortex_a7/exc_taken/,filemap:mm_filemap_add_to_page_cache,rpm:rpm_return_int,bus-cycles,block:block_touch_buffer,armv7_cortex_a7/l2d_cache_wb/,branch-misses,cache-misses,writeback:wait_on_page_writeback,block:block_bio_frontmerge,block:block_bio_remap,block:block_dirty_buffer,branch-loads,armv7_cortex_a7/mem_access/,L1-dcache-stores,L1-dcache-loads,fib:fib_table_lookup,dTLB-load-misses,armv7_cortex_a7/exc_return/
61434485,1946,0,0,6975452633,103,435986,7923664,0,889,452807480,207,2606080,4389340758,0,69308267,0,7314857951,18,24.2,326250332,0,259,927,0,7686,5606,19,464050432,7587427971,923474198,26538,2404352,1950,5.009398323,62106647,1251,8737975021,1433,0,13403,103,9133150423,0,156,4285157586,96,417437,12,321965528,266786,419,1699734,1460846083,0,213,650,107898890,302213,12734,4156,5,1433,1028910491,0,186,1626638655,0,117435276,430503,1460,896900559,15053912074,8948896595,0,130,0,0,7973629,406211,219,0,457764301,189912,1956205799,590115,133695,67040650,0,47.8,16,6609,817,7689,1089158769,14740412187,24,675424,669,1217,7580831347,579,1147224,109518555,65254979,0,0,127,1150,1519475238,4349142678,4404248653,4370326632,3,410336,884093
63736940,2644,0,0,6580142241,100,850390,10136211,0,5207,450105744,1209,8744960,4113545792,0,77440985,0,6711395926,14,24.6,310495507,0,1351,3061,0,3240,1869,16,462761785,7479330154,874132753,31112,1203200,2642,5.009410131,64294906,1797,8297964235,2435,0,10118,98,9147844616,2,163,4086276246,94,829151,289,309849704,432338,101,1368663,1412819684,0,206,5370,107140925,439574,37638,1490,7,2435,981765512,0,185,1626638664,0,106416028,433928,19829,859039264,14545274755,8280895872,0,1028,0,0,10079329,400691,381,78,451541278,192812,1891184754,569135,101309,74811021,0,49,7,9409,93,3236,1024335273,14836792496,48,663950,1174,3392,7424065522,5625,1583019,105937515,66265533,0,3,825,1659,1394309985,4196336759,4094274584,4094329617,2,829992,852285
66009766,2359,0,0,7048332007,91,791108,4828714,0,4522,483504082,998,8204288,4436510508,0,76581939,0,7177146630,8,24.5,329527753,0,951,2226,0,1676,1268,8,489691417,7461023369,890090040,29291,1101824,2364,5.020581374,66365400,1553,9020177804,2847,0,12530,91,9245294655,1,162,4392898592,89,801231,264,343550760,350755,11,1463180,1437114388,0,190,4510,109082743,320576,15229,650,10,2847,1021402486,0,172,1626638674,0,109336583,437448,1238,887169671,14912391872,8946821390,0,715,0,0,4755720,414830,358,61,478433412,181297,1944933947,608089,139057,70224340,0,49.3,5,8564,87,1678,1022436472,14877078237,37,701998,1060,2529,7455838272,4776,795945,110116398,66532129,0,1,661,2154,1428142076,4335764278,4411286720,4417210459,2,814189,916576
70787263,1948,0,0,7474648394,95,976297,2303584,0,1599,506182020,1342,10682368,4509167907,0,73249975,0,7420441906,4,24.6,367020745,0,234,826,0,875,1095,5,510263620,7694678925,931254813,23600,2387968,1950,5.008819580,71108677,1257,9308447738,2569,0,9303,95,9629810765,0,158,4586853808,91,999704,473,364124732,215477,0,1576077,1511878502,0,209,4320,113160387,215060,7622,488,9,2569,1087216876,0,176,1626638682,0,112445188,441608,31833,937909916,15095641735,9178551058,0,1259,0,0,2340761,422836,225,59,506501877,197535,2065014585,642216,155153,70482213,0,45.9,181,6506,20420,875,1084484025,15333303588,14,732635,1031,1158,7581952540,1167,463396,112437028,71434327,0,0,126,2024,1502570867,4592150725,4557202277,4550244394,4,1007860,970838
62758649,2470,0,115,7428610974,124,1260181,5293898,0,2363,492463060,1126,8921088,4558839884,0,64809627,6,7419629225,21,24.6,351745248,0,1019,2255,0,4406,1279,25,484876844,7703226609,953793869,36138,2682880,2469,5.010024202,62134248,1704,9237004310,2222,0,15905,116,9843572661,3,164,4553868292,116,1564024,168,356294055,479079,23,1300170,1538703451,0,236,3500,119483682,336956,19848,1568,7,2222,1071742684,0,219,1626638692,0,115479939,449196,24749,926402810,15477531972,9298231069,0,567,0,0,4914137,417883,271,31,490861707,207027,1999935085,626970,144977,62482485,93,49.2,216,8219,29797,4405,1121159143,15602275018,39,732818,1168,2395,7718392172,1767,1135825,117310876,63181357,0,38,615,1688,1522014364,4503281484,4590241887,4555415443,16,1483762,979467
60057377,2881,0,349,7081064941,99,977114,4957908,0,9558,455449794,1597,9371648,4348063338,0,64942242,0,7131558351,5,24.9,334638058,0,1621,3345,0,922,1353,5,450975600,7351080461,915009058,38015,9827328,2881,5.009427554,59390011,2066,8893851729,2786,0,10353,99,9160338950,8,170,4396073552,97,999202,676,333628287,343813,49,1202242,1452947002,0,222,7000,109010873,335227,23551,530,8,2784,1030151398,0,196,1626638702,0,109557370,445465,9552,880851908,14483669613,8776015128,0,1280,0,0,5184513,424819,363,88,456117152,208420,1884838247,626654,133659,62634616,350,45.7,161,9569,23637,922,1050922929,14700451994,22,718650,1166,3439,7288539925,10538,788811,107677238,58441915,0,126,1251,1788,1456151837,4309487316,4401354348,4344911061,2,988578,931890
60249798,2692,2,178,6787750801,97,934695,4895717,0,5403,467543339,1616,8404992,4179502237,0,64790806,0,7020639431,5,24.8,324063882,0,1288,2812,0,927,1193,5,438652285,6968731542,860118452,27313,8871936,2692,5.010052846,58852953,1888,8787180183,3671,0,15896,97,9022848391,0,168,4355758908,94,1029439,266,334764813,340135,47,1252367,1412893526,0,208,5980,106958426,346239,15157,508,10,3671,986118739,0,201,1626638712,0,107768603,438651,1389,840835659,14039717987,8417372613,0,900,0,0,4476808,416379,343,0,468500994,199419,1798975680,606334,121797,63090016,178,45.8,91,8982,9808,925,1011393441,14658332369,20,691568,1136,3015,7047458240,6240,973384,102691689,58488948,0,42,912,2403,1416272786,4141097680,4257801644,4181112889,3,1022560,899316
60043147,2708,0,196,7165608521,96,930344,5397939,0,5172,465295878,1672,8220672,4400552844,0,63809761,0,6961218571,4,24.9,342614754,0,1407,2822,0,899,996,5,477834085,7495789650,918652977,27773,10002432,2707,5.016800216,61536776,1880,8981268990,3449,0,9901,96,9248260918,1,168,4450056500,92,961857,641,333667993,353759,3,1463934,1439154277,0,215,6340,109719567,339805,14520,495,10,3449,1074752805,0,188,1626638721,0,110765144,443891,4065,923090404,14767682529,8884414359,0,819,0,0,5129625,422687,351,0,475323154,204017,2003943064,638542,136700,62466954,196,46.2,392,9202,70996,899,1025654025,14889032959,17,726905,1152,2800,7444526644,5838,1026342,110104777,60434128,0,33,852,2251,1459615733,4499595952,4340102832,4353899797,7,978964,974304
65958414,2294,1,85,6758484712,93,1756581,3552099,0,3156,455096138,1389,8122368,4034340540,0,68775564,3,6654358653,1,25,319268237,0,721,1712,0,48,1030,1,448406031,6919534397,836224048,25042,8495104,2295,5.009141460,65485142,1543,8059796476,3030,0,13965,93,8819556564,1,161,3997172736,90,1703633,402,315094759,372204,0,1420228,1334282460,0,208,4860,99752018,391429,8938,105,9,3030,961479374,0,189,1626638731,0,100500283,422212,1265,820269993,13763156238,8234550625,0,603,0,0,3562635,403538,292,1,449972002,197071,1822857041,541835,107573,64332199,85,46.7,136,8026,14881,48,962044379,13575531507,17,630436,1084,1968,6873990626,3145,694080,101119286,65742335,0,20,530,2242,1329683115,4039914908,4063825705,4039747674,3,1719639,789305
64688865,2518,0,592,7365643896,117,1272771,4103285,0,2405,496356778,1711,8171520,4366774948,0,66645881,4,7361307117,5,24.9,353561592,0,856,1842,0,1811,962,8,471654958,7416949174,911721808,26016,9388032,2521,5.009507704,63391988,1694,9263441562,3280,0,10486,112,9443455764,3,165,4587680367,113,1209092,748,356805734,414053,1,1418891,1443338358,0,224,5650,110000098,348473,13878,600,9,3280,1073488182,0,197,1626638740,0,112993249,445173,1648,927574180,14640988418,8771464784,0,661,0,0,4501701,422387,335,0,490885747,204460,2014219430,632627,138836,65476776,592,46.5,186,8151,26594,1804,1030872373,15138989430,31,729762,1042,1951,7303323270,2257,595275,107674559,60433668,0,119,969,2029,1472709345,4538018494,4437262484,4382567497,3,1241322,961846
