kmem:mm_page_free,kmem:kfree,L1-dcache-load-misses,LLC-stores,net_out,armv7_cortex_a7/l1d_cache/,timer:timer_start,armv7_cortex_a7/exc_return/,block:block_bio_frontmerge,armv7_cortex_a7/ld_retired/,ext4:ext4_da_update_reserve_space,L1-dcache-loads,armv7_cortex_a7/l1i_cache/,fib:fib_table_lookup,L1-icache-load-misses,minor-faults,rpm:rpm_return_int,task:task_newtask,net_in,armv7_cortex_a7/l2d_cache/,context-switches,LLC-load-misses,seconds,ioread,dTLB-load-misses,memory,timer:timer_cancel,sched:sched_stat_runtime,tcp:tcp_probe,raw_syscalls:sys_enter,armv7_cortex_a7/st_retired/,dTLB-store-misses,block:block_dirty_buffer,gpio:gpio_value,armv7_cortex_a7/br_immed_retired/,cpu-cycles,armv7_cortex_a7/cpu_cycles/,cpu,page-faults,ext4:ext4_free_inode,armv7_cortex_a7/l1d_cache_wb/,bus-cycles,ext4:ext4_es_lookup_extent_enter,irq:softirq_exit,sched:sched_process_exec,pkt_out,block:block_bio_remap,ext4:ext4_ext_load_extent,pagemap:mm_lru_activate,ext4:ext4_evict_inode,cache-misses,LLC-loads,iowritebytes,napi:napi_poll,writeback:sb_clear_inode_writeback,sched:sched_waking,armv7_cortex_a7/unaligned_ldst_retired/,err_out,filemap:mm_filemap_add_to_page_cache,drop_in,mmc:mmc_request_done,iowritetime,net:netif_rx,LLC-store-misses,ext4:ext4_journal_start,block:block_split,block:block_touch_buffer,workqueue:workqueue_execute_start,armv7_cortex_a7/bus_cycles/,armv7_cortex_a7/l1i_cache_refill/,L1-icache-loads,ioreadbytes,branch-loads,jbd2:jbd2_handle_stats,writeback:global_dirty_state,time,L1-dcache-stores,timer:timer_init,timer:tick_stop,filemap:mm_filemap_delete_from_page_cache,branch-instructions,ext4:ext4_sync_file_enter,iowrite,armv7_cortex_a7/mem_access/,iobusytime,armv7_cortex_a7/l1d_tlb_refill/,armv7_cortex_a7/inst_retired/,ext4:ext4_unlink_enter,ioreadtime,armv7_cortex_a7/l1i_tlb_refill/,pkt_in,armv7_cortex_a7/cid_write_retired/,drop_out,cache-references,err_in,armv7_cortex_a7/l2d_cache_wb/,ext4:ext4_releasepage,instructions,armv7_cortex_a7/pc_write_retired/,armv7_cortex_a7/exc_taken/,jbd2:jbd2_checkpoint_stats,ext4:ext4_writepages_result,armv7_cortex_a7/br_mis_pred/,random:credit_entropy_bits,kmem:kmem_cache_alloc,read_merge,iTLB-load-misses,armv7_cortex_a7/br_pred/,armv7_cortex_a7/l1d_cache_refill/,writeback:wait_on_page_writeback,L1-dcache-store-misses,branch-load-misses,kmem:mm_page_alloc_zone_locked,cpu-migrations,write_merge,branch-misses
1368,23644,37871789,311170227,1,3247487763,1802,960726,14,1249609432,156,3213643218,4940620682,3,226490070,2536,720,13,1,309279075,625608,3070307,5.009530848,1,15301,23.1,1806,4828820649,90,427703,793045562,20229,5,34,702800194,10326723360,10576351885,25.4,2537,0,42690176,5197014472,166,5896,12,1,166,0,0,0,38861700,306888071,1,102,156,412344,1151749,1,2,1,1174,1,102,2402709,468,0,614,403,5178108251,225908451,5068267502,1,1029001593,312,1,1626556412,3252301153,169,161048,0,675551477,0,1,3295235830,1,16207,6401063271,0,1,11764,1,1342,1,3247593452,1,290702,0,6320500826,671537102,721959,1,156,63199129,156,7757,1,9827,1042912807,40334627,1,36717960,63673159,365,11,1,62436782
515,23089,27333648,311362224,193959,3458606367,1753,1022493,0,1284503774,0,3418671382,5262550727,2,248990066,936,676,5,9488,299878939,674013,1390327,5.009206451,0,20834,23.1,1756,5309967564,92,438546,832130446,14049,5,13,712163501,10394296811,10359666946,23.6,936,0,27522243,5226047731,7,5595,5,205,7,0,0,0,28089618,311797945,28672,94,0,425630,1020374,0,2,0,1112,5,94,1572284,0,0,0,363,5195683649,247940227,5270892966,0,1078670874,0,1,1626556421,3425245602,182,194348,0,716432315,0,2,3421035118,10,16388,6674265296,0,0,9187,178,1363,0,3441331517,0,165481,0,6671684247,692141458,753827,1,0,66840169,155,3354,0,9871,1069497838,27423902,0,27513737,68892253,15,4,5,66955256
541,23140,28415598,306657869,196640,3530859836,1871,1035790,0,1325252077,0,3523013662,5396757237,3,251534687,914,737,5,14550,311552864,684147,585935,5.009024955,0,14414,23.1,1875,5340178358,94,440449,846147881,18097,0,5,732543882,10687414918,10584383814,24.4,914,0,28070294,5357295579,0,5901,5,209,0,0,0,0,28633358,306279544,0,101,0,427955,1022986,0,0,0,1216,0,101,574348,0,0,0,381,5282903142,254959210,5349785601,0,1099238246,0,1,1626556431,3518630488,195,199537,0,715555257,0,0,3500482273,0,19198,6843254202,0,0,23574,200,1353,0,3534796604,0,485319,0,6884150456,704660784,761729,0,0,68614971,158,3479,0,13770,1093710925,28061940,0,27698728,68178432,20,2,0,68156596
678,23320,28623914,314907466,191271,3630220112,1841,1073402,0,1361070452,0,3655589699,5528058999,3,261629681,1174,709,10,9359,315007366,711436,777709,5.009236104,0,10895,23.2,1843,5577383021,91,444641,895300063,9053,0,26,756306273,11206195994,10954372364,25,1174,0,27895465,5663923112,8,5723,9,202,21,0,0,0,29518156,314881179,86016,94,1,431259,1110140,0,0,0,1162,64,94,794894,0,0,6,391,5744232848,261286684,5516268549,0,1135631910,0,1,1626556440,3653814727,222,218644,0,777751475,0,7,3660923121,20,16676,7020044680,0,0,10369,178,5392,0,3690687940,0,169425,0,7149092868,747986519,781972,0,0,70237975,157,3935,0,4595,1131025294,28068651,0,28322243,69454796,93,5,14,72674473
561,23369,30614815,315987882,193953,3570512309,1890,1062581,0,1344783563,0,3630754470,5412107786,6,261087510,941,738,5,13851,315606302,701167,1327368,5.008914344,0,7337,23.1,1892,5505835583,98,442303,867284273,4153,0,4,744364982,10949300880,10831559438,22.4,937,0,30556982,5457039442,0,5704,5,210,0,0,0,0,31200789,319653250,0,101,0,429408,1125029,0,0,0,1225,0,101,1012180,0,0,0,385,5417233981,255460289,5516122909,0,1116597735,0,0,1626556450,3652493546,198,214975,0,740867013,0,0,3579415744,0,13933,6989792295,0,0,9576,194,1596,0,3619301169,0,152491,0,7060472434,726202895,777205,0,0,70066973,158,3797,0,4479,1122026878,30125278,0,30774569,69664461,83,3,0,70303497
544,23148,27360777,306373072,221667,3510821207,1841,1041968,0,1341160190,0,3501374888,5373555088,4,251202072,933,735,5,12990,306717098,689122,566234,5.009454649,0,14686,23.1,1840,5388338500,91,441017,868085374,11358,0,6,734506189,10660375131,10682302738,21.4,933,0,26598011,5442943600,0,5319,5,237,0,0,0,0,28093782,306499233,0,101,0,428163,1167067,0,0,0,1204,0,101,725908,0,0,0,382,5513370794,253680821,5364886827,0,1092276069,0,0,1626556460,3502329158,180,213577,0,743097444,0,0,3586019040,0,9998,6825542235,0,0,12173,214,6109,0,3547409904,0,143082,0,6866186417,728291936,763098,0,0,69288547,158,3402,0,4633,1108159385,26730936,0,26961338,68401388,82,5,0,70343318
555,23235,28062433,282287763,190485,3204198912,1771,933038,0,1225501863,0,3199283019,4993185333,7,227412566,954,728,5,13639,287975920,629933,775470,5.009194121,0,13237,23.2,1772,4835456219,95,431199,786464679,12699,0,5,668700719,9781505170,9700376413,23.8,954,0,29344468,4909468156,0,5814,5,205,0,0,0,0,28930374,284439695,0,99,0,418009,1025750,0,0,0,1171,0,99,786496,0,0,0,372,4836850367,233234800,4894754017,0,995715055,0,0,1626556470,3207277795,149,155017,0,668334494,0,0,3245670403,0,25164,6221098951,0,0,17956,192,647,0,3233071339,0,270044,0,6288459994,652685693,707594,0,0,62325065,157,3605,0,8491,993987688,28241459,0,27950124,62061446,145,8,0,62787966
541,23311,28974758,297524043,194682,3516983280,1788,1030520,0,1332586794,0,3507348568,5371212682,2,241261232,915,719,5,9113,304043137,683929,761605,5.009019938,0,12088,23.1,1792,5114677027,93,439968,858290988,11595,0,5,723456958,10784732701,10498013969,24.6,915,0,28381922,5354327867,0,5794,5,201,0,0,0,0,29255576,295971387,0,95,0,427154,1094065,0,0,0,1178,0,95,566401,0,0,0,363,5283883962,247899131,5277047012,0,1081619416,0,0,1626556479,3488838233,149,199746,0,721537827,0,0,3551583069,0,17411,6835338041,0,0,10076,175,1324,0,3547655246,0,151922,0,6881815419,719666135,760406,0,0,65863595,157,3575,0,9139,1087125163,27688203,0,28470870,65806558,19,3,0,66627143
491,23628,29306816,323653445,207517,3695860116,1971,1101900,0,1402314109,0,3686762197,5655743420,19,266198458,1043,790,7,15806,340675838,719662,858342,5.008869570,0,16726,23.1,1974,5644643634,106,447128,897791642,18264,0,5,768644976,11130817047,11104820019,23.8,1043,0,31790132,5634214846,8,5684,7,228,0,0,0,0,29740131,324068532,0,113,0,433169,1191507,0,0,0,1286,0,115,731562,0,0,8,404,5649657478,274338082,5625649809,0,1146069211,0,0,1626556489,3692017149,213,229034,0,751566690,0,0,3704193756,0,131779,7158927435,0,0,139223,218,10330,0,3693536336,0,227445,0,7150432978,748078430,796449,0,0,71880098,159,3751,0,17225,1153940375,30323395,0,28899415,70633606,83,4,0,71532374
144,22879,26687054,309992996,194071,3646626390,1747,1084012,0,1375138431,0,3603157287,5565416560,2,260010220,68,673,0,9295,313067438,708361,703753,5.012064279,0,17319,23.2,1751,5484414499,91,440044,887088168,19706,0,5,749539047,10972124856,10916541372,22.4,68,0,26215893,5544126797,0,5393,1,203,0,0,0,0,27251031,312000192,0,93,0,428892,1026510,0,0,0,1130,0,93,639790,0,0,0,346,5567440173,261568818,5532953346,0,1125163632,0,0,1626556499,3624793442,164,231595,0,762046371,0,0,3656740913,0,7118,7049252649,0,0,10293,178,1404,0,3650198252,0,159055,0,7052444483,743285585,786081,0,0,70175239,155,1429,0,18387,1131963670,26735605,0,26290150,69387219,1,1,0,71025833
