random:credit_entropy_bits,armv7_cortex_a7/l1i_cache/,iowrite,armv7_cortex_a7/bus_cycles/,ext4:ext4_free_inode,armv7_cortex_a7/br_mis_pred/,drop_in,workqueue:workqueue_execute_start,armv7_cortex_a7/ld_retired/,L1-icache-load-misses,memory,ioreadbytes,net_out,armv7_cortex_a7/l1d_cache_refill/,ext4:ext4_releasepage,branch-loads,ioread,cpu-migrations,write_merge,kmem:kfree,armv7_cortex_a7/cpu_cycles/,jbd2:jbd2_handle_stats,iowritebytes,writeback:sb_clear_inode_writeback,kmem:kmem_cache_alloc,sched:sched_process_exec,LLC-loads,branch-misses,read_merge,armv7_cortex_a7/l1d_cache_wb/,armv7_cortex_a7/cid_write_retired/,LLC-stores,block:block_split,task:task_newtask,cache-misses,timer:tick_stop,ext4:ext4_unlink_enter,armv7_cortex_a7/exc_return/,armv7_cortex_a7/l1d_tlb_refill/,dTLB-store-misses,armv7_cortex_a7/l1i_tlb_refill/,fib:fib_table_lookup,pkt_out,armv7_cortex_a7/l1i_cache_refill/,ext4:ext4_journal_start,iobusytime,L1-dcache-stores,gpio:gpio_value,block:block_bio_frontmerge,block:block_touch_buffer,armv7_cortex_a7/pc_write_retired/,dTLB-load-misses,pkt_in,sched:sched_stat_runtime,ext4:ext4_ext_load_extent,armv7_cortex_a7/st_retired/,kmem:mm_page_alloc_zone_locked,block:block_bio_remap,timer:timer_cancel,armv7_cortex_a7/l2d_cache/,kmem:mm_page_free,ext4:ext4_sync_file_enter,sched:sched_waking,drop_out,armv7_cortex_a7/br_immed_retired/,cpu,err_in,rpm:rpm_return_int,armv7_cortex_a7/l2d_cache_wb/,ioreadtime,L1-dcache-load-misses,napi:napi_poll,minor-faults,writeback:global_dirty_state,jbd2:jbd2_checkpoint_stats,iTLB-load-misses,writeback:wait_on_page_writeback,L1-dcache-store-misses,branch-instructions,armv7_cortex_a7/unaligned_ldst_retired/,net_in,err_out,ext4:ext4_es_lookup_extent_enter,ext4:ext4_evict_inode,LLC-store-misses,bus-cycles,irq:softirq_exit,page-faults,instructions,seconds,block:block_dirty_buffer,timer:timer_init,pagemap:mm_lru_activate,LLC-load-misses,armv7_cortex_a7/l1d_cache/,branch-load-misses,cache-references,net:netif_rx,armv7_cortex_a7/br_pred/,iowritetime,armv7_cortex_a7/exc_taken/,context-switches,armv7_cortex_a7/mem_access/,ext4:ext4_writepages_result,mmc:mmc_request_done,filemap:mm_filemap_add_to_page_cache,cpu-cycles,L1-dcache-loads,raw_syscalls:sys_enter,ext4:ext4_da_update_reserve_space,time,armv7_cortex_a7/inst_retired/,L1-icache-loads,tcp:tcp_probe,filemap:mm_filemap_delete_from_page_cache,timer:timer_start
160,6947790474,15,7227088050,0,109570637,0,912,1910205052,320657982,24.3,2606080,199398,58115072,0,1457739183,130,9,13,26195,14267249694,1439,2404352,0,7666,7,453930616,103445939,0,64111825,1293,453765898,0,6,60222682,163099,0,980187,181147,181510,104803,11,214,324419230,1439,680,4278468021,259,0,584,899209873,183544,187,8722462294,0,1038794790,5386,127,2036,459257700,2940,0,417820,0,1053543062,45.9,0,1264,618496,206,58366785,103,5228,5,0,81699,0,57916946,916481705,2360035,9856,0,887,0,3411102,7208543483,6575,5231,8627657158,5.009854121,1150,212,344,3488081,4408251788,107194155,4313697604,103,1452505518,672,731004,640924,4366817330,0,1356,669,14131531821,4260915385,436263,0,1626640224,8943998583,6972704462,98,0,2037
164,6908904809,7,7626230045,0,105348907,0,2382,1918896610,346244992,24.5,10215424,252929,77504892,0,1465402238,1192,45,282,28033,15094724595,2903,1174528,0,17638,14,535020240,106988378,78,82972135,25395,545043172,0,18,78887585,125384,0,948649,220786,505031,75142,2,280,342387963,2903,6650,4380114767,1000,3,3992,888880186,474183,250,9310141567,0,1027723041,1586,788,2549,510098704,1424,0,415896,0,1018354198,48.4,0,2738,667120,1442,80274072,112,3787,10,0,250152,0,80160567,903358235,2216472,16977,0,3631,0,10387708,7684018345,8663,3787,8748753807,5.009702252,2152,372,14,10209255,4237230861,110218138,4309715507,117,1393592289,98,713542,616745,4334955594,0,1705,1180,15385822913,4351654846,443221,0,1626640236,8550934655,7162627068,107,0,2549
165,7015354468,5,7400174881,0,113752448,0,2416,1960623908,343540958,24.5,8859648,192512,65435593,0,1473316297,576,9,277,30629,15222859237,2744,1155072,0,13594,3,483689069,108691617,61,67720779,1362,486953652,0,4,66579960,125554,0,936370,197565,313780,142733,29,212,339126820,2744,3560,4387966275,1010,2,4304,905050743,290923,198,9380968955,1,1043660649,1450,719,2523,475047305,288,0,420450,0,1071039897,50.4,0,2757,824145,959,67116937,113,841,9,0,206540,0,65237398,897866343,2205794,10843,0,4273,0,4291032,7439995106,8850,838,9020152955,5.011114580,2122,348,16,4216512,4410249943,111868622,4452865163,115,1488858361,94,715035,616057,4407029916,0,1698,1300,14927657599,4429412060,440866,0,1626640246,8978697625,7143357814,100,0,2521
163,7052811427,345,7363209878,0,108020694,0,2014,1918387431,349703273,24.5,10809344,193685,66745924,0,1419448954,1410,25,497,26162,14643202894,2462,3448832,0,8074,1,498346697,108078844,59,70394732,41833,496817805,0,0,70005063,148927,0,954997,242797,213135,140692,6,208,351362985,2462,4870,4349927494,824,0,2256,886428176,214429,195,9215914986,0,1036026792,904,415,2340,499564624,88,0,424185,0,1020796474,45.5,0,2359,516129,1652,67626936,101,67,9,0,144980,0,67250064,909139095,2292088,14266,0,2578,0,3131885,7377955843,7837,67,8771973403,5.012136438,1846,290,0,3116869,4329977618,107251179,4356957595,101,1431231677,47528,723425,628071,4358506153,0,1581,1136,14598843230,4324131826,441161,0,1626640255,8745346143,7103254660,89,0,2338
162,7373101807,133,7655486299,0,113435033,0,1671,2033814669,353287379,24.7,8667136,202186,67064699,0,1500883322,645,12,334,31490,15171575983,2405,5719040,118,9336,1,496104208,114518917,31,71117766,2309,496374969,0,0,67868731,163847,0,930794,173332,233658,139134,3,213,355571362,2405,3880,4523752361,734,40,1695,936689476,220161,182,9475899276,3,1079601331,1095,492,2277,496902206,215,0,421242,0,1076979828,49.4,0,1865,546631,1013,67263269,94,184,7,6,193645,0,66628743,960453612,2228181,9576,0,2248,0,2958070,7692947637,7403,184,9251534330,5.010528931,1820,261,21,2960618,4529871141,113057534,4584002598,94,1516275476,13217,708786,630109,4578461602,118,1548,1063,15271968632,4530473097,439870,0,1626640264,9162138707,7352342778,91,0,2275
168,7265834787,131,7475699001,0,108715342,0,3061,1938125143,329662325,24.9,9412608,203920,66015163,0,1448596785,1333,13,577,34354,14915435167,3087,9789440,346,20351,1,469518009,107080230,88,69302943,10841,472847738,0,0,62511350,135212,0,960772,248112,341774,239729,7,213,349757756,3087,6970,4314107892,1412,109,11013,915839367,343810,193,9157229595,9,1066392638,1388,1133,2745,476179765,112,0,425730,0,1040618154,46.4,0,3223,699095,1826,60724077,97,68,8,0,262578,0,60141089,915916980,2259567,13749,0,9980,0,6068656,7370052361,9205,68,8776796305,5.010131576,1951,365,33,6039457,4504945605,106616322,4390416818,97,1443097621,16514,725084,638280,4448361907,346,1922,1123,14686346522,4314039934,445244,0,1626640273,9017256138,6925802414,93,0,2744
164,6932429131,128,7353057774,0,105471992,0,2152,1880361692,350264365,24.9,7479296,192191,60637607,0,1421906355,654,23,352,25880,14423992390,2981,7991296,46,9896,1,492530523,107440305,0,64908375,19690,486702105,4,0,66733842,138745,0,956041,207534,213414,77976,7,205,340263457,2981,5410,4372061348,924,7,4383,879155024,213623,184,9041553586,0,1032992992,1032,630,2444,470704875,73,0,421913,0,1000223218,46,0,2437,646319,1406,66731880,102,67,9,0,76522,0,67018809,896755610,2177251,11542,0,3918,0,4037941,7348544681,8385,67,8716357188,5.012301240,2116,336,42,3640547,4294635165,107647277,4341835408,102,1409919581,16481,719564,635597,4309418018,46,1632,984,14677004144,4331496397,440583,0,1626640283,8651051388,7133865741,92,0,2440
172,7040660738,281,7335627657,0,106905634,0,2972,1970661581,344314643,24.9,8257536,198250,61246045,0,1411539485,844,18,580,27205,14219841654,3193,7237632,69,13934,5,471345126,106550468,0,65091736,1554,468814404,5,5,63714542,140946,0,982542,147408,147894,61484,7,206,346816108,3193,6330,4379694158,1593,13,5944,901193908,161374,195,9016698656,1,1047761316,991,1249,3075,480739677,503,0,425565,0,1015584820,47.5,0,2723,663135,1620,63255543,100,943,9,0,79192,0,63123710,899922044,2263121,13938,0,5295,0,6764957,7380626441,9897,943,8814254994,5.015232148,2165,370,2,6476973,4216312626,104084683,4379762035,100,1421338030,54388,740578,637770,4452099970,68,2229,1054,14763947852,4371485208,445238,0,1626640292,8396322226,6994329955,93,0,3071
162,7102591131,143,7364822176,0,109177652,0,1821,1960711321,339447023,25.6,7372800,197088,68396909,0,1447883605,542,41,323,25661,15001172464,2845,8200192,78,11138,5,480074829,106978978,0,71832479,1314,482033641,1,6,65510997,154346,0,968232,192420,111526,63185,3,214,353820762,2845,4620,4287632005,790,17,3233,890501419,105273,185,9103895747,2,1036967562,2620,514,2314,492009842,523,0,422559,0,1046707436,46,0,2035,513740,1985,64507945,99,990,8,0,69970,0,63552136,908940465,2261566,9967,0,3137,0,4140663,7345676004,7811,990,8701755539,5.014136874,2038,302,4,4517677,4415395431,106812046,4362995796,99,1460926805,41103,735291,630430,4404637098,78,1562,1009,14543868001,4273383921,442800,0,1626640302,8926105560,7004175973,95,0,2311
163,7160044615,152,7501259097,0,107062679,0,1805,1972873468,359125235,25.5,7663616,191389,61867578,0,1475918734,623,21,708,25461,14401443072,3373,9056256,621,13965,13,492191682,110976459,0,65325789,7995,489424472,0,13,65591313,133077,0,926354,80202,104298,67070,15,206,350789871,3373,5230,4495838332,812,136,2326,915989416,97470,189,9343887314,3,1063316221,922,1021,2409,481716384,846,0,421609,0,1030110572,47.6,0,1934,833022,1473,65472567,101,1446,9,0,61754,0,65846284,934715956,2361677,13641,0,2479,0,3664637,7507030211,8261,1446,9060741907,5.009195415,2086,343,1,4034842,4383968282,110927539,4466851827,101,1428017167,21204,706872,629930,4480325381,621,1604,1045,14946147917,4453381878,442012,0,1626640311,8883599390,7344024841,92,0,2404
