iowritetime,fib:fib_table_lookup,pkt_out,net:netif_rx,page-faults,writeback:sb_clear_inode_writeback,ext4:ext4_writepages_result,sched:sched_stat_runtime,ioreadbytes,armv7_cortex_a7/l2d_cache_wb/,read_merge,dTLB-store-misses,armv7_cortex_a7/inst_retired/,kmem:mm_page_alloc_zone_locked,L1-dcache-store-misses,mmc:mmc_request_done,ext4:ext4_free_inode,L1-icache-loads,context-switches,ext4:ext4_journal_start,cache-misses,kmem:kmem_cache_alloc,ext4:ext4_ext_load_extent,L1-dcache-loads,L1-dcache-load-misses,pkt_in,branch-loads,net_out,ext4:ext4_unlink_enter,raw_syscalls:sys_enter,ioread,armv7_cortex_a7/l1i_tlb_refill/,memory,armv7_cortex_a7/l1d_tlb_refill/,L1-icache-load-misses,branch-load-misses,armv7_cortex_a7/st_retired/,gpio:gpio_value,filemap:mm_filemap_delete_from_page_cache,filemap:mm_filemap_add_to_page_cache,ioreadtime,armv7_cortex_a7/cid_write_retired/,block:block_split,armv7_cortex_a7/mem_access/,writeback:global_dirty_state,minor-faults,jbd2:jbd2_handle_stats,err_out,armv7_cortex_a7/l1i_cache/,net_in,dTLB-load-misses,pagemap:mm_lru_activate,sched:sched_process_exec,timer:timer_start,armv7_cortex_a7/unaligned_ldst_retired/,drop_out,sched:sched_waking,armv7_cortex_a7/l1d_cache_wb/,time,armv7_cortex_a7/l1d_cache_refill/,cpu-cycles,armv7_cortex_a7/l1d_cache/,iTLB-load-misses,ext4:ext4_evict_inode,armv7_cortex_a7/l1i_cache_refill/,drop_in,rpm:rpm_return_int,block:block_bio_frontmerge,kmem:kfree,bus-cycles,timer:timer_init,block:block_touch_buffer,armv7_cortex_a7/br_immed_retired/,iobusytime,writeback:wait_on_page_writeback,err_in,kmem:mm_page_free,LLC-stores,LLC-store-misses,workqueue:workqueue_execute_start,ext4:ext4_sync_file_enter,tcp:tcp_probe,armv7_cortex_a7/ld_retired/,armv7_cortex_a7/br_mis_pred/,L1-dcache-stores,iowritebytes,armv7_cortex_a7/exc_return/,ext4:ext4_es_lookup_extent_enter,LLC-load-misses,task:task_newtask,block:block_bio_remap,write_merge,jbd2:jbd2_checkpoint_stats,timer:timer_cancel,armv7_cortex_a7/exc_taken/,cpu,armv7_cortex_a7/bus_cycles/,instructions,armv7_cortex_a7/br_pred/,branch-misses,armv7_cortex_a7/l2d_cache/,seconds,ext4:ext4_releasepage,timer:tick_stop,iowrite,block:block_dirty_buffer,irq:softirq_exit,branch-instructions,LLC-loads,napi:napi_poll,cpu-migrations,random:credit_entropy_bits,cache-references,ext4:ext4_da_update_reserve_space,armv7_cortex_a7/pc_write_retired/,armv7_cortex_a7/cpu_cycles/
8,14,218,115,15270,0,0,7643779412,93646848,2488311,691,113764,7940645352,13738,41438090,6014,0,6205545799,677264,1,40090511,72425,22,3986216801,41015403,199,1261276783,188683,0,486114,9320,112657,27.7,176952,286140557,88784345,957729644,9215,2271,12436,7356,38019,0,3936517446,1,15268,1,0,6116236007,16665,113141,909,61,6921,1145269,0,425226,42258720,1626557399,38621700,13158255630,4011075905,76368,637,284289356,0,19026,6,101197,6627321004,417,9591,889731595,8770,0,0,9471,374810662,8506180,18842,0,105,1514734785,90676134,4004752821,48128,1096350,13881,8942402,86,4851,10,0,6928,798035,36.5,6429103291,7931984053,1300147893,87578856,378962198,5.009137951,2257,126142,4,9,22068,818660049,379569266,115,49,227,4011298607,0,812287125,12936884014
148711,21,220,143,50045,0,0,13511105357,29941760,6009850,22,291317,11199843168,15376,61227686,1644,1,7964126205,507473,15024,63194819,219707,0,5046787567,62142707,197,1664644419,165161,2,685332,792,157494,27.8,280464,285814084,101380442,1097036452,638,3243,9467,8658,106564,0,5060729122,69,50044,7801,0,7900360355,27074,300118,20073,245,2536,1511988,0,357796,66411355,1626557409,55520162,18073844135,5128083372,162131,4,264454948,0,2112,0,133573,9198596541,415,10104,1235971275,3610,0,0,35486,435556683,19225263,1760,0,128,2543916695,104026738,5011142027,52308992,1146376,16813,19196798,253,323,211,1,2532,933221,79.4,9099625755,11153815749,1678022705,112322815,430841100,5.010858045,3226,37766,154,7217,12284,1103200996,448254793,141,207,159,5195940740,0,1025178312,17073161392
945393,5,276,100,2205,7,2,6635377765,76435456,559580,179,21882,7837057051,6294,29134823,1602,0,6022932337,664794,6700,27942377,12772,0,3952626428,29072856,261,1115251478,256734,0,422748,412,14832,27.5,35852,250411142,69933743,887368058,665,4890,6531,34775,1461,50,3854250746,34,2205,3428,0,5931426567,15836,22793,59,10,2239,1054521,0,405557,29702489,1626557417,29352700,11360764834,4034272596,15973,135,250522010,0,717,0,22701,5603492870,173,3458,732054297,7570,10,0,7062,311764359,4268629,1045,0,90,1597746781,68098924,3984305471,177596416,1043932,3398,3739561,13,132,44,13,2239,763283,36.8,5514421438,7864429378,1089095604,71540566,304583790,5.011242755,3751,197640,421,3295,6910,741250883,316347709,100,30,160,3874795953,9,743897393,10981945325
289468,16,206,112,8759,6,4,8662214100,104046592,1798672,40,61865,9121304022,23631,35680064,1962,0,6823877612,594068,23998,33611027,40228,0,4561687589,35597433,189,1223143347,180631,0,408901,790,30865,27.1,53062,247542577,74821929,923092985,1279,21124,23417,14836,10770,79,4662588173,94,8721,12191,0,6500626598,19466,63026,118,35,2723,981534,0,375863,32518904,1626557430,30269052,12925147379,4405125000,37200,1748,235449931,0,1121,0,23578,6382113257,310,12485,824328952,7240,76,0,26007,320024766,6169377,1911,0,105,2352353023,72323261,4566510426,81043456,938033,12285,6318922,43,516,36,0,2726,691417,47.9,6323358076,9348555020,1162529979,71426817,308272365,5.011579623,11140,136277,257,11733,9297,778477236,324308668,112,69,164,4497331677,81,779215037,12103527527
364091,3,243,91,2746,2,3,8881387773,103374848,1755944,15,18290,10410259282,32308,33615021,1742,0,7233204568,585994,31269,35051320,38664,0,4834230594,34655600,213,1161256020,231137,0,418675,793,23302,27.4,45167,230924891,70454046,913973585,1267,29158,30864,12201,1486,151,4794110844,124,2743,15787,0,7270851663,11216,18950,142,10,2393,1045815,0,384718,39119568,1626557439,34895615,13127551628,4961352854,9494,2136,235687812,0,2409,0,23210,6642723288,195,15973,773878791,8080,0,0,30561,307435149,5056036,2561,0,88,2548260217,68981701,4812818356,131641344,918777,16003,5006095,14,582,30,2,2398,693664,39.7,6390471589,10297797638,1134846723,71789045,310853866,5.010258282,16358,146444,318,15436,8533,801208675,308047594,91,35,162,4964055219,58,760785632,12558610392
165306,26,253,148,5690,3,1,8952904687,40150016,1932057,389,47021,9469549279,16722,33705914,2017,224,7092890894,614678,16550,37324819,31209,2,4593213604,35426978,235,1333494090,195306,224,429515,508,30527,28.1,45768,235694776,83138812,953198908,1099,123050,15947,3350,18497,35,4577612838,63,5670,8227,0,6919584240,29485,43563,841,19,2817,1322966,0,398635,35235915,1626557450,32810084,13103619228,4451732202,22923,986,239819413,0,2624,14,28031,6524578283,299,11332,993276243,4020,0,0,125896,312705638,3247212,2460,0,124,2252306294,85610239,4609266192,73785344,966081,8560,3308165,26,887,53,3,2818,727834,51.3,6441820994,9672202344,1385794011,85805357,321506415,5.010661138,9623,123838,178,7606,9168,889141180,309968979,148,39,170,4564895049,25,886452552,12865199540
6,11,239,109,21432,0,0,11026943815,19219456,2610903,1754,75121,9307403072,4302,36065518,2700,0,7312084002,568431,37,38319404,64183,3,4239908540,37485660,212,1679654498,207553,0,439447,2729,73616,28,122992,231193169,106774659,987664134,2992,99,3019,2749,49092,0,4326459624,2,21420,21,0,7393953905,17538,72619,521,89,3579,1148295,0,381941,41313463,1626557460,36747421,14206619799,4216529916,51545,0,231079155,0,6444,46,43259,7102343574,411,2301,1204391871,6160,0,0,10492,311380162,6752248,6236,0,102,1940948041,103201749,4247548594,61440,955251,3395,7270627,114,2986,13,1,3581,724890,54.3,6920328346,9517532702,1642526799,110311721,322502396,5.013572045,99,92269,2,29,12394,1061404171,318508693,108,99,172,4279693830,0,1054931094,13617488117
0,4,222,100,2133,0,0,9766131254,13254656,1184594,974,15883,9457686113,1684,30436258,2228,0,7624340916,610496,0,30495186,20050,3,4266524188,30467561,207,1759025226,207391,0,432957,2229,20404,27.7,14696,228561299,116994750,982904622,2051,2010,1866,1856,1501,0,4292582167,1,2133,0,0,7404586012,14547,18872,142,10,3060,1120538,0,405923,31974422,1626557470,29768172,13335898221,4254534478,8761,149,226002432,0,4795,28,49702,6694838303,374,1999,1363092134,6680,0,0,3656,295460979,3737306,4466,0,97,1908468543,117006536,4271790438,0,934964,2838,4071642,13,1866,0,0,3064,704022,52.5,6508404294,9675972915,1759531772,116019037,295736362,5.011577782,937,123468,0,0,11286,1067769578,297995424,100,46,172,4318566830,0,1060483590,13191362223
474,18,247,144,2860,0,0,10544271045,16179200,791050,0,31291,9798475509,3376,29999974,3544,0,7799853073,581770,0,30310818,32059,1,4515923250,30017838,230,1718708641,200345,0,449370,2545,19862,27.7,22558,220425817,112284108,1061926778,4495,0,3286,2120,6728,0,4471683369,1,2770,0,0,7688129857,25873,32005,74,15,4439,1088289,0,399072,32737687,1626557480,30928537,13619586054,4372742124,19216,0,223168108,0,9513,0,50808,6814916170,409,2234,1298993382,4530,0,0,1291,295032390,4727158,9335,0,132,2067586480,109311920,4528952363,188416,903246,4590,4352124,18,2253,19,0,4437,701233,47.2,6776986251,10320744047,1698104904,109346568,286256874,5.014704733,0,99466,25,0,14854,1043580065,293979567,131,49,189,4522511944,0,1027212517,13567949886
415,11,231,115,14846,3,3,6308240679,290816,1254674,0,39612,7018322494,1106,28570843,1245,0,5449631729,680754,7,29740409,23153,0,3592814335,27896289,207,1117929214,197911,0,440569,4,42654,27.8,44218,258165927,70097316,885048253,22,0,29,22,18167,0,3635282920,1,14840,5,0,5569287318,20770,34585,2,57,1920,1154809,0,416870,29023519,1626557490,28923399,11133532157,3604514698,29844,0,261256056,0,817,0,24078,5620606376,200,8,756507452,110,0,0,6102,317873146,1921883,439,0,108,1388818057,69785110,3597647328,335872,1090501,35,2389632,81,32,32,0,1919,793366,28,5640376540,6994081203,1137606096,70087545,328407878,5.010022926,0,186388,30,25,6557,753948512,319286738,115,35,158,3609031913,2,740309651,11300576377
