L1-icache-load-misses,timer:timer_init,cache-misses,armv7_cortex_a7/l1d_cache_refill/,armv7_cortex_a7/pc_write_retired/,filemap:mm_filemap_add_to_page_cache,tcp:tcp_probe,memory,net_out,writeback:sb_clear_inode_writeback,branch-loads,ext4:ext4_da_update_reserve_space,gpio:gpio_value,armv7_cortex_a7/ld_retired/,kmem:mm_page_alloc_zone_locked,write_merge,branch-load-misses,instructions,pagemap:mm_lru_activate,net:netif_rx,jbd2:jbd2_checkpoint_stats,time,ext4:ext4_evict_inode,LLC-store-misses,fib:fib_table_lookup,kmem:kmem_cache_alloc,LLC-loads,armv7_cortex_a7/l1d_cache/,armv7_cortex_a7/exc_return/,timer:timer_start,pkt_out,armv7_cortex_a7/l1i_cache/,err_in,armv7_cortex_a7/br_immed_retired/,block:block_bio_remap,ioread,ext4:ext4_es_lookup_extent_enter,drop_out,L1-icache-loads,dTLB-load-misses,ext4:ext4_releasepage,sched:sched_stat_runtime,armv7_cortex_a7/mem_access/,workqueue:workqueue_execute_start,armv7_cortex_a7/br_mis_pred/,armv7_cortex_a7/br_pred/,cpu-cycles,random:credit_entropy_bits,cpu,ext4:ext4_free_inode,jbd2:jbd2_handle_stats,block:block_bio_frontmerge,ext4:ext4_sync_file_enter,armv7_cortex_a7/l1i_tlb_refill/,kmem:mm_page_free,irq:softirq_exit,armv7_cortex_a7/l1d_cache_wb/,page-faults,sched:sched_waking,bus-cycles,armv7_cortex_a7/cid_write_retired/,LLC-load-misses,iTLB-load-misses,ioreadbytes,raw_syscalls:sys_enter,armv7_cortex_a7/inst_retired/,ext4:ext4_unlink_enter,kmem:kfree,LLC-stores,L1-dcache-loads,err_out,timer:timer_cancel,block:block_dirty_buffer,task:task_newtask,net_in,ext4:ext4_ext_load_extent,drop_in,iobusytime,sched:sched_process_exec,ext4:ext4_journal_start,writeback:wait_on_page_writeback,writeback:global_dirty_state,iowritebytes,block:block_split,seconds,armv7_cortex_a7/exc_taken/,ioreadtime,context-switches,pkt_in,branch-instructions,branch-misses,mmc:mmc_request_done,rpm:rpm_return_int,armv7_cortex_a7/cpu_cycles/,L1-dcache-stores,armv7_cortex_a7/l2d_cache/,armv7_cortex_a7/bus_cycles/,L1-dcache-load-misses,ext4:ext4_writepages_result,armv7_cortex_a7/unaligned_ldst_retired/,read_merge,minor-faults,filemap:mm_filemap_delete_from_page_cache,dTLB-store-misses,cache-references,armv7_cortex_a7/st_retired/,block:block_touch_buffer,cpu-migrations,iowritetime,armv7_cortex_a7/l2d_cache_wb/,timer:tick_stop,iowrite,armv7_cortex_a7/l1d_tlb_refill/,napi:napi_poll,L1-dcache-store-misses,armv7_cortex_a7/l1i_cache_refill/
222049809,134,28198713,27344135,658176689,2,91,22.3,1,182,1005089313,182,27,1230868144,21,1,62062810,6363467754,86,102,2,1626560271,0,799552,3,2745,277739438,3252244700,931497,1800,1,4946561667,1,677373161,192,1,192,1,4946146126,10569,0,4779341895,3256652477,402,62064380,1010862544,9772781592,158,24.8,0,364,24,0,8065,95,5507,27694082,70,421864,4924387550,1383,722308,6793,1,433604,6307047943,0,23192,275999463,3243182886,1,1808,5,0,1,0,1,1,1,546,1,1,1,0,5.009197446,709410,1,632927,1,659305621,62017747,1213,752,9779927401,3248726527,276562380,4880435891,28068355,182,1036286,1,70,0,8218,3272022352,791699565,715,0,1,158406,160440,1,5677,102,27432429,222923516
252753037,180,31205589,30493441,736116569,2,92,22.4,192266,0,1110987283,0,11,1362133642,4,7,68320078,6931988298,0,95,2,1626560281,0,754236,6,1105,317650370,3631158725,1082889,1820,208,5526793245,0,747359228,9,0,9,0,5406314536,6953,0,5400886360,3634781068,382,69389712,1126116057,10795652385,157,22.6,0,0,0,0,10604,89,5529,31510861,66,429673,5491864630,1304,758793,8545,0,441513,7042377090,0,22877,317518643,3534093313,0,1822,7,0,9795,0,0,10,1,0,0,1,36864,0,5.009382550,786978,0,704497,186,749333437,69808899,1175,728,10956805140,3544190117,321972845,5473929313,30903261,0,1166339,0,66,0,6778,3590716753,879803513,0,4,8,162601,224732,2,18116,95,30525671,260366936
254200661,219,33556213,30081705,738760793,0,101,22.4,202368,0,1128476100,0,5,1373124644,74,27,69991424,7057584456,0,115,0,1626560290,0,887039,3,2766,314274693,3617948556,1082584,1914,216,5478435062,0,748941389,0,0,0,0,5443312145,12290,0,5579889976,3652165614,400,70175976,1128677679,11108323241,159,24.2,0,0,0,0,16303,264,5854,30825109,808,427426,5618678849,15019,673851,6384,0,441671,7033829082,0,23356,315742214,3604789251,0,1915,0,3,15756,0,0,20,3,0,0,1,131072,0,5.008912290,785277,0,702909,202,753634803,73186912,1229,781,10988395594,3590067359,319549046,5551797622,30883252,0,1175249,0,808,0,11198,3645929978,884994643,0,3,29,207777,216086,5,11074,113,30277442,257320788
256009413,171,29933961,28839912,739445818,0,90,22.4,212201,0,1125356820,0,5,1368128673,1,0,68150255,7058803569,0,95,0,1626560300,0,637328,4,1027,312280735,3649955598,1084040,1763,222,5523509375,0,751527553,0,0,0,0,5469135158,10475,0,5388130162,3660471716,345,68396247,1128257166,10945223397,157,22.4,0,0,0,0,10319,68,5453,28767558,49,431316,5492204824,1330,518420,10482,0,443137,7077410051,0,22736,313072473,3601970069,0,1765,0,0,11871,0,0,0,1,0,0,0,0,0,5.009441144,787371,0,708720,198,746610485,68469840,1130,682,10962988007,3601064224,315177446,5453435291,29492889,0,1099285,0,52,0,9300,3639543718,884867532,0,3,0,134335,227887,0,11502,95,28737982,259347874
245843175,218,25639097,25611316,732254885,0,101,22.4,188496,0,1100772055,0,5,1383471294,193,0,68641985,6898610348,0,120,0,1626560310,0,724907,21,6210,295012253,3555832740,1088750,1948,211,5504248895,0,743243048,0,0,56,0,5329966442,16832,0,5497717715,3648726224,442,71621119,1124410444,10744926787,159,24.5,0,0,0,0,127052,1310,6227,26328299,2548,429347,5436863302,1344,626950,11957,0,447196,6911625715,0,24173,297835769,3520179582,0,1954,0,31,14044,0,0,0,31,0,0,0,0,0,5.009545519,791520,0,696490,195,745174932,69812321,1251,796,11223933822,3511852930,320402888,5336848773,24580960,0,1173591,0,2548,0,16309,3579847351,875765674,52,2,0,445110,192842,0,155172,118,24150973,262651708
256455433,157,27070513,26390347,757162558,0,89,22.3,191552,0,1160699410,0,5,1402125069,4,0,71029256,7207742066,0,91,0,1626560319,0,764047,2,1237,309273173,3719563152,1108054,1743,197,5649488086,0,771855936,0,0,0,0,5606267777,6481,0,5310614380,3737566990,352,70847549,1160773665,11109810152,156,22.5,0,0,0,0,10261,102,5467,26087076,55,432551,5566039000,1371,672791,12090,0,444626,7236319531,0,22874,310316378,3682213348,0,1745,0,0,8905,0,0,0,1,0,0,0,0,0,5.009083227,798963,0,721958,171,777721157,71396781,1125,690,11105353777,3678042269,310361297,5565636660,26305928,0,1133297,0,59,0,9354,3721118277,902018144,0,1,0,153877,235156,0,11179,91,26363369,259156375
255102422,183,28810715,31636477,749301213,0,102,22.5,197198,0,1115171362,0,6,1395819604,11,0,71340950,6948809292,0,113,0,1626560329,0,1147058,6,3008,312168657,3652589876,1077289,1888,220,5632464550,0,754583677,0,0,0,0,5501353943,17547,0,5531286327,3710034230,407,71517241,1133648957,10813692618,159,26.6,0,0,0,0,84584,293,5961,32804496,788,431000,5467422895,2027,1083328,7208,0,445551,7095743067,0,23509,312043813,3565939038,0,1890,0,3,19826,0,0,0,3,0,0,0,0,0,5.011317602,788139,0,706611,206,751224462,70921970,1238,785,11003182632,3573357267,332015124,5506110821,28341201,0,1187704,0,788,0,17699,3596139401,891968740,0,6,0,432360,220828,0,138804,111,28100767,267682508
255146483,194,29035287,28678223,724920660,0,116,22.4,208931,0,1129987426,0,5,1343831425,72,0,71470055,7558599795,376,122,0,1626560338,0,638878,3,1586,311240104,3604944772,1060521,1912,223,5496613929,0,750398722,0,0,0,0,5860989456,8146,0,5550436761,3566309533,401,71659064,1127045378,11156921498,160,24.2,0,0,0,0,11445,293,5468,28616845,201,430358,5548016282,1371,853971,12002,0,442563,6963588147,0,22987,312497709,3817611692,0,1916,0,1,11032,0,0,0,2,0,0,0,0,0,5.009174425,775592,0,699290,200,734171916,71267930,1244,774,10823527490,3830960355,308541686,5401983186,28621082,0,1082200,0,210,0,10116,3758373928,865506405,0,2,0,190918,219552,0,13726,115,27969865,255528465
262031644,198,32745953,28908862,745515627,0,106,22.3,198967,0,1121789675,0,5,1377055369,149,0,70924458,7146920850,0,123,0,1626560348,0,881895,3,5032,317622688,3635234923,1077709,1937,216,5571555817,0,754083518,0,0,0,0,5517885579,15097,0,5606522495,3676739524,415,72125261,1133532662,11247911758,160,24.4,0,0,0,0,22409,644,5873,29666421,1684,429535,5639219730,2782,1261711,5596,0,445656,7062648899,0,23777,313807084,3641858317,0,1941,0,8,16030,0,0,0,7,0,0,0,0,0,5.010529893,786861,0,707105,203,757165435,73579723,1266,787,10974187157,3629260697,326163119,5522747710,33034549,0,1147962,0,1684,0,8098,3688769327,885053684,0,3,0,429396,216633,0,16118,121,32094757,261817641
247064619,197,33192385,28671206,719944211,0,90,22.3,200928,0,1090284872,0,5,1336542202,283,0,68347305,6968514268,0,95,0,1626560358,0,649478,7,4989,301063872,3546240828,1058976,1796,209,5382602477,0,728439325,0,0,0,0,5347975839,21773,0,5337392814,3561437347,370,69670257,1101546891,11097970626,157,22.1,0,0,0,0,10563,1145,5735,28807374,1666,426388,5478845543,1349,723373,12787,0,441446,6923363468,0,23402,302478292,3549310303,0,1801,0,10,9816,0,0,0,9,0,0,0,0,0,5.009422811,778813,0,687018,185,726859174,69449486,1149,706,10902902504,3542523152,305153399,5317177514,33126627,0,1129485,0,1671,0,21174,3552223415,858786817,0,7,0,175618,203272,0,7247,95,30903381,249125318
