armv7_cortex_a7/ld_retired/,armv7_cortex_a7/mem_access/,ioreadbytes,armv7_cortex_a7/l1i_tlb_refill/,L1-dcache-stores,memory,branch-load-misses,dTLB-load-misses,armv7_cortex_a7/cid_write_retired/,ext4:ext4_free_inode,sched:sched_waking,pkt_out,branch-loads,sched:sched_stat_runtime,filemap:mm_filemap_add_to_page_cache,cache-references,time,block:block_bio_frontmerge,irq:softirq_exit,writeback:global_dirty_state,ext4:ext4_da_update_reserve_space,timer:tick_stop,armv7_cortex_a7/l1i_cache/,drop_in,read_merge,armv7_cortex_a7/br_pred/,armv7_cortex_a7/l1d_cache_refill/,block:block_dirty_buffer,ioreadtime,ioread,ext4:ext4_sync_file_enter,raw_syscalls:sys_enter,jbd2:jbd2_checkpoint_stats,armv7_cortex_a7/l1d_cache_wb/,armv7_cortex_a7/l1d_cache/,iowrite,armv7_cortex_a7/exc_taken/,ext4:ext4_evict_inode,tcp:tcp_probe,context-switches,instructions,write_merge,kmem:mm_page_alloc_zone_locked,seconds,timer:timer_cancel,ext4:ext4_unlink_enter,mmc:mmc_request_done,net:netif_rx,net_out,minor-faults,workqueue:workqueue_execute_start,pagemap:mm_lru_activate,iTLB-load-misses,block:block_touch_buffer,armv7_cortex_a7/l1i_cache_refill/,ext4:ext4_writepages_result,branch-instructions,armv7_cortex_a7/exc_return/,LLC-load-misses,cpu-migrations,block:block_bio_remap,kmem:kmem_cache_alloc,iowritetime,rpm:rpm_return_int,err_in,L1-icache-load-misses,gpio:gpio_value,LLC-loads,cpu,random:credit_entropy_bits,LLC-store-misses,cache-misses,L1-dcache-loads,ext4:ext4_ext_load_extent,L1-dcache-load-misses,block:block_split,writeback:wait_on_page_writeback,iowritebytes,err_out,armv7_cortex_a7/unaligned_ldst_retired/,pkt_in,armv7_cortex_a7/inst_retired/,LLC-stores,armv7_cortex_a7/l2d_cache/,armv7_cortex_a7/l2d_cache_wb/,ext4:ext4_es_lookup_extent_enter,timer:timer_init,kmem:mm_page_free,kmem:kfree,armv7_cortex_a7/br_immed_retired/,iobusytime,drop_out,cpu-cycles,armv7_cortex_a7/bus_cycles/,ext4:ext4_releasepage,napi:napi_poll,timer:timer_start,branch-misses,bus-cycles,filemap:mm_filemap_delete_from_page_cache,armv7_cortex_a7/l1d_tlb_refill/,writeback:sb_clear_inode_writeback,page-faults,sched:sched_process_exec,armv7_cortex_a7/cpu_cycles/,fib:fib_table_lookup,armv7_cortex_a7/br_mis_pred/,armv7_cortex_a7/st_retired/,L1-dcache-store-misses,net_in,armv7_cortex_a7/pc_write_retired/,task:task_newtask,L1-icache-loads,dTLB-store-misses,ext4:ext4_journal_start,jbd2:jbd2_handle_stats
1851004945,4203874054,2606080,72058,4268399750,24.1,103724548,137252,1315,0,417384,215,1404735268,8310445379,669,4210269087,1626642021,0,6771,5,0,126427,6745418766,0,0,1392563007,54440517,1150,204,130,0,441240,0,56264554,4114274661,2,711918,0,100,617623,8658190209,10,5230,5.010644086,2012,0,1325,106,195776,7661,922,313,88855,573,316883208,0,885973407,933469,5987181,28,127,13264,7,1263,0,300995425,258,421395284,45.9,158,5939000,54114530,4226040732,0,61344445,0,0,49152,0,1508527,186,8272414737,415284116,430112510,869057,887,220,4255,26765,1023108127,570,0,14095858513,7193714513,0,106,2013,102619022,7090199686,0,136349,0,7663,17,14227081470,11,101942820,991871418,63888810,10020,862933437,19,6886224546,150232,1426,1426
2003749868,4510393955,14381056,74116,4481825310,24.7,112421444,299466,1895,0,420161,359,1468045641,9594388880,988,4514830603,1626642037,0,8447,9,0,127132,7141167967,0,139,1500076027,58857802,2269,1951,1673,0,450202,0,59622041,4429744329,9,748150,0,104,631435,9130010585,406,1008,5.018953009,2281,0,1466,107,335738,3447,1887,4,154681,3673,351230597,0,939614002,984629,5963611,52,536,17365,190,2196,0,357435035,777,484236580,49.6,160,5026313,57974719,4483186783,0,59263920,0,0,1690624,0,1523119,309,8990994413,479381133,468605864,627781,3402,347,1103,27733,1065637079,8930,0,15326497434,7602219807,0,102,2278,112847313,7637002958,0,181071,0,3447,12,15572121693,3,114384935,1077187984,58752564,19969,924247313,16,7229517348,273351,3058,3058
1943947016,4183195250,8675328,29582,4220904709,24.7,105681531,52108,1184,0,408329,203,1371117339,9259873246,1105,4167636274,1626642047,0,6540,10,0,90627,6837272332,0,0,1379114812,60473113,2289,805,426,0,428953,0,63245323,4150591024,13,627362,0,98,543129,8573784118,149,1274,5.009960070,1942,0,1290,108,191199,746,697,2,32142,694,330595842,0,847074288,781516,2948376,3,219,7262,160,1059,0,337691222,162,458208283,48.5,159,2495833,60910180,4219929315,0,63412992,0,0,991232,0,1535624,183,8495057216,454471139,456939709,363686,1399,188,324,23627,1007884518,2940,0,14153481491,6934631864,0,106,1942,104768940,6902687528,0,45514,0,743,2,13953524560,7,106042035,987518654,64316848,10110,852466469,3,6906776344,50933,2676,2676
1974022940,4465735715,11235328,127072,4508977238,24.6,112477277,231969,2252,0,426312,197,1465709033,9272398241,1754,4438069780,1626642056,2,10133,7,0,158419,7319962118,0,91,1491310332,53325961,1637,1507,1371,0,445565,0,54990177,4508159684,437,730241,0,91,638383,9017791444,635,2041,5.013850534,3090,0,2347,102,189619,171,4921,91,147419,4529,346398398,2,929080678,961958,4482264,5,1315,17758,61577,5263,0,352249679,2292,458202799,48.5,174,5248325,53491691,4472296927,2,54532994,3,0,7294976,0,1235006,178,9071619684,454486267,450224680,918379,4780,277,220,41223,1051905821,4650,0,14905143204,7461248670,0,102,3086,111821340,7463372836,0,202740,2,169,1,15029441363,3,112516439,1063640259,54625297,12845,922118530,1,7313179707,221868,2082,2082
1921938799,4369404840,8097792,61764,4450443150,24.8,106309098,73503,15185,0,411983,205,1446683710,9191778202,1040,4482871948,1626642065,120,8031,9,0,153740,7064773992,0,88,1451701641,54714256,1957,1342,863,0,430413,6,55827309,4374141499,90,709005,0,94,628992,9094815547,337,797,5.008957378,2493,0,1714,97,194560,7,2040,7,51950,3060,340374061,351,918094656,955041,3708111,8,729,10156,13216,2117,0,348492124,974,462884766,47.4,165,3280363,58735499,4462707352,0,58336973,0,0,5059584,0,1342555,174,8867708037,463973468,445276356,582778,3069,303,205,27057,1035557152,4840,0,14969440086,7377155636,0,97,2491,109512795,7492437830,0,61792,352,7,0,14602610628,3,106136761,1037762475,57870231,9195,901596736,0,7145462673,72378,3017,3015
1846222030,4283891937,8798208,120517,4380009318,24.9,108956551,220720,20999,0,422204,218,1420496662,8939723314,1118,4398446000,1626642074,106,9488,9,0,139304,6814006653,0,0,1377342101,54744505,2326,1777,1163,0,444487,0,56242575,4256527884,117,742613,0,92,644057,8878571193,566,1400,5.009830387,2803,0,1975,104,203912,257,3172,1,126351,8552,333366571,338,892728384,994671,6626407,37,1129,15564,15364,3340,0,348975522,1493,466509661,46.2,170,6924816,58704867,4381502431,1,56892394,0,0,9588736,0,1206896,196,8508318228,471279696,442095072,829727,7807,372,343,27816,969280553,7020,0,14825809544,7258193964,0,104,2802,108119677,7369106954,0,219573,338,257,4,14188962478,6,103148568,1019228837,55826736,13997,875133262,5,7039766163,209187,3910,3910
1993474713,4546487499,8294400,64356,4450520522,24.9,107763711,102678,28756,0,424270,224,1449129147,9188146905,1013,4523083173,1626642084,13,7795,8,0,152274,7192498276,0,1,1460090730,54283870,2071,1584,822,0,442928,0,56450421,4471671757,128,731883,0,95,644213,9140152049,353,902,5.009404842,2373,0,1559,104,200586,5,1641,3,60037,2904,358967646,54,922095062,966484,3779487,11,486,8481,21673,1970,0,348636956,652,451845139,45.6,162,3509024,57340640,4467585244,1,56905215,4,0,9375744,0,1412170,192,9069623889,451361356,480404598,554667,3016,342,185,24807,1047007552,5970,0,15115591785,7506272498,0,104,2369,111174443,7553158660,0,120381,54,5,0,14752336272,21,108390435,1070114780,55274487,10406,928508708,0,7075465614,97664,2731,2731
1941134398,4435359422,7409664,66062,4507697148,25,111006588,109666,1230,0,424786,210,1484338310,9232082104,1031,4537357926,1626642093,13,7867,9,0,165405,7232136342,0,3,1504303323,53124826,2148,1926,565,0,443595,0,55893222,4438197076,385,720936,0,90,637179,9206854826,663,1030,5.009530343,2445,0,1637,108,200541,6,1860,4,61896,3351,355984523,70,938744299,962976,4873220,18,528,8991,150785,2070,0,355386751,823,459868901,44.2,164,4561314,56223209,4519888354,0,55957612,2,0,10739712,0,1433670,196,9016387533,460151377,463897240,550431,3394,348,167,24901,1087529430,5370,0,15143594830,7452887026,0,108,2442,112356234,7576076874,0,106364,70,6,0,14986325460,7,112765655,1054368427,55066477,15499,903891218,0,7253422825,116338,2900,2900
1976436355,4458864979,8253440,53956,4582018484,25,112808769,104462,5615,0,421183,221,1489652721,9348574467,1069,4535583595,1626642103,59,8035,9,0,157191,7412122441,0,1,1487521939,55937576,2137,1559,619,0,439663,5,57980878,4522499932,251,715246,0,94,635091,9168740453,656,1114,5.009666075,2478,0,1691,97,208075,10,1859,1,65686,2391,358318518,335,941469672,947000,3551370,12,728,9945,37140,1910,0,363767253,896,485282205,46.5,163,3430461,57460587,4532926025,1,57627378,0,0,9089024,0,1513597,191,9092609711,482231442,466980263,604452,2507,321,183,24964,1052232723,5490,0,15139125268,7617639423,0,97,2476,113341148,7566454381,0,60921,335,10,0,14802427202,2,112580857,1066289081,57612758,10186,916013925,0,7435770176,113149,3169,3169
1953923597,4493637295,8294400,106542,4362498752,25,110186241,97375,26118,0,429272,213,1465869367,9225886279,1003,4479661723,1626642112,75,8358,9,0,147562,7168553794,0,0,1491014007,57408649,2007,1315,667,0,447649,0,58385059,4504414506,165,739901,0,91,651710,8988804646,500,927,5.011248227,2537,0,1745,103,205335,8,2083,1,79374,2954,349979798,337,920432630,983475,4785502,21,771,10344,22970,2132,0,339586791,1008,448607661,47,166,4694975,58798126,4408190608,1,56318429,0,0,9003008,0,1327036,201,9096600871,456789152,462736568,772287,2827,324,192,25635,1067767948,5700,0,14903054828,7477630831,0,103,2536,111848343,7494129324,0,128931,337,8,0,15075722790,7,112425613,1064162854,54674969,14728,915204368,0,7011489709,92336,3104,3104
