task:task_newtask,cache-misses,armv7_cortex_a7/ld_retired/,LLC-store-misses,seconds,raw_syscalls:sys_enter,L1-dcache-load-misses,ext4:ext4_es_lookup_extent_enter,kmem:kmem_cache_alloc,bus-cycles,filemap:mm_filemap_add_to_page_cache,memory,ext4:ext4_sync_file_enter,timer:timer_init,irq:softirq_exit,write_merge,ext4:ext4_ext_load_extent,kmem:mm_page_free,armv7_cortex_a7/st_retired/,armv7_cortex_a7/br_pred/,armv7_cortex_a7/cpu_cycles/,kmem:kfree,block:block_dirty_buffer,workqueue:workqueue_execute_start,ext4:ext4_free_inode,fib:fib_table_lookup,random:credit_entropy_bits,writeback:wait_on_page_writeback,L1-dcache-store-misses,writeback:global_dirty_state,sched:sched_waking,branch-instructions,branch-load-misses,armv7_cortex_a7/l1i_cache_refill/,ext4:ext4_writepages_result,block:block_touch_buffer,timer:tick_stop,block:block_bio_remap,armv7_cortex_a7/l1d_cache_wb/,sched:sched_process_exec,armv7_cortex_a7/cid_write_retired/,ext4:ext4_releasepage,armv7_cortex_a7/exc_return/,page-faults,armv7_cortex_a7/mem_access/,L1-dcache-loads,drop_in,armv7_cortex_a7/pc_write_retired/,LLC-load-misses,kmem:mm_page_alloc_zone_locked,L1-icache-loads,ext4:ext4_unlink_enter,net:netif_rx,rpm:rpm_return_int,jbd2:jbd2_handle_stats,ioreadtime,L1-dcache-stores,tcp:tcp_probe,drop_out,napi:napi_poll,net_in,armv7_cortex_a7/l1i_tlb_refill/,iowritetime,sched:sched_stat_runtime,LLC-stores,L1-icache-load-misses,pkt_out,minor-faults,pkt_in,branch-loads,iowritebytes,ioread,block:block_split,armv7_cortex_a7/l1d_cache_refill/,net_out,armv7_cortex_a7/inst_retired/,iobusytime,time,armv7_cortex_a7/l2d_cache_wb/,branch-misses,cpu,armv7_cortex_a7/l1i_cache/,filemap:mm_filemap_delete_from_page_cache,iTLB-load-misses,ext4:ext4_da_update_reserve_space,armv7_cortex_a7/br_mis_pred/,block:block_bio_frontmerge,cpu-migrations,cache-references,instructions,cpu-cycles,context-switches,dTLB-load-misses,armv7_cortex_a7/exc_taken/,armv7_cortex_a7/l1d_tlb_refill/,armv7_cortex_a7/br_immed_retired/,dTLB-store-misses,timer:timer_start,armv7_cortex_a7/unaligned_ldst_retired/,ioreadbytes,timer:timer_cancel,armv7_cortex_a7/l1d_cache/,pagemap:mm_lru_activate,read_merge,writeback:sb_clear_inode_writeback,ext4:ext4_evict_inode,LLC-loads,mmc:mmc_request_done,ext4:ext4_journal_start,armv7_cortex_a7/bus_cycles/,armv7_cortex_a7/l2d_cache/,iowrite,err_in,err_out,gpio:gpio_value,jbd2:jbd2_checkpoint_stats
120,39544669,1503373430,8023243,5.010317821,527817,39327568,1333,116376,6400664569,948,28.4,16,329,8729,164,0,9968,928524098,1197252625,12628654589,31652,212,2118,17,30,163,16,38526288,1,413267,793232263,86221481,265615098,16,1291,149893,781,46704763,88,12799,12,1139471,21587,3823464772,3886363792,0,784885056,7320474,5436,6125938219,16,123,2426,216,4463,3937614223,107,0,123,29874,63999,117,7031518390,390493895,267912511,268,21545,241,1305532912,876544,5010,0,44391892,206523,7536123627,5240,1626562064,1804886,80212750,35.9,5875689689,18,72855,16,75579941,7,83,3949972355,7770558671,12959651460,653623,152615,860131,109083,848287611,148829,2440,1261331,56739328,2440,3827824115,402,838,16,17,375574513,1687,330,6363600395,359205202,50,0,0,875,8
21,46450739,1528592816,10326101,5.009409498,534764,45418534,11481,76052,6678598768,10290,28.3,0,390,23904,2,2,15278,965788552,1294096415,14073222416,75338,12,20529,0,7,230,0,44779423,1,431905,822774221,85182395,254961132,0,8683,141737,5586,61067077,16,20942,5251,1120361,4257,3933065633,3911251113,0,821528975,10647745,10953,6026850913,0,104,20830,16,3980,3906056102,92,0,104,28498,38082,7,7156674730,364367520,271914963,257,4260,228,1233418025,6144,5581,0,58653893,198946,7833762769,5180,1626562074,2554071,87711782,42.1,5879651780,10501,33852,0,89715446,21,48,3919670715,7683282992,13018725527,663018,38423,854975,52537,863983778,44696,7046,1292324,47905792,7046,3879791522,399,529,0,2439,364626837,6193,27,6849346388,372085469,4,0,0,10086,0
368,83781835,4594825167,28541359,5.047822840,459381,81378113,33483,170122,11149693339,40497,28.1,0,405,10725,423,0,83766,1274362090,1786760766,22340825114,27364,31180,1250,0,6,142,0,80974277,347,337581,1217044279,105601424,280600573,441,37512,1913,901,90610975,366,201257,23397,966078,72009,7358760609,7014845107,0,1174173459,28516092,41096,10746117182,0,85,726,33867,40455,6964977625,82,0,85,13180,244869,361955,18108974879,524169117,280047847,187,72012,183,1821690726,76259328,492,93,74943855,172336,16400877314,5060,1626562083,9382203,107119865,79.5,11317979306,42022,270880,443,105854370,38,341,6991485644,15866473602,22199140988,473753,474502,735686,436968,1300585812,474775,2458,1596167,60567552,2460,7191795555,15401,180,424,5845,520447570,1602,65453,11154378516,513588874,237,0,0,764,0
82,30942195,1470263525,5744903,5.008683821,423639,37794756,6096,35935,6222554863,11480,27.7,0,247,7732,67,0,13165,909559022,1227440873,13564863043,22413,5708,1192,0,6,153,79,44566492,33,393954,781466774,73391041,254831626,13,6403,162305,350,40985769,59,14870,3115,1028901,15483,3817042809,4734518386,0,767513796,5063037,12195,7008984556,0,99,680,6047,90112,4772930267,93,0,99,23731,40237,1395309,6925767693,356271972,235687804,313,15446,286,1197984703,193992704,513,177,39228454,274844,8748999386,9780,1626562092,1181276,75406462,33.6,6076347395,6679,43911,97,75098126,1,53,4402336760,9597789330,12664843472,647962,72432,748641,62559,819222920,70689,2292,1068778,110424064,2292,4250977797,509,421,7,972,355782797,1609,11845,6149004257,332812287,526,0,0,821,10
19,37872427,2190794212,7134662,5.014248850,429208,37409982,9238,27258,6510198535,17557,27.3,0,235,7965,80,0,19707,962062872,1244104475,13492298336,23499,8839,1336,0,2,161,1,37361031,77,400752,808040545,72678220,237929181,6,9584,170721,379,44286733,15,12282,9680,990353,4530,4571360477,4397569303,0,804762359,6825563,17631,6387160921,0,119,832,9173,14996,4337612682,102,0,117,17908,13903,253991,6970218547,324148804,248450563,214,4528,212,1201160727,108814336,528,73,42597525,197477,9107866137,6470,1626562107,1462104,72515613,33.9,6918252658,17867,43035,73,74413091,0,46,4436258358,9050057537,12854664472,638765,41080,741297,48912,857173801,46950,2429,995568,76660736,2431,4524431529,168,71,3,1346,323011726,1739,18086,6558722717,323875226,316,0,0,757,1
15,45210663,3042909715,8763969,5.009372498,446135,43716185,21107,48171,7223388173,40792,27.2,0,193,8926,23,0,33941,1007182722,1280364345,15271716391,23834,20409,2702,0,3,164,21,43127697,165,404831,845778899,75567873,244947557,1,21647,131031,722,65449761,11,50745,18529,942017,2802,5513502778,5257045601,0,857982085,8321910,40793,7803857710,0,96,1344,20864,14194,5313672284,93,0,96,10112,23612,224726,8815349345,346161763,247244592,217,2791,192,1259142435,82526208,940,11,61049253,209505,12352032335,8310,1626562116,2865047,75001907,40.3,8368151946,31448,18181,49,77616714,0,33,5269603950,11158936090,14590524129,620254,27807,713256,31661,882825617,33531,2474,1116920,122105856,2475,5720206723,312,17,3,2056,345005617,1841,41311,7265956211,364507303,253,0,0,1418,1
16,36790348,1736877070,5194118,5.010789349,426082,35771602,6243,19780,6015074655,11553,26.9,0,211,8351,19,0,13191,852602697,1182451751,12146640843,23799,5796,2136,0,14,170,0,40515569,46,405890,726822661,66359723,226832780,5,7167,142043,456,42765860,12,1377,6393,924243,2928,3905841475,4183409711,0,726593545,5448042,11202,6183362732,0,108,949,6199,8773,4089693443,95,0,108,14394,11987,487841,6379962636,330679892,228912513,209,2928,199,1099476861,89096192,589,55,40452711,185741,8051231988,7040,1626562127,1007397,68314140,37.9,6023377592,11767,8761,263,69224207,0,37,4242083968,8756666174,12591439890,614555,30877,700901,33849,808414924,26503,2887,1021954,80281600,2889,3971413894,94,65,1,914,340294384,2218,12250,5594901467,308890580,544,0,0,1557,2
92,43624288,2373943216,10186871,5.010934601,437213,43101490,11671,49216,6833466847,22768,26.9,0,282,9279,32,0,31481,931320302,1241003554,13649238773,24410,11071,2268,0,15,169,349,42837909,96,398988,797328152,76712247,257938412,3,12185,131232,658,53024702,67,8518,11762,991169,17039,4702214513,4783799699,0,792879779,10761536,23880,7056069223,0,115,1466,11436,20506,4723990022,99,0,115,17430,55984,443400,8106384348,347220391,246282482,228,16981,204,1246726330,115593216,556,24,49908615,198104,9510952560,7590,1626562136,1918970,71269280,36.5,7013991083,24564,66381,125,79863068,2,73,4873478885,10270221175,14042446142,615956,97813,732961,118067,874114349,99828,2962,1053885,60829696,2964,4640345506,560,259,9,917,347618737,2218,22625,6553943165,356401168,581,0,0,1129,1
29,48991413,2056343175,5906524,5.010189271,467566,44155412,2420,56277,7549922964,1480,27,0,374,9587,75,2,116838,1062401502,1806282807,14367757155,30035,74,2910,435,21,167,0,42807248,1,405018,1197863594,107797563,238458062,0,7397,111912,974,41827733,23,16899,0,911174,5775,4592770413,4346997991,0,1176421899,5539859,3399,7758502856,435,121,3306,870,1126,4400790213,110,0,121,28887,27322,20,9030521824,310839476,232518053,265,5780,231,1836798323,315392,1337,0,38605681,210265,10092880544,2340,1626562145,1468957,116651047,49.9,7692365623,113623,14983,0,106033709,9,31,4411915192,10035002970,14528765748,585230,22175,711644,39182,1388642090,21296,2732,1222513,13520896,2734,4481985982,391,1404,0,435,315483799,1879,2237,7705513816,329328225,2,0,0,1239,1
22,38331626,2159901560,5841019,5.009861969,425846,37317660,3513,25031,7353504159,3199,27,0,370,12485,0,7,3133,1081743277,1789699712,14928389289,51060,0,6592,0,8,182,0,37067111,1,397022,1107553068,121852950,218174357,0,2401,105852,2303,40774962,17,20597,1065,902111,4210,4594704834,4763514689,0,1050379354,6367318,3480,8315922548,0,138,6700,0,2648,4794942576,130,0,125,15781,8848,0,9793190884,319351117,224027285,229,4137,198,1847204016,0,3148,0,38960827,203595,10773910246,7600,1626562155,673009,119929716,49.7,8207063466,1065,18935,0,118928532,23,52,4698670243,10764401631,14773372200,584777,29219,685949,21887,1373002885,30317,3685,1184292,23056384,3687,4727027023,379,1538,0,0,330058010,2824,0,7255707848,305268627,0,0,0,3147,0
