cpu-cycles,iowritetime,pagemap:mm_lru_activate,block:block_split,branch-load-misses,pkt_in,armv7_cortex_a7/l1d_cache/,timer:timer_start,branch-instructions,seconds,irq:softirq_exit,filemap:mm_filemap_add_to_page_cache,err_in,ext4:ext4_es_lookup_extent_enter,armv7_cortex_a7/l2d_cache_wb/,armv7_cortex_a7/st_retired/,branch-loads,LLC-loads,armv7_cortex_a7/l1d_cache_refill/,gpio:gpio_value,random:credit_entropy_bits,ext4:ext4_da_update_reserve_space,armv7_cortex_a7/cpu_cycles/,ext4:ext4_sync_file_enter,fib:fib_table_lookup,sched:sched_stat_runtime,block:block_dirty_buffer,L1-icache-load-misses,armv7_cortex_a7/mem_access/,armv7_cortex_a7/l1i_tlb_refill/,pkt_out,net_in,dTLB-store-misses,iobusytime,armv7_cortex_a7/br_mis_pred/,napi:napi_poll,cpu,armv7_cortex_a7/exc_return/,writeback:sb_clear_inode_writeback,timer:timer_cancel,context-switches,drop_out,kmem:mm_page_free,kmem:mm_page_alloc_zone_locked,jbd2:jbd2_checkpoint_stats,branch-misses,iowritebytes,ext4:ext4_releasepage,L1-dcache-loads,time,net:netif_rx,LLC-load-misses,ext4:ext4_journal_start,ioreadtime,armv7_cortex_a7/cid_write_retired/,timer:timer_init,L1-dcache-stores,instructions,armv7_cortex_a7/unaligned_ldst_retired/,L1-dcache-store-misses,armv7_cortex_a7/bus_cycles/,kmem:kmem_cache_alloc,cpu-migrations,minor-faults,filemap:mm_filemap_delete_from_page_cache,block:block_bio_frontmerge,jbd2:jbd2_handle_stats,ioread,armv7_cortex_a7/l1d_tlb_refill/,armv7_cortex_a7/exc_taken/,memory,write_merge,mmc:mmc_request_done,block:block_touch_buffer,bus-cycles,armv7_cortex_a7/br_immed_retired/,armv7_cortex_a7/l1i_cache/,cache-misses,iTLB-load-misses,task:task_newtask,page-faults,LLC-store-misses,tcp:tcp_probe,read_merge,cache-references,kmem:kfree,armv7_cortex_a7/pc_write_retired/,writeback:wait_on_page_writeback,ext4:ext4_unlink_enter,armv7_cortex_a7/br_pred/,timer:tick_stop,L1-dcache-load-misses,err_out,LLC-stores,workqueue:workqueue_execute_start,ext4:ext4_ext_load_extent,armv7_cortex_a7/l2d_cache/,dTLB-load-misses,rpm:rpm_return_int,ext4:ext4_free_inode,block:block_bio_remap,armv7_cortex_a7/l1i_cache_refill/,sched:sched_process_exec,drop_in,armv7_cortex_a7/ld_retired/,writeback:global_dirty_state,armv7_cortex_a7/l1d_cache_wb/,raw_syscalls:sys_enter,sched:sched_waking,armv7_cortex_a7/inst_retired/,L1-icache-loads,net_out,ioreadbytes,ext4:ext4_writepages_result,ext4:ext4_evict_inode,iowrite
14499193747,28755,2,0,87011252,247,4934876752,2629,1019582199,5.012084859,7099,8808,0,5632,2842126,1206447409,1532294862,388375513,84688781,276,169,0,15005556618,0,7,9319603216,4636,216213705,4949759448,10961,291,12995,37761,4210,87169285,173,44.8,934825,0,2627,617734,0,4300,19606,0,87121554,22372352,0,4733640110,1626561821,173,6447365,9685,2603,2542,198,4745044932,9566974140,990552,80093909,7449763746,14298,9,496,0,0,5049,213,20886,707963,28.2,6,1800,6020,7373691128,1188467309,7328345520,83252245,18399,3,499,6717829,169,3,4796311087,23833,1020078879,0,0,1554519433,151523,80666243,0,394523018,1277,0,397485519,40276,1724,0,136,217016585,4,0,2293982752,36,89728091,430070,409874,9897126585,7079359668,210061,27443200,0,0,53
14593273571,9,0,0,85806068,189,4742141560,2094,967935009,5.009399759,7087,10676,0,5505,3509309,1139540090,1503779282,397051680,95601885,345,160,0,14723268677,0,3,9689016642,5334,193867106,4667429054,57259,195,13803,19839,5150,85834758,114,52.5,808934,0,2096,536928,0,12618,23717,1,83685314,32768,6634,4741885120,1626561830,116,8148713,11162,2242,2611,188,4702363483,9672478078,1038401,93520451,7094326754,16882,10,1943,7154,0,5830,300,146300,638955,28.2,4,1437,5998,7258212904,1173733513,7026218278,93927184,26329,8,1943,8950688,105,0,4798511305,24006,960059023,0,0,1489027362,97811,94036422,0,397657952,1092,0,390991496,25398,1456,0,173,193214849,6,0,2243539065,42,102142750,414697,393282,9581090336,6936059973,180166,38776832,0,70,4
15521626004,29665,43,0,90253549,174,5127356406,2013,1069376525,5.009835746,6527,10887,0,5632,3065665,1249115140,1622885878,416865999,95026587,359,159,0,15587661701,0,7,9917411470,5440,211959617,5130111876,11017,193,9398,14499,5270,90197763,101,49.9,929056,0,2016,611798,0,5237,24280,1,91342035,25198592,0,5074511110,1626561839,101,7537356,11372,3209,2847,158,5079340466,10237502395,1089347,94713525,7934860762,15906,13,957,0,0,5936,277,13579,699162,28.2,4,1385,5950,7888515293,1256526939,7618698048,94963899,11793,5,956,7233727,94,3,5096958142,22884,1058411777,0,0,1623466992,151850,94948994,0,418335053,1094,0,418367846,14810,1432,0,178,216057587,5,0,2410343554,43,101198451,423200,404688,10331025622,7560619184,183552,35819520,0,0,53
14785029801,190847,48,0,88051997,289,4997401881,2180,994963914,5.009456916,6825,8723,0,4510,2534981,1188817884,1523293730,390055296,80288651,428,161,0,15003183150,0,6,9323666176,4363,220121373,4920880689,14206,306,24334,14437,7140,87785710,122,46.2,935283,1,2183,615110,0,12862,13806,1,85870195,63590400,6551,4971713139,1626561851,129,5570444,9123,7725,2560,167,5014071520,10128792663,1084510,78086442,7294867944,11317,18,241,8729,0,4763,348,22624,706043,28.2,5,1507,4766,7282398407,1167557121,7511674645,78341410,10298,1,238,5642833,122,6,4883460238,22782,1004394596,1586,0,1529655384,158673,77671247,0,391549823,1124,0,393128830,17150,1345,0,148,221950580,1,0,2300151053,35,84158806,426630,411977,10210878443,7466809826,260453,43851776,0,213,132
15475721752,31963,1,0,92054072,194,5156383418,2030,1074809286,5.015296824,7002,11340,0,5868,3245129,1253133703,1606477824,407331384,92086397,370,159,0,15581077186,0,16,9990094505,5676,213957060,5174696776,12183,219,10289,18932,6160,92100128,101,50.8,872402,0,2032,590750,0,17486,18748,1,93022609,25202688,11845,5092867936,1626561861,101,7832650,11854,3515,2757,175,5102661068,10317019964,1064819,92070213,7750896288,17111,6,1149,11869,0,6178,315,28228,676521,28.2,3,1385,6184,7769139879,1260678926,7651716346,92003084,9310,9,1149,7620889,92,4,5106015719,23219,1064667420,0,0,1618466530,131354,92188321,0,407403686,1140,0,405781515,20950,1462,0,182,214652103,9,0,2452379758,45,97251012,425038,405652,10393947785,7585368994,203650,41418752,0,123,59
13382658464,201909,3,114,81614206,200,4268257763,2249,880770722,5.011539119,7316,6005,0,3124,3009575,1068341212,1404368130,360052715,64840276,418,159,11,12668688553,0,8,8066063892,3003,220127147,4419622837,89761,214,14147,16542,5470,79506834,112,47,922119,0,2253,611119,0,8441,10059,2,80009265,64479232,5069,4426039337,1626561871,114,4963395,6302,4796,25685,207,4437086631,8717092055,1174521,68505262,6606890732,13209,15,1647,5069,0,3290,237,142351,701604,28.3,11,1559,3325,6623629822,1004412149,6389246678,66882090,12822,8,1646,5002440,102,10,4290469095,23311,898679859,0,0,1320635698,139217,69269141,0,361636837,985,0,359914662,15012,1084,0,121,221765563,6,0,1916950653,24,67377766,428519,410429,8461967821,6607596406,195085,31514624,3,4,135
15804605860,13,2,0,91931850,175,5174511904,2054,1068914779,5.009297193,7334,10985,0,5693,2974272,1266717260,1633549329,408361227,88656089,360,159,0,15639404478,0,6,9999577720,5500,221777331,5216510628,5884,192,10940,21527,5380,92294098,103,52.9,925934,0,2057,615777,0,13268,10997,0,93160795,24576,7737,5151194770,1626561880,103,7429806,11501,2301,4772,175,5173529808,10448187517,1035066,87560331,7891637940,16261,9,873,7796,0,6001,308,20067,698180,28,2,1412,6009,7942768202,1267290287,7688592820,89679835,10059,5,873,7555678,94,0,5195029701,23042,1074091009,0,0,1640641382,151114,88085495,0,407165425,1104,0,411389160,21693,1440,0,178,223623006,4,0,2441620566,44,93635173,427651,408910,10434376929,7734654894,182878,39735296,0,1420,4
13401045605,126823,3,45,83579439,198,4626751098,2101,901696980,5.009193978,6836,7173,0,3734,2638807,1091381958,1419307073,365473611,76782522,324,159,4,14085616845,0,6,8467015638,3592,227163996,4563251671,49328,206,14213,107873,4950,84519602,109,43.3,937677,2,2106,619588,0,7528,8547,2,80229873,66801664,3688,4432852912,1626561889,111,5075750,7521,3952,16712,169,4447943013,8846712191,1019043,67847512,6561686876,13891,22,1649,3688,0,3929,204,143580,708003,28.1,12,1460,3952,6662305809,1069428225,7220314723,67112429,78917,9,1649,5223074,100,5,4418803091,23214,923498779,664,0,1432280574,154193,67622416,0,365115124,944,0,384669129,91532,1196,0,129,225393056,6,0,2088038465,31,82530575,428686,410286,9186432430,6691344497,190955,26984448,1,325,140
14623196627,102517,0,0,88178744,197,4988334692,1994,1039989131,5.009448136,7092,9676,0,4999,4399039,1236770843,1530169418,386788526,85128830,383,158,0,14882908156,0,2,9444218769,4846,218884652,5077020051,13555,218,10689,21273,6000,88107585,97,51,920901,1,1996,613917,0,15791,20447,0,89368652,19496960,7720,4808501863,1626561899,97,5743773,10118,2422,10885,174,4806710752,9693158436,1081104,79008422,7647199929,14620,6,1185,7836,0,5276,324,34977,696780,27.9,2,1367,5274,7428291738,1165497227,7530423828,80500553,11444,5,1182,5843229,91,0,4864177397,22945,1040778638,1398,0,1537693206,141809,78832592,0,386776903,1067,0,402380124,23055,1314,0,156,219557544,5,0,2366556099,39,88888873,425940,409290,10017165675,7172447290,206532,41697280,0,872,48
10869852744,4,0,0,72990223,195,3640131026,1945,731668126,5.010250149,6174,1678,0,897,547925,859060964,1146294585,322092207,39946215,76,159,0,10851176779,0,2,5890631418,848,224832772,3531096115,15890,212,13911,79311,580,68117159,110,26.8,947190,0,1953,632838,0,7844,2374,1,68948216,12288,3322,3691719682,1626561909,112,3639939,1772,266,7242,196,3677832677,7176042276,1163417,39211962,5405212420,8827,15,2576,4860,1,925,39,26029,710648,27.9,1,1262,927,5361888926,780376812,5430528203,38531119,20259,11,2583,2966707,100,27,3607706175,23811,713368165,0,0,1115698520,159009,39375662,0,327003933,543,0,305512986,128086,885,0,64,230150352,9,0,1373736590,8,40608874,430733,413139,7117343726,5535124447,196571,4186112,0,315,2
