err_in,cpu,ext4:ext4_ext_load_extent,sched:sched_waking,net:netif_rx,task:task_newtask,armv7_cortex_a7/l1d_tlb_refill/,napi:napi_poll,timer:timer_start,mmc:mmc_request_done,block:block_dirty_buffer,branch-instructions,minor-faults,irq:softirq_exit,armv7_cortex_a7/cid_write_retired/,dTLB-store-misses,err_out,armv7_cortex_a7/l2d_cache/,ioreadbytes,ext4:ext4_unlink_enter,branch-misses,ext4:ext4_free_inode,armv7_cortex_a7/br_mis_pred/,instructions,seconds,writeback:wait_on_page_writeback,armv7_cortex_a7/l2d_cache_wb/,writeback:sb_clear_inode_writeback,armv7_cortex_a7/exc_return/,write_merge,LLC-store-misses,armv7_cortex_a7/ld_retired/,armv7_cortex_a7/exc_taken/,rpm:rpm_return_int,armv7_cortex_a7/br_immed_retired/,tcp:tcp_probe,filemap:mm_filemap_delete_from_page_cache,ext4:ext4_es_lookup_extent_enter,raw_syscalls:sys_enter,context-switches,workqueue:workqueue_execute_start,read_merge,cache-misses,page-faults,armv7_cortex_a7/mem_access/,armv7_cortex_a7/inst_retired/,writeback:global_dirty_state,LLC-load-misses,dTLB-load-misses,block:block_bio_remap,LLC-stores,armv7_cortex_a7/l1d_cache/,cpu-migrations,ext4:ext4_evict_inode,block:block_touch_buffer,jbd2:jbd2_checkpoint_stats,kmem:kfree,drop_out,ext4:ext4_sync_file_enter,kmem:kmem_cache_alloc,random:credit_entropy_bits,L1-icache-load-misses,block:block_bio_frontmerge,sched:sched_stat_runtime,armv7_cortex_a7/bus_cycles/,armv7_cortex_a7/unaligned_ldst_retired/,iTLB-load-misses,armv7_cortex_a7/pc_write_retired/,jbd2:jbd2_handle_stats,ioread,bus-cycles,LLC-loads,iowritetime,timer:tick_stop,armv7_cortex_a7/l1d_cache_wb/,timer:timer_init,drop_in,armv7_cortex_a7/br_pred/,net_in,cache-references,ext4:ext4_writepages_result,L1-icache-loads,memory,pagemap:mm_lru_activate,armv7_cortex_a7/l1i_tlb_refill/,ext4:ext4_journal_start,pkt_in,branch-loads,iobusytime,kmem:mm_page_alloc_zone_locked,L1-dcache-loads,L1-dcache-load-misses,branch-load-misses,sched:sched_process_exec,iowritebytes,fib:fib_table_lookup,ext4:ext4_da_update_reserve_space,pkt_out,cpu-cycles,gpio:gpio_value,armv7_cortex_a7/cpu_cycles/,ioreadtime,ext4:ext4_releasepage,time,filemap:mm_filemap_add_to_page_cache,L1-dcache-stores,armv7_cortex_a7/l1i_cache/,kmem:mm_page_free,armv7_cortex_a7/st_retired/,timer:timer_cancel,armv7_cortex_a7/l1i_cache_refill/,armv7_cortex_a7/l1d_cache_refill/,iowrite,net_out,L1-dcache-store-misses,block:block_split
1,26.3,0,418872,98,8,9263,98,1830,1185,0,735221690,1603,5816,1324,23166,1,320313961,1,0,70016284,0,64674386,6584979668,5.009384889,0,225524,0,986893,1,2921138,1304194150,732033,729,711477696,90,0,0,433347,657671,370,1,45002964,1603,3442737469,6545954884,0,2677857,18121,0,322868647,3371000909,7,0,0,0,23109,1,0,4181,158,228398253,0,5075854567,5597347816,1240944,17431,708502581,0,1,5365728790,324376764,1,173191,41443847,200,1,1057079169,1,3397178409,0,5136108758,22.6,0,8028,0,1,1057039790,1,467,3352360565,46738195,64791503,7,1,3,0,1,10447459792,5,10639355818,1,0,1626560754,0,3354553995,5187142391,911,846908561,1831,236354633,40247575,1,1,46066855,0
0,20.1,0,424946,95,8,18596,95,1740,1126,0,756342702,1605,5480,1357,9183,0,343321312,0,0,68571579,0,71101607,7028699897,5.009405980,0,256546,0,1105957,0,3975761,1393156857,800480,700,771422871,90,0,0,439481,704003,367,0,38706835,1605,3661982230,7325719037,0,3810082,13463,0,322363374,3712841133,2,0,0,0,23010,0,0,4177,156,247659193,0,5179554846,5697363376,1107421,11144,753794895,0,0,5683146817,321409115,0,219605,42183120,168,0,1169051362,13780,3619772475,0,5471649342,22.6,0,5901,0,193,1135491598,0,89,3594579624,37500743,68101618,7,0,14,0,212,11337198668,5,11499703928,0,0,1626560764,0,3596353604,5583188005,918,878268644,1739,246576662,37900722,0,196328,37237838,0
0,23.7,0,418083,97,8,35246,97,1773,1174,0,722284373,1614,5824,1587,10433,0,302269145,0,0,64706546,0,65486008,6647765249,5.009466590,0,432360,0,1017056,0,3707305,1334238258,749961,721,728976954,92,0,0,432609,666957,362,0,43332020,1614,3480617421,6776539972,0,3840693,10865,0,307100887,3488032696,5,0,0,0,23041,0,0,4179,156,229958895,0,4983900331,5397405854,1127862,9069,720615515,0,0,5372563404,307789786,0,184881,34320516,157,0,1087790644,9721,3419755578,0,5162545010,22.6,0,27633,0,184,1073464758,0,215,3393600432,40213860,64183895,7,0,8,0,204,10681232906,5,10882138083,0,0,1626560773,0,3393191934,5366620875,921,830860459,1777,240639286,34196283,0,195063,39078408,0
0,23,0,421295,104,7,26698,104,1849,1244,0,662021211,1011,5716,1269,5331,0,307452139,0,0,62202946,0,63079509,6268781392,5.064743852,0,439448,0,939433,0,776981,1274210933,710676,759,676056618,95,0,8,435190,631058,393,0,33925799,1011,3235614621,6296030439,0,740075,5370,0,287317752,3239338951,3,0,8,0,23111,0,0,2889,161,225571322,0,4819337403,5025270780,1171292,10364,663315785,0,0,4937961434,287507092,0,164750,32190075,154,0,1002180809,10811,3218701007,0,4967698205,22.7,0,19189,0,201,1005630976,0,22,3230088050,30484614,62885670,7,0,14,0,222,9741599036,9,9758724911,0,0,1626560782,0,3247459539,5036320033,414,771466539,1853,225054950,30698047,0,198244,30698927,0
0,22.8,0,426869,108,0,12261,108,1848,1215,0,746153823,5,5503,1256,6794,0,318460733,0,0,69942994,0,69760789,7027010056,5.009535886,0,174753,0,1065170,0,671821,1365403236,772538,743,743400587,95,0,0,438761,705337,369,0,30851411,5,3632025050,6916005631,0,574247,10143,0,314462937,3570053098,2,0,0,0,22760,0,0,1243,158,257353088,0,5459515209,5449481595,1086363,6257,737338605,0,0,5461229303,317131849,0,229610,30954071,179,0,1120325211,15673,3621543890,0,5499418238,22.6,0,5922,0,196,1114267218,0,0,3616537953,30474842,69263385,0,0,6,0,208,10887455279,4,10786233451,0,0,1626560792,0,3630825255,5482986203,68,877360836,1855,256495301,30263331,0,198274,30561888,0
0,24.5,0,430176,95,5,10972,95,1809,1145,0,750399625,882,5611,1384,20674,0,313960173,0,0,70061885,0,69966439,6974794075,5.011102479,0,188873,0,1085010,0,1248005,1360165430,790699,709,755530260,91,0,0,443843,706687,366,0,29570818,881,3635000135,7057269569,0,605028,28192,0,322149972,3643711250,7,0,0,0,23082,0,0,3363,158,252211234,0,5491816026,5474952158,1043746,10170,736542861,0,0,5477873431,315887730,0,222286,28917454,204,0,1132769613,9911,3610584312,0,5460684828,22.6,0,6675,0,187,1150107180,0,81,3559802888,29190127,72321426,4,0,7,0,215,10835320562,5,10975139741,0,0,1626560802,0,3559862208,5570910722,477,877615649,1811,260355794,29185420,0,197520,29041240,0
0,21.9,0,430724,105,5,13759,105,2122,1447,0,766382063,910,5924,6208,5911,0,328394967,0,0,73638695,0,71093841,7195506970,5.012463328,0,144689,0,1093145,0,642843,1392994802,791231,936,759344270,89,0,0,444869,713573,516,0,33805913,908,3710764403,7152095963,0,828762,7480,0,324184175,3686840721,3,0,0,0,23696,0,0,3713,164,259943783,0,5665292892,5729235329,1219925,11586,754408334,0,0,5654168432,321230588,0,223078,33261745,215,0,1136582604,13406,3711462685,0,5553428225,22.6,0,5925,0,180,1142435271,0,29,3683607405,33584903,70969321,5,0,3,0,194,11311980489,5,11094701000,0,0,1626560811,0,3661217668,5600215565,574,902173619,2127,261599661,33032823,0,185372,33711880,0
0,22.7,0,427647,98,5,28605,98,1856,1187,0,731282464,874,5606,1324,16376,0,313590132,0,0,69015146,0,69402315,6886881738,5.009563417,0,282832,0,1054967,0,689467,1353306110,773393,728,735896967,94,0,0,441804,695824,373,0,27590365,874,3595246123,6964934029,0,690754,15240,0,306446867,3587457652,7,0,0,0,23223,0,0,3336,157,250008820,0,5460112527,5340466276,1131995,7215,724978032,0,0,5348650531,305027664,0,214901,27947493,214,0,1105176412,10717,3571007411,0,5400590608,22.6,0,24115,0,199,1113145621,0,81,3536639297,27216664,69843277,4,0,7,0,216,10667773960,5,10739089787,0,0,1626560821,0,3536652724,5509824946,486,865497315,1857,257402708,27704453,0,200331,27267212,0
0,23.4,0,422480,110,8,34118,108,1883,1212,0,723777436,1642,5766,15442,13274,0,308461963,0,0,70559240,0,66397117,6778585604,5.009402028,0,299752,0,1028653,0,721103,1338462788,761381,754,717969483,99,0,0,438922,681056,389,0,30818083,1642,3567050139,6816040694,0,795543,12963,0,299488064,3521562027,7,0,0,0,23821,0,0,5208,159,241640654,0,5420525268,5477298404,1091881,8652,720867891,0,0,5422367827,300082063,0,200455,31074207,210,0,1085114533,14849,3510993908,0,5276427539,22.5,0,28216,0,199,1073325347,0,26,3469021771,29460842,66670411,6,0,3,0,215,10572643166,5,10525468921,0,0,1626560830,0,3471030965,5417153307,671,864805769,1886,248999064,30643962,0,202184,29511301,0
0,25.9,0,428810,97,5,11388,97,1756,1144,0,726326558,881,5836,1319,6388,0,310581371,0,0,70251559,0,68492249,6840322048,5.010910198,0,167386,0,1035355,0,772697,1320710947,760324,683,725832097,94,0,0,442825,684218,355,0,32630128,880,3512375586,6774645232,0,751157,7002,0,309371648,3489667609,6,0,0,0,23206,0,0,3512,157,245143053,0,5291518491,5336042640,1089556,11526,709700911,0,0,5439315942,308526537,0,206121,31733589,164,0,1088840627,9790,3526098194,0,5278055539,22.6,0,6349,0,186,1088145695,0,77,3473192604,31792652,68590492,4,0,6,0,209,10810879245,5,10559010680,0,0,1626560840,0,3469446804,5348519347,469,851646367,1758,248219155,31363844,0,198453,31297887,0
0,24.6,0,427698,118,16,13977,116,1983,1287,0,740785139,2129,6112,2007,33933,0,313352935,0,0,72058101,0,68055478,6930421947,5.009513661,0,245532,0,1054704,0,1545510,1369189191,769961,806,722132552,102,0,16,445130,693150,429,0,31531911,2129,3644225465,6843173501,0,1473745,39628,0,310958532,3543951971,7,0,16,0,24052,0,0,6089,161,254776207,0,5534634939,5471291103,1135108,11303,738947040,0,0,5521007082,314666412,0,195018,28459876,222,0,1093214923,16512,3576576157,0,5403574327,22.7,0,10140,0,211,1081463950,0,104,3554881136,31033543,68675978,14,0,14,0,219,10928619231,5,10637050465,0,0,1626560850,0,3563529049,5480009420,955,880785708,1985,253919629,28242564,0,199830,31608335,0
0,11.3,0,310244,116,18,66189,113,1727,1128,0,554434313,2569,5150,5220,30182,0,227877720,0,0,52120280,0,48886180,4827512747,5.011883530,0,466173,0,700958,0,1003164,961132326,530752,758,515309373,100,0,19,327794,472636,410,0,24296599,2567,2521598194,4683230240,0,891887,31206,0,217389357,2394412560,9,0,19,0,19321,0,0,9843,126,167404451,0,3953165554,4180165678,955019,20639,517253053,0,0,3935887822,217714797,0,120401,25665989,231,0,759587753,13835,2515491546,0,3684501210,22.6,31,40445,0,137,763126000,0,236,2452302507,23978779,49047117,15,0,41,0,149,7650350645,5,7280270219,0,0,1626560859,0,2450683868,3765365181,1725,633535307,1730,172544750,24508676,0,92871,24052483,0
0,3.9,0,1377,51,27,16491,46,733,373,0,90619680,4847,1656,348,17144,0,5279641,0,0,11438045,0,3806758,711520709,5.011918829,0,63001,0,60394,0,2937189,45537255,63295,274,49958501,27,0,26,10567,2510,215,0,16635045,4851,139894248,434711940,0,2984451,13930,0,24855190,190311193,8,0,26,0,2019,0,0,10723,28,4496192,0,377249716,691049318,74008,14598,36949576,0,0,991428264,26723266,0,762,1804187,227,0,60493386,9486,375618490,0,253843167,22.5,0,9177,0,61,58978205,0,198,241793017,18941996,2958933,24,0,22,0,51,1802557162,6,852571591,0,0,1626560868,0,167968151,182151369,2373,38214773,732,3630304,2069501,0,14290,15812603,0
0,4,0,1312,44,25,24821,39,663,311,0,60061152,4722,1648,153,84608,0,9880378,0,0,5098967,0,10828744,451178554,5.011327008,0,225368,0,90084,0,2727582,65857452,68507,210,106010587,26,0,26,9858,2389,186,0,20542675,4722,179809829,449893691,0,2495194,72196,0,27052711,178696491,10,0,26,0,1652,0,0,9721,27,3058515,0,334370829,353339114,83531,51175,48139524,0,0,386036695,29551357,0,725,6562053,234,0,155436756,4397,182660994,0,231953643,22.6,0,22568,0,48,67754417,0,375,154699845,22446383,3334246,23,0,22,0,44,897191236,6,1759401778,0,0,1626560876,0,139872606,308674848,2117,47011158,664,7889983,7263115,0,12229,19739315,0
