block:block_touch_buffer,L1-dcache-load-misses,iTLB-load-misses,dTLB-store-misses,L1-icache-load-misses,sched:sched_process_exec,ext4:ext4_writepages_result,armv7_cortex_a7/l1d_cache/,ext4:ext4_unlink_enter,cache-misses,cache-references,block:block_dirty_buffer,err_in,cpu,armv7_cortex_a7/bus_cycles/,branch-loads,task:task_newtask,ext4:ext4_journal_start,err_out,armv7_cortex_a7/l1d_tlb_refill/,armv7_cortex_a7/mem_access/,iowritetime,workqueue:workqueue_execute_start,ext4:ext4_releasepage,cpu-cycles,timer:timer_cancel,net_out,timer:timer_start,memory,iobusytime,armv7_cortex_a7/l1d_cache_wb/,raw_syscalls:sys_enter,ext4:ext4_es_lookup_extent_enter,armv7_cortex_a7/unaligned_ldst_retired/,armv7_cortex_a7/br_pred/,armv7_cortex_a7/l1i_tlb_refill/,irq:softirq_exit,L1-dcache-loads,mmc:mmc_request_done,ext4:ext4_ext_load_extent,filemap:mm_filemap_add_to_page_cache,fib:fib_table_lookup,armv7_cortex_a7/inst_retired/,armv7_cortex_a7/l2d_cache_wb/,kmem:mm_page_free,LLC-loads,page-faults,armv7_cortex_a7/st_retired/,drop_out,iowritebytes,dTLB-load-misses,napi:napi_poll,writeback:global_dirty_state,ext4:ext4_free_inode,kmem:kfree,block:block_bio_frontmerge,armv7_cortex_a7/l1i_cache_refill/,time,armv7_cortex_a7/ld_retired/,ioreadbytes,L1-dcache-store-misses,branch-load-misses,sched:sched_stat_runtime,armv7_cortex_a7/l2d_cache/,armv7_cortex_a7/cpu_cycles/,pkt_in,pagemap:mm_lru_activate,iowrite,random:credit_entropy_bits,context-switches,write_merge,kmem:mm_page_alloc_zone_locked,jbd2:jbd2_checkpoint_stats,LLC-store-misses,branch-instructions,LLC-stores,timer:tick_stop,branch-misses,seconds,ext4:ext4_evict_inode,armv7_cortex_a7/l1d_cache_refill/,L1-dcache-stores,armv7_cortex_a7/br_mis_pred/,ext4:ext4_sync_file_enter,block:block_bio_remap,armv7_cortex_a7/exc_taken/,armv7_cortex_a7/br_immed_retired/,timer:timer_init,sched:sched_waking,jbd2:jbd2_handle_stats,instructions,minor-faults,cpu-migrations,ext4:ext4_da_update_reserve_space,armv7_cortex_a7/cid_write_retired/,kmem:kmem_cache_alloc,block:block_split,rpm:rpm_return_int,bus-cycles,armv7_cortex_a7/l1i_cache/,L1-icache-loads,ioreadtime,read_merge,writeback:wait_on_page_writeback,gpio:gpio_value,LLC-load-misses,armv7_cortex_a7/exc_return/,ioread,armv7_cortex_a7/pc_write_retired/,net:netif_rx,tcp:tcp_probe,filemap:mm_filemap_delete_from_page_cache,net_in,drop_in,writeback:sb_clear_inode_writeback,pkt_out
578,53051232,267374,286669,312836413,9,0,4296675834,0,54011900,4089434611,1150,0,47,6838984536,1362817748,9,1427,0,395720,4294924693,6,937,0,13545529566,2099,189303,2099,24.5,590,59585136,430823,895,1330465,1421861811,337257,6830,4105738461,1391,0,669,7,8829522494,1716698,3146,425925516,5963,996107593,0,49152,289215,114,5,0,26914,0,310827696,1626964588,1982799847,2606080,53585950,101435224,8904358011,432792175,14140735085,185,405,2,161,573148,10,5195,0,2899409,843839214,428146162,110839,101357541,5.010733400,0,56235848,4103383436,107838123,0,127,665552,1013643156,217,408099,1427,8313006046,5964,19,0,11071,9619,0,1308,6778484448,7011078016,6678877704,208,0,0,260,2986647,857734,130,868942457,116,111,0,9801,0,0,207
6050,73646502,321372,429173,330648220,5,0,4365543067,0,65527588,4442515461,1686,0,49.6,7621589728,1458249281,6,2583,0,323322,4356436735,139,3099,0,15648787183,2694,198197,2694,24.7,5420,61215249,442197,5669,1374689,1434200898,246802,9292,4400195734,1890,1,1162,2,8803873445,965988,890,469396239,1187,1031459939,0,1059840,415373,104,8,0,30951,1,326917762,1626964597,1912980537,8593408,74724056,109268717,9134579401,452143219,15137727506,191,89,6,166,614293,255,1544,0,11757973,916641518,470266046,135064,110531451,5.009151843,0,59784498,4352783263,108881943,0,710,704684,1029146144,358,414624,2583,9027189953,1187,20,0,8142,28617,0,3461,7765643987,6973068255,6997171154,1204,29,0,1363,12433312,920041,1028,902098391,104,92,0,13569,0,0,206
4557,67408638,303299,384785,340714415,9,0,4408605247,0,70599115,4273596035,1979,0,49.9,7563630711,1478054076,11,2677,0,252272,4341424332,117,2229,0,14839799124,2498,198379,2495,24.8,4480,64158927,439926,4281,1502871,1448149152,233903,8508,4289226748,1658,1,1037,8,8922804429,989475,1104,491026739,2354,1033973290,0,1232896,410560,106,9,0,28882,1,333007571,1626964607,1924065928,8892416,66560446,112201305,9147801727,459915524,15068433948,192,3,6,159,619430,295,1212,0,8007695,904222003,494543734,124869,105911329,5.008743000,0,62280111,4297963784,108883804,0,629,716869,1058546233,374,415683,2677,8689427643,2354,57,0,22946,16178,0,2584,7443672870,7054863581,7023322494,1104,61,0,921,8154995,943703,707,910689728,108,103,0,10165,0,0,213
1888,58544527,420606,538129,362680700,4,11,4573907028,0,59052328,4682645490,2095,0,47,7708111624,1517406814,6,2695,0,526227,4634969307,413,1681,0,15662437074,2247,201349,2247,24.8,4490,57844401,444911,2370,1578041,1514992445,440587,7572,4648425929,1495,0,1152,2,9244903960,503778,423,481088676,927,1092683419,0,2805760,545043,101,9,0,25718,1,367540190,1626964617,2076685975,11370496,57894276,114464104,9590652065,483533871,15208489965,188,22,17,161,635664,109,1035,0,3356348,953777442,479214170,157658,115722659,5.008873042,0,56029693,4588940906,114676378,0,339,717809,1099246357,277,424594,2695,9499935988,927,16,0,1392,9597,0,2000,7819180595,7501556481,7421135795,1380,30,0,674,3327216,948440,1404,950641504,101,91,0,13379,0,11,210
6383,57494468,229835,232665,345609962,6,161,4584045655,0,58764160,4597764847,1890,0,48.9,7756352049,1521234506,9,2453,0,226015,4598199519,65883,2856,0,15568042841,3044,198568,3043,25,3640,57082391,442067,7085,1532251,1491674606,236506,9312,4558502771,2318,3,1074,3,9240292279,804374,789,459896276,1804,1093248795,0,5849088,235681,104,8,0,35210,55,351250598,1626964626,2045788574,7905280,56229476,112370253,9639974485,463264308,14975836438,189,24,446,173,626630,767,1241,0,2801972,961594667,459101952,137467,115167568,5.009589263,0,55730672,4558091661,111109360,0,1316,706893,1077954658,267,421043,2453,9307882316,1807,26,0,11941,16770,0,1830,7708731291,7434489728,7303668974,864,31,0,1929,3241977,932359,421,947000508,106,102,0,10058,0,162,212
11102,56428846,253222,280536,330823905,4,319,4255017161,0,57795117,4447258298,1740,0,46.1,7318036058,1386366308,6,2791,0,306356,4359121331,26125,3391,0,14741326909,2963,218126,2964,24.9,7350,60433786,442645,9976,1187232,1373585056,274208,9738,4366580712,2108,8,1198,22,8533547671,1000369,520,438915144,947,1032120491,0,11719680,272766,113,7,0,38179,101,334826859,1626964636,1918039900,9764864,55719611,103343239,8984457351,448392175,13931861002,230,33,199,171,619153,531,1417,1,4749729,906823916,440774153,121057,110623461,5.009486098,0,56718177,4321191177,103174114,0,1225,710801,981459392,374,421481,2789,8937722095,949,39,0,10860,23564,0,3602,7416210805,6946009279,6943527071,2071,88,0,1576,4520330,923178,1396,893768061,113,91,0,18801,0,319,237
4913,53931057,179839,194556,338134178,15,51,4479843990,0,55579257,4294485950,2352,0,46.8,7594878592,1427887833,17,3356,0,235523,4532990799,4748,2176,0,14483680241,2587,207568,2585,24.9,5540,60731278,442211,4171,1429142,1471384171,222116,8702,4284908712,1723,0,932,13,9118040968,766021,951,448970518,2181,1071387051,0,6815744,191843,109,10,0,27423,11,348471908,1626964646,2007128861,8032256,54820111,107038918,9282967866,475560291,15012659072,199,45,34,165,621356,336,1013,0,5524305,921561107,445145889,135291,110098519,5.017086832,0,58239045,4346815138,111240687,0,632,708052,1054509224,371,416065,3356,8631024406,2181,17,0,15306,15475,4,2464,7363667468,7254397148,7008854743,1374,0,0,923,5560336,925321,759,927156804,111,103,0,10631,0,51,226
6160,53902130,323366,641558,335061925,4,57,4507085157,0,54057108,4373092761,2284,0,47.4,7482642729,1439195318,6,3345,0,666275,4478345680,20083,2590,0,14594532472,2675,204516,2671,24.9,5590,56126847,444743,5541,1451305,1456561843,339357,8932,4382806934,1862,1,996,7,9048931587,702846,489,439318921,941,1062703870,0,7868416,641716,105,9,0,27055,11,341128826,1626964655,1971696742,7180288,54436963,105147107,9118622182,453369107,14870527952,193,1,161,167,633541,342,1113,0,4825630,913020054,442715967,142398,106271969,5.009963789,0,55406431,4360981581,109528584,0,675,722128,1050721475,344,423007,3345,8814847819,942,20,0,6547,13344,2,2632,7265632326,7131677369,7002918607,1420,1,0,1266,4850436,955679,727,917986412,105,92,0,13679,0,138,212
4726,55129366,304621,543198,328798146,5,97,4353037043,0,55680240,4273032109,2342,0,47.4,7248719238,1415916012,6,3417,0,595763,4480752274,74364,1817,0,14052934196,2807,202373,2805,25,3740,59163130,435558,3312,1478960,1434129137,340924,8755,4247880026,1951,1,251,3,8758977757,639083,492,452830211,956,1059657212,0,11530240,547963,97,10,0,26812,12,344300334,1626964665,1992155283,4866048,54619593,106390294,9035868055,466748795,14565805647,191,0,433,168,620141,837,343,2,3672960,891052144,453766381,123930,103093722,5.010222252,0,57308399,4265237222,107720655,0,1008,716464,1022930612,377,413113,3417,8603248488,957,23,0,18753,11983,1,1167,7011622137,7105911805,6933175685,1342,1,0,1221,4064517,948018,407,915483835,97,94,0,10770,0,98,215
1700,55928952,238505,191879,344562302,4,650,4500290732,0,58596044,4532250549,2063,0,46.6,7479082488,1467017812,6,3314,0,229785,4550158218,37652,1478,0,15014277811,2337,205555,2333,25.1,5080,58392096,433697,2005,1469873,1504891377,273599,7928,4466786018,1539,1,1055,9,9207827083,527282,546,451371346,932,1072903046,0,9613312,193442,106,8,0,24169,153,355638178,1626964675,2044725229,7979008,55340972,107859480,9317953811,478896338,15114779451,197,2,162,161,628822,768,1217,0,3488908,935992029,454958333,133664,111846784,5.009421245,0,56689809,4460066840,111335489,0,935,710874,1062388272,324,414405,3314,9145652043,938,24,0,13991,12071,0,1658,7612343605,7281001108,7110996122,1894,0,0,644,3076861,938684,560,927452187,106,92,0,13725,0,650,213
