err_in,mmc:mmc_request_done,armv7_cortex_a7/ld_retired/,L1-icache-loads,armv7_cortex_a7/pc_write_retired/,armv7_cortex_a7/cid_write_retired/,kmem:mm_page_free,ext4:ext4_free_inode,iTLB-load-misses,seconds,ext4:ext4_evict_inode,armv7_cortex_a7/mem_access/,pkt_in,page-faults,branch-instructions,ext4:ext4_writepages_result,rpm:rpm_return_int,armv7_cortex_a7/br_mis_pred/,kmem:kfree,cpu,sched:sched_process_exec,jbd2:jbd2_handle_stats,block:block_touch_buffer,armv7_cortex_a7/l1i_tlb_refill/,armv7_cortex_a7/exc_taken/,block:block_bio_remap,armv7_cortex_a7/exc_return/,armv7_cortex_a7/l1d_cache_refill/,drop_in,instructions,armv7_cortex_a7/cpu_cycles/,net_in,block:block_dirty_buffer,branch-loads,writeback:wait_on_page_writeback,L1-dcache-loads,L1-dcache-load-misses,L1-dcache-stores,armv7_cortex_a7/l1i_cache_refill/,read_merge,gpio:gpio_value,armv7_cortex_a7/l1i_cache/,armv7_cortex_a7/l1d_cache/,block:block_bio_frontmerge,tcp:tcp_probe,timer:timer_init,pkt_out,time,branch-load-misses,armv7_cortex_a7/inst_retired/,block:block_split,LLC-store-misses,cpu-cycles,cache-references,ext4:ext4_es_lookup_extent_enter,write_merge,branch-misses,filemap:mm_filemap_delete_from_page_cache,timer:timer_cancel,kmem:mm_page_alloc_zone_locked,dTLB-store-misses,ext4:ext4_da_update_reserve_space,napi:napi_poll,raw_syscalls:sys_enter,workqueue:workqueue_execute_start,ioreadtime,armv7_cortex_a7/l2d_cache/,armv7_cortex_a7/unaligned_ldst_retired/,task:task_newtask,iobusytime,drop_out,minor-faults,armv7_cortex_a7/st_retired/,jbd2:jbd2_checkpoint_stats,ext4:ext4_unlink_enter,cache-misses,iowritetime,net_out,ext4:ext4_releasepage,kmem:kmem_cache_alloc,armv7_cortex_a7/l1d_cache_wb/,err_out,dTLB-load-misses,cpu-migrations,armv7_cortex_a7/l1d_tlb_refill/,ext4:ext4_sync_file_enter,timer:timer_start,ext4:ext4_ext_load_extent,net:netif_rx,L1-dcache-store-misses,filemap:mm_filemap_add_to_page_cache,context-switches,ioread,sched:sched_stat_runtime,L1-icache-load-misses,ioreadbytes,pagemap:mm_lru_activate,iowritebytes,LLC-stores,LLC-loads,irq:softirq_exit,armv7_cortex_a7/br_immed_retired/,fib:fib_table_lookup,armv7_cortex_a7/bus_cycles/,sched:sched_waking,writeback:global_dirty_state,timer:tick_stop,bus-cycles,LLC-load-misses,random:credit_entropy_bits,memory,armv7_cortex_a7/l2d_cache_wb/,iowrite,armv7_cortex_a7/br_pred/,ext4:ext4_journal_start,writeback:sb_clear_inode_writeback
0,4907,1564144580,6129600256,839659544,28036,5247,16,19208,5.010927872,16,3983718441,223,9202,852154194,15,15300,87198633,79206,34.7,35,191,6776,57016,879842,4116,1143286,46857125,0,7997612893,13259688888,21917,187,1230530124,15,4009945857,51978440,3973427514,273492549,584,7375,6475996908,4217096469,9,110,429,247,1626563027,82435748,8337139453,0,8998916,13605235053,4023619033,8955,158,91462987,17,5800,11384,21529,15,123,549101,15079,7446,404019196,1384897,52,8460,0,9176,979294783,12,16,53557992,442,213902,12,125463,52280178,0,21620,40,75355,15,5803,20,125,49517126,7945,672321,8853,7288200393,271503936,91292672,637,925696,362240114,365930157,19270,874254780,11,6869507974,430605,1,118405,6850708511,9373131,214,23.3,2288148,71,1278490190,288,15
0,1894,1968162526,7075841358,1056319086,50705,37765,1,139655,5.015956159,190,4528260986,237,55778,1085636826,0,3256,101795674,119082,68.4,278,813,4715,170345,925797,640,1119721,54562732,0,9586226671,16577031374,32493,553,1635375617,0,4346013951,61001845,4321430906,252485843,241,1207,7036586686,4429249916,0,114,445,267,1626563038,98811433,9710275526,0,19923510,16868876291,4455232244,10208,310,102276814,4192,2751,8332,284552,0,128,678013,2890,23288,427473633,1591258,287,3570,0,55779,1111565083,10,2,65239583,75357,190592,4118,213364,64026130,0,279621,282,289096,0,2751,0,128,57913306,1268,491894,1163,11584291228,255039389,53972992,17592,27995136,413314978,420902877,13470,1198262947,24,9014339984,369803,17,44708,8693903716,21067743,158,23.4,6280877,71,1653932647,1343,0
0,1528,1740227360,6253675261,756132034,16449,12442,0,41402,5.009091391,57,3946760633,198,3954,768591685,4,683,71637367,22652,32.4,14,5603,5699,83303,728385,180,999708,48787349,0,9261411327,11667719277,13903,5436,1195155533,3479,4409573856,38739187,4236043409,245662834,308,649,5969747680,3804245261,0,94,223,212,1626563047,75299677,7729950105,113,5533273,12848888227,4519911027,5621,63,75004151,10761,2191,8688,56102,10,103,419142,1040,57066,342496470,1161077,19,6630,0,3954,887480185,1,0,41627174,644118,203673,10410,19840,50098185,0,51796,33,89659,0,2187,0,105,37663027,10447,646364,333,6356772450,238248710,82440192,610,148984832,318343789,315420315,6882,780707784,3,6124265544,399354,39,178386,6388362113,5881151,156,23.4,875510,302,1159686167,11005,5
0,1548,2712299712,7144508983,800743856,14543,31520,0,37689,5.010313686,2563,5074021375,201,3269,840978920,2,616,76352991,20788,36,13,15556,15706,42395,723082,543,969899,51691548,0,10238127299,13581185089,12571,15032,1254918688,441,4788825103,40629005,4791143049,243028178,383,577,6990685000,4787418617,0,88,232,207,1626563058,77041526,10139747549,50,6773013,13620032552,5002743378,15543,35,73869933,29524,2215,24556,69610,7,94,419265,947,52021,342054168,945211,16,6970,0,3270,941416499,1,0,42916392,503355,191669,25243,37968,54017051,0,69543,20,50574,0,2214,0,94,40258477,29973,621847,396,7568488767,242897959,100122624,258,119382016,331174269,329294067,8012,873966643,8,6918400739,385595,126,160610,6932079400,7046407,147,23.1,2071048,281,1257032543,30588,7
0,1626,2549027432,6861439753,744321484,25942,35922,0,32324,5.011490717,1533,4710768307,208,4458,751825339,4,714,72291691,23541,39.3,15,16466,16766,89949,672954,532,880619,47340433,0,9781165394,14374210349,15857,15897,1162563434,492,4753324885,43047223,4663303464,234640398,763,864,7131606311,4936390652,2,96,244,225,1626563067,71461282,10648500487,71,8894089,12949589936,4615945111,16404,25,68729417,32362,2303,29039,56765,11,104,413094,1303,40311,340453214,1125761,19,7030,0,4465,886030264,2,0,42915822,320995,194647,22466,41938,51951054,0,55849,64,199707,0,2302,0,106,42223412,31542,571066,647,7777142212,226958900,108793856,120,100511744,354363153,339547682,8064,820208208,2,6284713702,374866,126,121769,6361614047,8039183,160,22.8,2226600,219,1192545371,32357,9
0,1720,2003210786,6858978675,767276879,16395,14968,0,28436,5.013087088,253,4391019902,216,4633,780764369,3,930,75644464,23650,40.6,38,5922,6255,18096,736905,244,999977,38431470,0,9836588582,13200574374,22475,5777,1222316802,0,4600602645,50659020,4584366469,237691297,9,654,6490479808,4500014705,0,119,246,239,1626563077,73058983,9435689052,116,5660739,13377869559,4609883498,6103,27,73068878,12402,2473,11506,55303,30,124,439751,1303,11253,313591446,1155644,43,6600,0,4615,965390740,1,0,43466538,217063,196848,5271,21888,41096088,0,52445,40,52986,0,2465,0,132,49225293,11565,656805,717,7119110631,241618960,92311552,747,90963968,329187861,330859188,7928,871303458,20,6079564070,415401,46,156412,6490799199,5606866,162,22.8,808318,203,1266220660,11718,5
0,1821,2535077223,7410042088,848074212,16045,34108,0,22608,5.009047283,1782,5043606234,194,4612,849109871,2,1059,76165456,23695,36.9,16,14423,15002,28815,754109,525,1017678,45659668,0,11178010152,13832301760,14056,14102,1214019737,0,5221004374,51345758,5102949192,244161623,8,1093,7127308609,4755858543,0,92,221,205,1626563086,74952895,9794188993,71,6722447,14562965383,5276042031,14594,31,77831768,28098,2497,28732,71958,47,104,440507,2017,8834,355789905,1217056,22,6490,0,4612,992378009,1,0,56735438,255496,191396,23148,39061,50471913,0,74437,45,67402,0,2495,0,104,50158633,28187,632408,596,8042862910,251111738,78274560,259,114765824,361580662,361684692,8314,859369902,5,7305379397,406867,113,152539,7318163505,7042313,161,22.6,3152199,284,1260039136,28562,9
0,1795,2099046622,7951015355,1188743868,38561,123520,333,14683,5.009382223,333,4588082315,218,5487,1188326046,0,2789,110394486,29083,49.7,21,666,5654,14657,736171,809,950141,43292554,0,10053263331,14602093016,24794,56,1896180496,0,4476133909,42883162,4544224927,214209712,1357,987,7887419432,4453452323,9,105,365,253,1626563096,109512010,10213525711,0,5584900,14714772283,4486687265,1862,57,111772953,120681,2628,3033,23138,0,117,472809,2418,1459,314809105,1168304,28,2780,0,5487,1060418848,0,333,42520694,16,202785,2275,58915,47911506,0,18570,33,27209,0,2624,1,117,47771563,1203,591355,1691,9017041431,216823607,15732736,55,241664,331251121,339280293,9125,1467006115,11,7664491585,406485,1,95511,7442607265,5852067,166,22.6,806065,2,1932573163,1694,0
0,2580,2091633951,7799460100,1204983126,31424,6991,0,51791,5.009506861,0,4696556406,212,16757,1199369536,0,6152,121197422,51264,47.3,64,0,1896,40340,756798,1795,1013739,46621862,0,10406823636,15021707425,21015,7,1870945503,0,4605659755,41766544,4587600800,236514855,698,2683,8110139653,4617450786,15,107,392,230,1626563105,125985406,10261654850,0,7125269,15243055803,4665542112,2687,7,131099545,0,3432,3151,85745,0,125,457157,5783,2108,342391818,1168255,90,5850,0,16764,1104407626,1,0,43270921,8,197605,0,39549,49902563,0,90853,48,54223,0,3432,16,125,41071321,1788,640261,2686,9184871560,245206793,13960192,36,36864,347502060,348878991,11651,1328228417,15,7809185817,422776,1,112552,7701764162,7673191,173,22.7,1381418,2,1835093384,0,0
0,3559,1945448397,7715413871,1091399216,8489,2890,0,16913,5.011286342,453,4354540229,199,3688,1118675774,0,10259,116262163,53928,38.8,17,0,3042,13629,739033,2718,939021,51769007,0,9917438141,15376755399,17027,0,1841424350,0,4423841512,46323476,4429999327,228714433,318,4783,7660820048,4489349010,12,92,397,228,1626563115,115832165,10185706954,0,8177330,14494625940,4407162144,4919,0,112560762,1030,4413,3328,46731,0,96,479358,9925,1605,342602740,1163021,21,3920,0,3705,1000714922,0,0,46333086,3,198444,1030,41522,56998420,0,49119,48,47777,0,4412,1,96,46070029,2718,606983,2507,8688007884,226326903,12849152,38,12288,330018140,325904096,15143,1436810825,3,7160094819,418394,1,126693,7195370591,7883997,191,22.7,1035658,1,1876844624,0,0
